date,value
2019-02-05,4035750.730391244
2019-02-15,3904759.381146116
2019-02-25,4021120.6472303504
2019-03-22,4044365.4474421404
2019-03-27,4261836.463877722
2019-04-01,4463661.636206207
2019-05-01,4450282.24415771
2019-05-06,4203159.085465798
2019-05-16,4400458.336443385
2019-05-31,4690551.4120336585
2019-06-30,4686010.98606993
2019-07-05,4624415.993779762
2019-07-10,4763409.673346898
2019-07-25,4524493.005166847
2019-08-04,4279407.8699503755
2019-08-14,4417340.607156261
2019-09-03,3795510.1269126455
2019-09-13,3784561.505121197
2019-10-13,4182210.481488966
2020-01-06,3827577.948444083
2020-01-16,3954236.032161888
2020-02-15,3752622.122774225
2020-02-20,4159558.02037585
2020-03-26,4037473.15336792
2020-03-31,3849574.085298667
2020-04-05,4162169.5419760924
2020-04-10,4288203.1699455
2020-04-15,4412006.890835344
2020-05-20,4646122.441270118
2020-05-25,4780771.88626384
2020-05-30,4705091.235589927
2020-07-04,4786259.336396995
2020-07-09,4909391.747475343
2020-07-14,5037353.064793592
2020-07-19,4568507.846642168
2020-07-29,4126529.027548895
2020-08-08,4235527.39724354
2020-09-12,3376097.0511167804
2020-09-17,2920448.583963177
2020-11-06,4057299.7148662843
2020-11-11,22894.594430872694
2020-11-21,3878405.545508085
2021-01-10,2681376.864075731
2021-02-14,4040918.7800362827
2021-02-19,4311982.401463195
2021-02-24,4008227.383125455
2021-03-01,3624168.7080874937
2021-03-31,3455649.194670506
2021-04-15,4428904.818582515
2021-06-14,4297004.862803257
2021-07-19,4423566.159822635
2021-09-22,3944835.5836281595
2021-10-27,4003074.184340723
2021-12-16,4021120.6472303504
2021-12-21,3943127.26256324
2022-01-15,3715759.600658859
2022-01-25,3903908.271248875
2022-02-09,3676526.2820371427
2022-03-06,3529283.389881479
2022-03-26,4196172.099395052
2022-04-10,4334924.89741824
2022-05-30,4498514.558384924
2022-06-14,4312864.0077620195
2022-06-19,4239908.2345283665
2022-06-29,4089266.7133373977
2022-07-14,4446716.808898234
2022-07-19,4396907.091958973
2022-07-24,4251305.914668805
2022-08-03,4246044.10050815
2022-08-08,4201411.953050115
2022-08-13,4227645.932509059
