date,value
2019-01-03,342100
2019-01-15,358800
2019-01-18,395600
2019-01-23,417700
2019-01-25,417700
2019-01-30,417700
2019-02-14,484700
2019-02-17,585300
2019-02-19,585300
2019-02-22,585300
2019-02-24,532500
2019-02-27,591200
2019-03-21,686100
2019-03-24,730900
2019-03-26,730900
2019-03-29,727500
2019-03-31,746900
2019-04-05,746900
2019-04-10,786100
2019-04-15,790700
2019-04-18,833700
2019-04-20,801800
2019-04-25,801800
2019-05-23,945700
2019-05-25,945700
2019-05-30,945700
2019-06-02,944200
2019-06-04,916200
2019-06-07,916000
2019-06-12,901000
2019-06-17,930800
2019-06-19,930800
2019-06-24,930800
2019-06-27,930800
2019-06-29,910900
2019-07-02,915400
2019-07-04,898000
2019-07-07,898000
2019-07-09,894900
2019-07-14,866300
2019-07-17,882900
2019-07-19,879800
2019-07-22,881900
2019-07-24,841200
2019-07-29,873400
2019-08-01,828300
2019-08-03,789200
2019-08-08,789400
2019-08-11,776500
2019-08-18,779100
2019-08-21,734500
2019-08-23,716300
2019-08-26,722900
2019-08-28,722900
2019-08-31,702900
2019-09-02,702900
2019-09-07,693600
2019-09-10,695400
2019-09-12,644100
2019-09-15,626400
2019-09-17,607500
2019-09-20,595500
2019-09-22,595500
2019-12-04,536600
2019-12-06,536600
2019-12-14,536600
2019-12-19,550200
2019-12-29,616700
2020-01-05,615400
2020-01-15,645800
2020-01-20,643700
2020-01-23,670300
2020-01-25,670300
2020-01-30,670300
2020-02-07,777700
2020-02-09,780300
2020-02-22,795100
2020-02-24,788300
2020-03-13,671900
2020-03-18,908000
2020-03-20,907600
2020-03-23,898800
2020-03-25,898800
2020-03-28,893600
2020-03-30,896500
2020-04-02,895100
2020-04-04,887100
2020-04-07,890000
2020-04-09,880200
2020-04-12,880500
2020-04-14,868000
2020-04-17,868200
2020-04-22,878400
2020-04-24,875800
2020-04-27,879400
2020-05-04,900900
2020-05-07,895200
2020-05-09,911100
2020-05-12,911500
2020-05-17,919600
2020-05-19,906500
2020-05-27,905900
2020-05-29,907200
2020-06-01,886000
2020-06-03,885000
2020-06-23,867900
2020-07-01,910800
2020-07-06,906600
2020-07-08,906600
2020-07-11,943000
2020-07-13,907300
2020-07-18,916500
2020-07-23,858900
2020-07-31,839000
2020-08-05,821000
2020-08-07,821000
2020-08-10,810600
2020-08-12,810600
2020-08-15,810600
2020-08-20,779400
2020-09-04,766400
2020-09-09,697700
2020-09-11,659700
2020-09-14,659700
2020-09-16,650600
2020-09-21,681700
2020-10-14,596600
2020-10-19,620400
2020-10-31,603800
2020-11-05,597900
2020-11-10,597900
2020-11-13,597900
2020-11-15,597900
2020-11-18,644100
2020-11-20,644100
2020-11-25,636300
2020-11-28,636300
2020-12-10,618900
2021-02-11,831200
2021-02-21,870800
2021-02-23,894200
2021-02-26,894200
2021-02-28,865500
2021-03-08,869900
2021-03-10,869900
2021-03-23,844700
2021-03-25,844700
2021-03-28,867500
2021-03-30,861700
2021-04-02,885500
2021-04-04,887100
2021-04-09,884400
2021-04-14,881100
2021-04-24,895000
2021-04-27,907600
2021-05-29,912500
2021-06-01,917500
2021-06-03,917500
2021-06-11,917300
2021-06-13,886700
2021-06-16,906200
2021-06-18,898600
2021-06-21,898600
2021-06-23,898600
2021-06-26,896200
2021-07-18,818200
2021-07-21,829700
2021-07-23,817000
2021-08-12,717800
2021-08-15,716900
2021-09-01,629200
2021-09-04,635500
2021-09-06,623900
2021-09-24,595900
2021-10-09,543800
2021-10-11,543800
2021-10-14,570700
2021-10-16,570700
2021-10-21,543800
2021-10-24,547800
2021-10-29,555000
2021-11-23,521500
2021-12-03,521500
2022-01-12,619700
2022-01-14,621800
2022-01-22,621300
2022-01-24,598900
2022-01-29,590600
2022-02-08,579600
2022-02-11,580800
2022-02-13,617900
2022-02-23,597900
2022-02-26,598300
2022-02-28,602300
2022-03-03,597600
2022-03-05,601600
2022-03-08,599200
2022-03-10,597500
2022-03-20,613900
2022-03-23,615900
2022-03-25,605700
2022-03-28,608600
2022-04-04,603100
2022-04-17,625100
2022-04-22,625300
2022-04-27,615900
2022-05-04,632200
2022-05-07,620900
2022-05-09,607600
2022-05-14,609400
2022-05-17,618200
2022-05-19,598300
2022-06-11,586300
2022-06-13,591500
2022-06-16,577000
2022-06-18,582600
2022-06-21,582600
2022-06-23,576300
2022-07-03,518900
2022-07-06,536500
2022-07-08,522600
2022-07-11,527000
2022-07-13,517900
2022-07-16,513500
2022-07-18,502900
2022-07-21,497700
2022-07-26,483100
2022-07-28,476100
2022-07-31,480600
2022-08-07,346000
2022-08-10,376500
2022-08-12,348400
2022-08-17,348400
2022-08-22,334600
2022-08-25,320900
2022-08-30,320900
2022-09-01,320900
