date,value
2019-01-03,434300
2019-01-25,214500
2019-02-04,469500
2019-02-12,424400
2019-02-14,416100
2019-02-17,340400
2019-02-19,374900
2019-02-22,281500
2019-02-24,362600
2019-02-27,336600
2019-03-16,503000
2019-03-21,289900
2019-03-24,255600
2019-03-26,308800
2019-03-29,410900
2019-03-31,260000
2019-04-15,222500
2019-04-18,199500
2019-04-20,265800
2019-04-30,294100
2019-05-13,367400
2019-05-15,404900
2019-05-23,263400
2019-06-02,298100
2019-06-04,361700
2019-06-17,515900
2019-06-24,425500
2019-06-27,429300
2019-06-29,445600
2019-07-02,550000
2019-07-04,529400
2019-07-07,535300
2019-07-09,515600
2019-07-17,554000
2019-08-03,481600
2019-08-08,434800
2019-08-23,496000
2019-08-26,519900
2019-08-28,484500
2019-08-31,479500
2019-09-07,465900
2019-09-15,492600
2019-09-17,459600
2019-09-20,494300
2019-11-16,409800
2019-12-06,463200
2019-12-19,428800
2020-01-20,421400
2020-02-07,432500
2020-02-22,284900
2020-02-24,331400
2020-03-18,246800
2020-03-20,200000
2020-03-23,407500
2020-03-28,499000
2020-04-04,410500
2020-04-09,379000
2020-04-12,420800
2020-04-14,312100
2020-04-17,255300
2020-04-22,267000
2020-04-24,249300
2020-05-07,241700
2020-05-09,215500
2020-05-17,441300
2020-05-19,361400
2020-05-27,465600
2020-05-29,426100
2020-06-01,466500
2020-06-23,468900
2020-07-08,488200
2020-07-13,480300
2020-07-31,482400
2020-08-05,485700
2020-08-07,461900
2020-08-10,481800
2020-08-15,429800
2020-08-20,473400
2020-08-27,498200
2020-09-04,437000
2020-09-09,255200
2020-09-16,295900
2020-10-31,232000
2020-11-05,253100
2020-11-15,237200
2020-11-18,248200
2020-11-28,257100
2020-12-10,256200
2021-02-21,393900
2021-02-23,459900
2021-02-28,485100
2021-03-20,195300
2021-03-23,207100
2021-03-25,206300
2021-03-28,494500
2021-03-30,505900
2021-04-02,222000
2021-04-04,251800
2021-04-09,63500
2021-04-14,75200
2021-04-17,198100
2021-04-22,103300
2021-04-24,198800
2021-06-01,138000
2021-06-11,436200
2021-06-13,486200
2021-06-16,498800
2021-07-18,523000
2021-07-21,509800
2021-08-25,460200
2021-09-01,263300
2021-09-06,193500
2021-09-24,208000
2021-10-01,176200
2021-10-11,169900
2021-10-14,92800
2021-10-19,140700
2021-10-24,211300
2021-10-29,176300
2022-01-22,471100
2022-02-08,464600
2022-02-13,204200
2022-02-18,493100
2022-02-23,395900
2022-02-26,465700
2022-02-28,511700
2022-03-03,427800
2022-03-08,311700
2022-03-10,152500
2022-03-20,428700
2022-03-23,490700
2022-03-25,488700
2022-03-28,495400
2022-04-14,373400
2022-04-17,433100
2022-05-14,216500
2022-05-27,430000
2022-06-11,512300
2022-06-13,486900
2022-06-16,510600
2022-06-18,475900
2022-07-06,489100
2022-07-08,499700
2022-07-11,521500
2022-07-13,499900
2022-07-16,508700
2022-07-18,498800
2022-07-21,494200
2022-08-02,503500
2022-08-07,496300
2022-08-10,492200
2022-08-12,494100
2022-08-22,533800
2022-08-25,539600
2022-09-01,537100
