date,value
2018-01-02,632412041.6082783
2018-01-07,632412041.6082783
2018-01-12,632412041.6082783
2018-01-17,586699023.5213253
2018-01-22,583502058.8885683
2018-01-27,565531877.329099
2018-02-01,558709386.4294344
2018-02-06,551511650.1048758
2018-02-11,544091550.3841665
2018-02-16,538507825.7062814
2018-02-21,535944669.31646645
2018-03-03,624058795.4746985
2018-03-08,642288549.9027683
2018-03-13,600795696.3441917
2018-03-18,575788414.88152
2018-03-23,553048165.8992852
2018-04-02,501766442.6733585
2018-04-07,497225224.7641026
2018-04-12,447038341.6949093
2018-04-17,433795900.908095
2018-04-22,403800438.96729225
2018-04-27,399549094.56246823
2018-05-02,408818442.20763874
2018-06-11,337726252.5075029
2018-06-16,337726252.5075029
2018-06-26,332826953.51192075
2018-07-01,344448205.8014988
2018-07-11,773069336.9885
2018-07-21,775925765.1402608
2018-08-10,815025766.3374009
2018-08-15,941689217.0078231
2018-09-19,1258597216.5476303
2018-09-24,1280262329.8630762
2018-09-29,1276719654.4524813
2018-10-04,1265829808.8979414
2018-10-09,1262510300.8966618
2018-10-14,1275353058.1512804
2018-10-24,1275511555.9962595
2018-11-03,1250313144.1385024
2018-11-08,1259731051.619458
2018-11-23,1208194337.4415534
2018-11-28,1214296758.3934743
2018-12-03,1200323899.4467049
2018-12-08,1190041097.1290228
2018-12-13,1170831860.1630418
2018-12-18,1153675534.275229
2018-12-23,1131557395.4623938
2018-12-28,1110696964.650011
2019-01-07,1068463685.0545146
2019-01-12,1066874165.273477
2019-01-17,1058793687.0727419
2019-01-22,1031209466.366411
2019-01-27,1010511251.3359109
2019-02-01,1000374117.4560184
2019-02-06,987319793.7488233
2019-02-11,973061250.4319754
2019-02-16,952440190.1209059
2019-02-21,947479410.1119559
2019-02-26,932363683.6932946
2019-03-03,909217957.6756976
2019-03-08,890765992.4807603
2019-03-13,877405180.5792099
2019-03-18,879767702.1949698
2019-03-23,868350813.3400024
2019-03-28,847167642.0937061
2019-04-02,819549941.4401354
2019-04-07,782194867.1884184
2019-04-17,762891941.6723992
2019-04-22,729560023.5476656
2019-05-17,580055361.3519207
2019-05-27,575042591.2806227
2019-06-21,544091550.3841665
2019-06-26,545446044.2656422
2019-07-01,558709386.4294344
2019-07-06,586699023.5213253
2019-09-29,1204059874.002829
2019-10-04,1213269775.6652632
2019-10-09,1204242979.435736
2019-10-14,1201649016.7910244
2019-10-19,1209992109.48987
2019-10-24,1206679092.2768838
2019-10-29,1201649016.7910244
2019-11-08,1235694371.2140346
2019-11-13,1234511141.1177523
2019-11-18,1233348886.28962
2019-11-23,1217860133.486309
2019-11-28,1205690849.4815137
2019-12-03,1194860305.5937586
2019-12-08,1185730063.0852797
2019-12-13,1162173023.5844786
2019-12-18,1150789279.067
2019-12-23,1133091303.7246366
2019-12-28,1122094573.033988
2020-01-02,1109486954.3138006
2020-01-07,1113137358.49255
2020-01-12,1108347933.3829515
2020-01-17,1102945390.7164006
2020-01-22,1099068806.2875097
2020-01-27,1080002962.313544
2020-02-01,1062947250.0261854
2020-02-06,1059958104.4906629
2020-02-11,1057201011.4883059
2020-02-16,1046937415.6970823
2020-02-21,1038529144.7324635
2020-02-26,1033290351.832784
2020-03-07,1024062685.3699666
2020-03-12,985883368.5758634
2020-03-17,960297034.7277685
2020-03-22,924461416.4611437
2020-04-06,845912698.6763706
2020-04-11,847167642.0937061
2020-05-01,734691048.3757559
2020-05-11,734691048.3757559
2020-05-16,694086555.982079
2020-05-21,657484291.1177632
2020-07-30,1058793687.0727419
2020-09-23,1222841972.8312428
2020-09-28,1194245834.9478803
2020-10-03,1208733509.6167703
2020-10-08,1256012226.4433022
2020-10-13,1253058439.3471124
2020-10-23,1267362634.1967878
2020-10-28,1266788077.1274176
2020-11-02,1253058439.3471124
2020-11-07,1239317935.559604
2020-11-12,1236826628.178466
2020-11-17,1203700254.247929
2020-11-22,1170831860.1630418
2020-11-27,1158088252.8380668
2020-12-02,1120250033.6137805
2020-12-07,1107380941.5328057
2020-12-12,1096170435.7895
2020-12-17,1090479094.0887809
2020-12-27,1049385104.0548736
