date,value
2018-01-03,145452468.35248062
2018-01-10,579038156.0948975
2018-01-15,564458425.324434
2018-01-22,521635066.1911419
2018-01-27,513731389.676628
2018-02-03,425460832.54112345
2018-02-08,410966984.38472027
2018-02-15,465209472.6093532
2018-02-20,457373015.38110363
2018-02-27,440772956.4428488
2018-03-04,433376232.515635
2018-03-11,387472455.55376047
2018-03-16,395921267.1191765
2018-03-23,87729804.27975062
2018-03-28,66700757.91737964
2018-04-04,347036033.7628891
2018-04-09,352898137.9020865
2018-04-16,309212949.22234017
2018-04-21,299403549.7154983
2018-04-28,283236955.5893202
2018-05-03,287017846.6226319
2018-05-10,54662695.90947912
2018-05-15,49814432.37738499
2018-05-27,55199483.472504176
2018-06-03,342219381.3685703
2018-06-08,360086448.4957579
2018-06-15,304473960.1979959
2018-06-20,299924321.88548493
2018-06-27,344571564.16043705
2018-07-02,348388267.75147337
2018-07-09,463700249.9930025
2018-07-14,464898547.06806546
2018-07-15,464898547.06806546
2018-07-20,140519039.00877368
2018-07-21,485776900.99897045
2018-07-26,490829827.45897055
2018-07-27,490829827.45897055
2018-08-01,194008763.36555195
2018-08-02,698631800.4337147
2018-08-07,740644954.9688255
2018-08-08,740644954.9688255
2018-08-13,272831301.6797383
2018-08-14,936484949.498526
2018-08-19,935318970.9908934
2018-08-20,935318970.9908934
2018-08-25,359820245.9879301
2018-08-26,1129232597.5187433
2018-08-31,1150217618.19329
2018-09-01,1150217618.19329
2018-09-06,392625840.5600371
2018-09-07,1186593560.9676492
2018-09-12,1182897109.1444964
2018-09-13,1182897109.1444964
2018-09-18,389282643.74858373
2018-09-19,1189761199.2249572
2018-09-24,1191281213.6095324
2018-09-25,1191281213.6095324
2018-09-30,388506564.5122354
2018-10-01,1192205597.5167232
2018-10-06,1194458022.3115366
2018-10-07,1194458022.3115366
2018-10-12,388694829.8451961
2018-10-13,1186347413.7363837
2018-10-18,1180853245.3546007
2018-10-19,1180853245.3546007
2018-10-24,381557842.5868831
2018-10-25,1157721093.8389356
2018-10-30,1153715297.0388448
2018-10-31,1153715297.0388448
2018-11-05,379272988.3009783
2018-11-06,1124599039.0088375
2018-11-11,1120289475.956209
2018-11-12,1120289475.956209
2018-11-17,365739465.965146
2018-11-18,1107958701.2645845
2018-11-23,1102130347.3715403
2018-11-24,1102130347.3715403
2018-11-29,357725502.2888974
2018-11-30,1090686838.8601527
2018-12-05,1086826166.0973706
2018-12-06,1086826166.0973706
2018-12-11,345363790.95221704
2018-12-12,1057530585.7176151
2018-12-17,1051400073.7001553
