date,value
2018-01-05,13415462.387181077
2018-01-10,13557774.073568143
2018-01-15,12591745.504628194
2018-01-20,11925770.259969601
2018-01-25,10845231.433710497
2018-01-30,10479770.39422158
2018-02-09,10655249.00722738
2018-02-14,18708951.726141978
2018-02-19,23140397.07122733
2018-03-01,13415462.387181077
2018-03-06,27523958.410623048
2018-03-11,30871047.24285059
2018-03-21,24183357.652394958
2018-03-26,29854781.888438568
2018-04-20,24805329.753969055
2018-04-25,24580856.08742621
2018-05-05,18017361.585666638
2018-05-15,2040973.4883948015
2018-06-29,16382518.940955386
2018-07-04,23122886.15339414
2018-07-14,32501082.0349979
2018-08-18,34183378.685278885
2018-09-07,35964992.20778577
2018-09-27,25342040.262551516
2018-10-02,26684369.65658001
2018-10-12,30618614.421866264
2018-11-11,27422074.070499625
2018-11-26,14559311.43294602
2018-12-01,9887805.888469279
2018-12-06,9853665.119487341
2018-12-11,10655249.00722738
2018-12-16,22429732.60479796
2018-12-21,22548788.58138378
2018-12-26,19536782.294693373
2019-01-05,22548788.58138378
2019-01-15,23422699.368252005
2019-01-20,21000431.44593578
2019-01-25,21231454.833160874
2019-01-30,15185089.276916882
2019-02-04,16579532.337523414
2019-02-14,13859117.871452035
2019-02-19,12655448.740865106
2019-03-01,10498520.425693447
2019-03-06,15539654.617105689
2019-03-11,10314190.6169841
2019-03-16,29329040.30952447
2019-03-26,11884494.283836707
2019-03-31,32557048.78397252
2019-04-05,6732066.34606584
2019-04-10,32870305.124762006
2019-04-15,34648498.77314082
2019-04-20,12655448.740865106
2019-05-10,26532052.33581342
2019-05-15,3177649.235466
2019-06-29,3751884.188225676
2019-07-14,7167050.966993155
2019-07-29,16261548.391575087
2019-08-18,33971567.247694075
2019-09-12,28282374.933437612
2019-09-22,27045631.567024745
2019-09-27,29086697.881360117
2019-10-07,28439466.21987119
2019-10-22,19213843.329170216
2019-11-01,21807185.47840687
2019-11-06,23210709.444251217
2019-11-16,22548788.58138378
2019-11-26,19673581.275360323
2019-12-01,13415462.387181077
2019-12-16,14453454.663732843
2019-12-21,22274646.74953456
2019-12-26,13805431.535855547
2020-01-05,28800378.277839717
2020-01-15,27769570.026955523
2020-01-20,27045631.567024745
2020-01-25,22829425.721156117
2020-02-04,22274646.74953456
2020-02-09,21831807.660250284
2020-02-14,18708951.726141978
2020-02-19,19673581.275360323
2020-02-24,16567970.323862314
2020-02-29,16220989.31341472
2020-03-05,17280202.54556842
2020-03-10,10376881.294845445
2020-04-04,31009795.412829578
2020-05-04,26137449.72996876
2020-05-09,24106224.434403166
2020-05-14,23924684.392385144
2020-05-19,23422699.368252005
2020-05-24,24315286.34750971
2020-06-08,17096101.74414843
2020-06-13,18307647.269783944
2020-07-23,34542398.27535835
2020-08-02,36750632.32676377
2020-09-21,31826894.233111467
2020-10-06,16064286.054010931
2020-10-21,22082144.893869385
2020-10-26,20740201.808280185
2020-10-31,16612880.978343459
2020-11-10,27280544.86510482
2020-11-15,14170096.300115807
2020-11-25,13740095.546276553
2020-11-30,11706706.13396848
2020-12-05,11744383.37022393
2020-12-10,22548788.58138378
2020-12-15,24580856.08742621
2020-12-20,15961857.426547192
2020-12-25,23140397.07122733
2020-12-30,28536081.144308306
