date,value
2018-01-05,1011500
2018-01-10,893700
2018-01-15,897700
2018-01-20,907900
2018-01-25,865100
2018-02-06,653200
2018-02-09,1228600
2018-02-11,617900
2018-02-14,870700
2018-02-19,1394300
2018-02-21,375100
2018-03-01,738500
2018-03-03,612600
2018-03-06,1438200
2018-03-11,1062600
2018-03-26,1035700
2018-04-02,775500
2018-04-07,649800
2018-04-12,274800
2018-04-22,811700
2018-04-27,670900
2018-05-05,1388000
2018-05-25,153400
2018-06-14,514400
2018-06-29,1397700
2018-07-04,1349800
2018-07-14,1257100
2018-07-21,1135600
2018-07-24,1164300
2018-08-08,987900
2018-08-30,916000
2018-09-17,965000
2018-09-27,883100
2018-09-29,922900
2018-10-02,949400
2018-10-04,797100
2018-10-07,898900
2018-10-12,914600
2018-10-14,800700
2018-10-17,900600
2018-10-22,922000
2018-10-24,771700
2018-10-27,859400
2018-11-01,949400
2018-11-06,871300
2018-11-16,850900
2018-11-23,811800
2018-12-01,910000
2018-12-03,874600
2018-12-06,930700
2018-12-11,907500
2018-12-13,817300
2018-12-16,940300
2018-12-21,1077200
2018-12-23,868500
2018-12-26,909700
2019-01-02,939500
2019-01-15,924200
2019-01-20,833100
2019-01-22,878700
2019-01-25,869900
2019-01-30,835900
2019-02-01,842500
2019-02-04,823100
2019-02-14,791300
2019-02-19,716600
2019-02-24,702800
2019-03-01,562700
2019-03-11,432100
2019-03-16,813000
2019-03-21,378300
2019-04-22,813000
2019-05-05,930600
2019-05-12,1109200
2019-05-25,983300
2019-05-30,905900
2019-06-21,885800
2019-06-24,878700
2019-06-29,963700
2019-07-01,1000300
2019-07-14,1450700
2019-08-05,1188400
2019-09-12,1030500
2019-10-02,931700
2019-10-14,818500
2019-11-01,939900
2019-11-03,797100
2019-11-06,999000
2019-11-13,885700
2019-11-21,914600
2019-11-23,881200
2019-11-26,980800
2019-12-01,1108300
2019-12-11,1104600
2019-12-16,999300
2019-12-21,1004900
2020-01-05,992200
2020-01-10,997100
2020-01-15,934500
2020-01-20,918600
2020-01-25,880900
2020-01-30,891400
2020-02-04,849800
2020-02-09,863100
2020-02-14,816700
2020-02-19,795800
2020-02-24,759800
2020-02-29,761800
2020-03-05,640200
2020-04-04,1438200
2020-04-09,442800
2020-04-14,881000
2020-04-21,213000
2020-04-29,763600
2020-05-01,887000
2020-05-04,720500
2020-05-14,456500
2020-05-19,128800
2020-05-21,811700
2020-05-26,1084400
2020-06-03,663000
2020-06-05,796500
2020-06-08,692300
2020-06-13,359200
2020-07-30,1145000
2020-08-19,1053300
2020-09-21,998700
2020-09-23,844400
2020-10-06,856100
2020-10-08,852200
2020-10-11,945000
2020-10-13,827800
2020-10-16,912000
2020-10-21,963000
2020-10-23,808300
2020-10-26,892900
2020-10-28,834900
2020-10-31,863700
2020-11-07,817200
2020-11-10,837200
2020-11-15,800400
2020-11-17,822100
2020-11-20,847400
2020-11-25,795000
2020-11-27,784100
2020-11-30,808700
2020-12-05,795800
2020-12-10,804100
2020-12-15,796800
2020-12-20,800200
2020-12-25,814200
2020-12-27,856700
2020-12-30,782300
