date,value
2018-01-03,1435740.3178287998
2018-01-15,1331125.4091522812
2018-01-27,1382434.5990454776
2018-02-08,1309771.4149365907
2018-02-20,1256074.46869404
2018-03-04,1317060.0271863225
2018-03-16,1167668.9478379234
2018-03-28,1083985.3420910565
2018-04-09,1006612.693558863
2018-04-21,849182.7307283062
2018-05-03,533935.3135227554
2018-05-15,529279.0002197277
2018-05-27,346271.04035216663
2018-06-08,181393.39423583378
2018-06-20,236850.83812240776
2018-07-02,540330.4524972187
2018-07-14,594357.71377134
2018-07-26,4091568.4851394403
2018-08-19,1991095.7683611223
2018-08-31,2022881.2473851047
2018-09-12,1810092.9041689734
2018-09-24,1800932.774955555
2018-10-06,1914969.8461967376
2018-10-18,1858307.381818992
2018-10-30,1690542.1294521387
2018-11-11,1530091.982267004
2018-11-23,1524110.168886633
2018-12-05,1485917.4915685512
2018-12-17,1574215.3246141386
2018-12-29,1574215.3246141386
2019-01-10,1577246.7940659951
2019-01-22,1529194.0684213561
2019-02-03,1546894.5928600112
2019-02-15,1662677.4636991145
2019-02-27,1478830.4257337847
2019-03-11,1513666.2333095393
2019-03-23,1445804.112469597
2019-04-04,1311591.9384666102
2019-04-16,1269995.212506476
2019-04-28,619403.8701927067
2019-05-22,728774.6838888209
2019-08-14,678929.6685120797
2019-08-26,822061.69064415
2019-09-07,729427.7439067966
2019-09-19,676503.6689962613
2019-10-01,679985.6146851708
2019-10-13,659209.3129470657
2019-10-25,641386.5134642991
2019-11-06,610703.1878204054
2019-11-18,613833.3833642934
2019-11-30,598351.2244052751
2019-12-12,608485.9317229874
2019-12-24,637785.507445417
2020-01-05,632349.1493724427
2020-01-17,642004.7033967809
2020-01-29,644376.8017446713
2020-02-10,657126.1146815406
2020-02-22,664848.0941377932
2020-03-05,614440.0218167402
2020-03-17,605668.9830232135
2020-03-29,614035.5675709181
2020-04-10,588786.1163569157
2020-04-22,571520.4444531269
2020-05-04,403062.53395581245
2020-05-16,273289.0819301914
2020-05-28,84557.42862147103
2020-06-09,55172.79195064326
2020-07-03,6330.341223534092
2020-07-15,134667.99650911705
2020-08-08,2646661.2327351044
2020-08-20,2378171.650822263
2020-09-01,2223033.4335130095
2020-09-13,2148021.689485332
2020-09-25,2169017.743226477
2020-10-07,2085560.9339319312
2020-10-19,2121598.7047294965
2020-10-31,1957862.5784377211
2020-11-12,1854729.3138694877
2020-11-24,1652144.198765329
2020-12-06,1606017.811922468
2020-12-18,1594421.6507707369
2020-12-30,1555476.18418194
