date,value
2018-01-02,91557200
2018-01-12,85105300
2018-01-17,85402400
2018-01-22,87250700
2018-01-27,88443000
2018-02-01,88090700
2018-02-06,86093600
2018-02-11,84973400
2018-02-16,84134400
2018-03-03,77825900
2018-04-02,77476400
2018-04-07,118438200
2018-04-12,59437200
2018-04-22,85814400
2018-04-27,92852100
2018-05-07,85091500
2018-05-22,88027000
2018-06-01,78410400
2018-06-11,85436500
2018-06-26,81335800
2018-10-04,119616700
2018-10-14,127408100
2018-10-24,127290200
2018-11-08,120698700
2018-11-23,114973500
2018-11-28,114336900
2018-12-03,106908300
2018-12-08,107906300
2018-12-13,105343600
2018-12-18,109176900
2018-12-23,104011400
2018-12-28,103658500
2019-01-02,103004500
2019-01-07,102493000
2019-01-17,108490800
2019-01-22,105017700
2019-01-27,107514200
2019-02-01,105538100
2019-02-06,102209700
2019-02-11,104254000
2019-02-16,103254400
2019-02-26,101819500
2019-03-03,99878200
2019-03-08,98109500
2019-03-13,102057000
2019-03-18,100510000
2019-03-28,99850100
2019-04-02,98131800
2019-04-17,92538500
2019-04-22,92627400
2019-05-17,81669300
2019-06-26,83040500
2019-10-04,107378300
2019-10-14,108455200
2019-10-29,108174600
2019-11-08,110899700
2019-11-13,105355300
2019-11-18,111353400
2019-11-23,111035400
2019-11-28,105349000
2019-12-03,105773800
2019-12-13,101378400
2019-12-18,102932500
2019-12-23,100320100
2019-12-28,103830000
2020-01-02,99025200
2020-01-07,86357800
2020-01-17,94837300
2020-01-22,91716000
2020-01-27,94690100
2020-02-01,94559800
2020-02-06,91323800
2020-02-11,92808500
2020-02-16,90248800
2020-02-21,90203500
2020-02-26,89894300
2020-03-12,87022000
2020-03-22,86173900
2020-03-27,84596000
2020-04-06,89015400
2020-05-16,83510400
2020-05-21,86844700
2020-06-15,87869200
2020-06-25,86643500
2020-07-30,110074300
2020-09-13,148424600
2020-09-23,137120200
2020-09-28,149002900
2020-10-03,138932500
2020-10-13,138356200
2020-10-23,147581800
2020-10-28,155246700
2020-11-07,155338600
2020-11-17,142865100
2020-11-22,147553000
2020-11-27,146214500
2020-12-02,147595000
2020-12-07,145179800
2020-12-12,145390600
2020-12-17,145110300
2020-12-27,141110400
