date,value
2019-02-24,950000
2019-02-26,948300
2019-03-11,964200
2019-03-26,969900
2019-03-28,974200
2019-03-31,974200
2019-04-12,986500
2019-04-17,985600
2019-04-20,1009700
2019-04-22,1009700
2019-04-27,1009700
2019-04-30,1007100
2019-05-05,1007100
2019-05-12,948400
2019-05-15,948400
2019-05-22,970200
2019-06-26,1005200
2019-06-29,1005200
2019-07-04,1036200
2019-07-06,1004000
2019-07-09,1009300
2019-07-11,1009300
2019-07-14,1002500
2019-07-16,1004400
2019-07-21,989200
2019-07-24,998600
2019-08-23,940900
2019-08-25,940900
2019-08-30,963400
2019-09-04,973200
2019-09-07,973200
2019-09-14,968900
2019-09-19,840800
2019-09-24,840800
2020-01-22,961600
2020-02-04,962200
2020-02-06,956600
2020-02-11,894700
2020-02-29,1023100
2020-03-02,1023100
2020-03-12,1023100
2020-03-25,967200
2020-03-27,967200
2020-04-01,970100
2020-04-04,967900
2020-04-09,988800
2020-04-11,1022700
2020-04-14,987900
2020-04-16,1013100
2020-04-21,1025100
2020-04-26,1034400
2020-05-06,1043000
2020-05-11,954200
2020-05-14,954200
2020-05-19,996500
2020-05-21,996500
2020-05-24,1029200
2020-05-26,1000700
2020-05-29,999400
2020-05-31,995000
2020-07-18,1046600
2020-07-20,1046600
2020-07-30,1047200
2020-08-04,1000900
2020-08-07,1000600
2020-08-09,1000600
2020-08-14,1000600
2020-09-08,953900
2020-09-13,953900
2020-09-16,907400
2020-09-26,910600
2020-11-05,894600
2020-11-12,894200
2020-11-15,894200
2021-02-28,1032400
2021-03-02,1032400
2021-03-07,1032100
2021-04-04,1019600
2021-04-14,1061100
2021-04-19,1060800
2021-04-21,1060800
2021-04-24,1062500
2021-04-26,1040300
2021-05-01,1040300
2021-06-13,1063200
2021-06-15,1044800
2021-06-23,1063200
2021-07-18,1004000
2021-07-20,992200
2021-07-28,1001000
2021-08-12,981500
2021-08-14,1010200
2021-09-03,970100
2021-09-06,987700
2021-09-13,987700
2021-09-16,986600
2021-10-08,892900
2021-10-11,893000
2021-10-13,893000
2021-10-31,797600
2021-11-05,811900
2021-11-07,815300
2021-11-22,856400
2021-11-25,856400
2021-11-27,856400
2021-12-02,855600
2022-01-14,971100
2022-01-21,1000500
2022-01-26,1006500
2022-02-05,1009400
2022-03-17,1043000
2022-03-22,1025700
2022-03-25,1024400
2022-03-27,1014100
2022-04-01,1004700
2022-05-06,998300
2022-05-19,1026300
2022-05-21,1026500
2022-05-24,1026500
2022-05-29,1026500
2022-05-31,1001500
2022-06-15,1070100
2022-06-25,1067200
2022-07-08,994900
2022-07-10,988700
2022-07-13,996800
2022-07-15,1017200
2022-07-18,1013600
2022-07-23,1036700
2022-08-07,961600
2022-08-09,942500
2022-08-12,957200
