date,value
2018-01-01,434200
2018-01-06,472100
2018-01-11,472100
2018-01-14,465100
2018-01-16,489400
2018-01-19,477800
2018-01-21,508500
2018-01-24,508100
2018-01-26,464600
2018-01-29,494100
2018-01-31,464300
2018-02-05,482900
2018-02-08,507900
2018-02-10,507900
2018-03-07,528900
2018-03-10,525100
2018-03-12,525100
2018-03-22,455800
2018-04-06,441800
2018-04-09,441800
2018-04-11,441800
2018-04-16,418800
2018-04-19,421300
2018-04-21,421300
2018-04-24,421300
2018-04-26,421300
2018-05-11,332000
2018-05-14,332000
2018-05-19,332000
2018-05-21,332000
2018-05-26,297600
2018-05-29,297600
2018-05-31,298600
2018-06-03,298600
2018-06-08,293200
2018-06-10,293200
2018-06-13,257500
2018-06-15,257500
2018-06-18,257500
2018-06-20,257500
2018-06-23,231300
2018-06-25,1402700
2018-06-28,1402700
2018-07-03,1384200
2018-07-05,226900
2018-07-08,226900
2018-07-10,208000
2018-07-13,242900
2018-07-15,242900
2018-07-18,242900
2018-07-20,242900
2018-07-23,199600
2018-07-25,199600
2018-07-28,199600
2018-07-30,180100
2018-08-02,242900
2018-08-04,242900
2018-08-09,242900
2018-08-12,208000
2018-08-14,242900
2018-08-17,242900
2018-08-19,215400
2018-08-22,242900
2018-09-23,1296400
2018-09-28,1306800
2018-10-01,1306800
2018-10-06,1278700
2018-10-08,1273200
2018-10-11,1109900
2018-10-28,1200800
2018-10-31,1200800
2018-11-27,1160500
2018-12-02,1160500
2018-12-05,1160500
2018-12-07,1160500
2018-12-22,1112700
2018-12-27,1126200
2018-12-30,1126200
2019-01-26,1316000
2019-01-29,1316000
2019-01-31,1316000
2019-02-03,1316000
2019-02-10,1123800
2019-02-13,1107400
2019-02-15,1132800
2019-02-20,1130400
2019-02-23,1124200
2019-02-25,1126200
2019-03-17,1219900
2019-03-25,1181800
2019-04-06,1107400
2019-04-09,1107400
2019-04-11,1135500
2019-04-14,1135500
2019-04-16,1102200
2019-04-19,1154300
2019-04-26,1209700
2019-04-29,1209700
2019-05-01,1209700
2019-05-06,1209700
2019-05-09,1077900
2019-05-11,1105800
2019-05-16,1083700
2019-06-05,981900
2019-06-10,981900
2019-06-13,981900
2019-06-15,805200
2019-06-18,805200
2019-06-23,799700
2019-06-25,805200
2019-06-28,774200
2019-06-30,812800
2019-07-03,812800
2019-07-05,711100
2019-07-08,749700
2019-07-10,680300
2019-07-13,682400
2019-07-15,656100
2019-07-18,636400
2019-07-20,607600
2019-07-23,594400
2019-07-25,580700
2019-07-28,581300
2019-07-30,568400
2019-08-02,571400
2019-08-04,554700
2019-08-07,554700
2019-08-09,532900
2019-08-12,535400
2019-08-14,517500
2019-08-17,520100
2019-08-19,508500
2019-08-22,552300
2019-08-24,489700
2019-08-27,551200
2019-08-29,486200
2019-09-03,466500
2019-09-06,466800
2019-09-08,458600
2019-09-11,466800
2019-09-13,440500
2019-09-16,441200
2019-09-21,415000
2019-09-23,416500
2019-09-26,388700
2019-09-28,388700
2019-10-01,388700
2019-10-08,348100
2019-10-11,348100
2019-10-13,348100
2019-10-16,348100
2019-10-18,348100
2019-10-21,323700
2019-10-26,323700
2019-10-28,323700
2019-11-02,303100
2019-11-05,303100
2019-11-07,378600
2019-11-15,384100
2019-11-17,384100
2019-11-27,411300
2019-11-30,411300
2019-12-02,411300
2019-12-05,411300
2019-12-07,433800
2019-12-10,421300
2019-12-12,446900
2020-01-11,644500
2020-01-14,644500
2020-01-16,644500
2020-01-19,644500
2020-01-26,526600
2020-02-10,546600
2020-02-15,546600
2020-02-18,544000
2020-02-20,544000
2020-02-25,470600
2020-02-28,470600
2020-03-01,489400
2020-03-04,489400
2020-03-11,452900
2020-03-26,576000
2020-04-05,656100
2020-04-08,470600
2020-04-10,451400
2020-04-18,403000
2020-05-05,417000
2020-05-10,417000
2020-05-15,385000
2020-05-20,242900
2020-05-23,242900
2020-05-25,242900
2020-05-28,242900
2020-05-30,242900
2020-06-02,196600
2020-06-04,196600
2020-06-07,136400
2020-06-09,123900
2020-06-12,123900
2020-06-14,98600
2020-06-17,142200
2020-06-19,142200
2020-06-22,142200
2020-06-24,134900
2020-06-27,106100
2020-06-29,165800
2020-07-02,178600
2020-07-04,139700
2020-07-07,179600
2020-07-09,179600
2020-07-12,149000
2020-07-14,174800
2020-07-17,178600
2020-07-19,292000
2020-07-22,292000
2020-07-24,192300
2020-07-27,308800
2020-07-29,206000
2020-08-01,282800
2020-08-03,198100
2020-08-06,292800
2020-08-08,174800
2020-08-11,242900
2020-08-13,152100
2020-08-16,153900
2020-08-18,152100
2020-08-21,153900
2020-08-23,152800
2020-08-26,186500
2020-08-28,153900
2020-08-31,191400
2020-09-02,191400
2020-09-07,378600
2020-09-10,378600
2020-09-12,378600
2020-09-15,378600
2020-09-17,387900
2020-09-20,360700
2020-09-25,360700
2020-09-27,358700
2020-10-02,208000
2020-10-10,149000
2020-10-12,149000
2020-11-01,357800
2020-11-06,357800
2020-11-09,357800
2020-11-11,357800
2020-12-01,341100
2020-12-04,341100
2020-12-06,457800
2020-12-09,457800
2020-12-11,441200
2020-12-14,458600
2020-12-16,427900
2020-12-21,381700
2020-12-24,378600
