date,value
2018-01-01,17100
2018-01-06,24400
2018-01-11,24400
2018-01-14,24400
2018-01-16,24400
2018-01-19,23700
2018-01-21,24100
2018-01-24,24100
2018-01-26,23700
2018-01-29,23700
2018-01-31,23900
2018-02-05,24300
2018-02-08,24400
2018-02-10,24400
2018-03-12,24400
2018-03-22,24400
2018-04-06,28500
2018-04-09,28500
2018-04-11,28500
2018-04-16,28700
2018-04-19,29200
2018-04-21,29200
2018-04-24,29200
2018-04-26,29200
2018-05-11,27200
2018-05-14,27200
2018-05-19,27200
2018-05-21,27200
2018-05-26,22200
2018-05-29,22200
2018-05-31,26800
2018-06-03,26800
2018-06-08,27000
2018-06-10,27000
2018-06-13,19300
2018-06-15,19300
2018-06-18,19300
2018-06-20,19300
2018-06-23,18900
2018-06-25,20100
2018-06-28,20100
2018-07-03,21300
2018-07-05,15200
2018-07-08,15200
2018-07-10,15200
2018-07-13,23900
2018-07-15,23900
2018-07-18,23900
2018-07-20,23900
2018-07-23,14200
2018-07-25,16100
2018-07-28,16100
2018-07-30,15400
2018-08-02,19600
2018-08-04,19600
2018-08-09,19600
2018-08-12,13900
2018-08-14,16300
2018-08-17,16300
2018-08-19,14400
2018-08-22,16500
2018-09-23,30300
2018-09-28,30300
2018-10-01,30300
2018-10-28,30800
2018-10-31,30800
2018-11-05,25400
2018-11-07,25400
2018-11-27,35300
2018-12-02,35300
2018-12-05,35300
2018-12-07,35300
2018-12-22,33800
2018-12-27,35100
2018-12-30,35100
2019-01-16,37400
2019-01-19,37400
2019-01-21,37300
2019-01-24,37300
2019-01-26,37300
2019-01-29,43100
2019-01-31,34600
2019-02-03,43100
2019-02-08,34300
2019-02-10,34300
2019-02-13,33500
2019-02-15,35200
2019-02-20,35200
2019-02-23,34900
2019-02-25,35200
2019-03-12,34300
2019-03-17,37200
2019-03-25,37200
2019-04-16,35200
2019-04-19,35200
2019-04-26,35200
2019-05-06,36200
2019-05-09,36200
2019-05-11,38400
2019-05-14,39300
2019-05-16,34200
2019-05-19,39300
2019-05-21,39300
2019-05-24,34300
2019-06-05,34200
2019-06-10,34200
2019-06-13,34200
2019-06-15,34200
2019-06-18,28700
2019-06-25,31200
2019-06-28,31200
2019-06-30,31700
2019-07-03,31700
2019-07-05,31500
2019-07-08,32700
2019-07-10,28500
2019-07-13,31800
2019-07-15,31600
2019-07-18,28400
2019-07-20,28500
2019-07-23,25600
2019-07-25,25700
2019-07-28,26500
2019-07-30,25400
2019-08-02,26200
2019-08-04,24100
2019-08-07,24300
2019-08-09,23400
2019-08-12,37200
2019-08-14,23700
2019-08-17,36800
2019-08-19,23900
2019-08-22,24300
2019-08-24,24300
2019-08-27,22400
2019-08-29,22400
2019-09-03,19000
2019-09-06,19000
2019-09-08,20100
2019-09-11,20100
2019-09-13,20100
2019-09-16,30800
2019-09-21,30800
2019-09-23,30800
2019-09-28,31600
2019-10-01,31600
2019-10-06,31600
2019-10-08,31600
2019-10-11,22400
2019-10-13,22400
2019-10-16,22400
2019-10-18,24700
2019-10-21,24300
2019-10-26,24300
2019-10-28,24300
2019-11-27,33500
2019-11-30,33500
2019-12-02,33500
2019-12-05,33500
2019-12-07,32900
2019-12-10,30900
2019-12-12,30900
2019-12-22,29400
2019-12-25,29400
2019-12-27,29400
2019-12-30,29400
2020-01-06,36700
2020-01-09,36700
2020-01-11,37200
2020-01-14,37200
2020-01-16,36700
2020-01-19,34500
2020-01-26,32900
2020-02-05,33900
2020-02-08,33900
2020-02-10,34600
2020-02-15,34600
2020-02-25,36400
2020-02-28,36400
2020-03-01,36400
2020-03-04,36400
2020-03-11,35900
2020-03-26,41200
2020-04-05,41200
2020-04-08,38000
2020-04-10,38000
2020-04-18,30200
2020-05-05,34800
2020-05-10,34800
2020-05-15,34800
2020-05-20,35200
2020-05-23,35200
2020-05-25,36200
2020-05-28,36200
2020-05-30,36200
2020-06-02,35300
2020-06-04,35200
2020-06-07,33600
2020-06-09,33600
2020-06-12,33600
2020-06-14,31500
2020-06-17,31600
2020-06-19,29400
2020-06-22,30700
2020-06-24,31800
2020-06-27,32200
2020-06-29,31800
2020-07-02,32900
2020-07-04,32600
2020-07-07,36400
2020-07-09,36400
2020-07-12,36700
2020-07-14,36700
2020-07-19,24100
2020-07-22,24100
2020-07-24,28000
2020-07-27,28000
2020-07-29,24400
2020-08-01,28500
2020-08-03,27700
2020-08-06,31700
2020-08-08,25300
2020-08-11,38900
2020-08-13,24700
2020-08-16,39300
2020-08-18,23400
2020-08-21,23900
2020-08-23,23900
2020-08-26,23900
2020-08-28,25000
2020-08-31,23900
2020-09-02,23900
2020-09-07,23900
2020-10-02,19600
2020-10-10,19600
2020-10-12,19600
2020-10-27,20100
2020-10-30,20100
2020-11-01,20500
2020-11-06,20500
2020-11-09,20100
2020-11-11,20100
2020-12-01,24800
2020-12-04,24800
2020-12-06,24800
2020-12-09,24800
2020-12-11,24800
2020-12-16,26300
2020-12-21,26300
2020-12-24,26300
