date,value
2018-01-01,2155948.1460263864
2018-01-06,2288542.0782411764
2018-01-16,2354610.8898120876
2018-01-26,2334985.1640383387
2018-01-31,2396779.3390330556
2018-03-02,2757963.2015785608
2018-03-07,2375659.3935551564
2018-04-06,2403607.4398875693
2018-04-11,2295922.167281838
2018-04-16,2381783.6375055322
2018-04-21,2234477.692109088
2018-04-26,2301967.16717206
2018-05-26,2226510.1732312236
2018-05-31,2165131.184158819
2018-06-10,1894316.2397362143
2018-06-20,1913065.9139475245
2018-06-25,1832328.0475584755
2018-07-05,1454603.5768690635
2018-07-10,1601696.1902758689
2018-07-20,1263984.6232351393
2018-07-25,1294053.3038253188
2018-07-30,1216754.3835548619
2018-08-09,1381994.88189178
2018-08-14,1384761.2290840582
2018-08-19,1199940.991002016
2018-10-08,5063871.787946387
2018-11-27,5198018.90379789
2018-12-22,5291885.584717966
2018-12-27,5112994.67605788
2019-01-16,5140363.3394817
2019-02-10,5094779.905459322
2019-02-15,5161383.737886125
2019-02-20,5225560.1535309255
2019-03-12,5185185.343791755
2019-03-17,5087500.948006975
2019-04-06,4886204.170042247
2019-04-16,4891579.551093563
2019-04-26,5306667.910499953
2019-05-11,5514330.201116588
2019-06-05,4918490.287121758
2019-06-10,4814748.299165218
2019-06-15,4326765.7852802565
2019-06-25,4756986.786043533
2019-07-05,4375609.910708403
2019-07-15,3955167.8286813847
2019-07-20,3780674.7951222607
2019-07-25,3620380.719187818
2019-07-30,3553517.160251834
2019-08-04,3283924.184016941
2019-08-09,3413408.7970556784
2019-08-19,3153328.405550748
2019-08-29,3414189.9031381174
2019-09-03,3283924.184016941
2019-09-13,2894588.208329587
2019-09-28,2980883.199704642
2019-10-18,2992759.34005155
2019-11-02,4220386.126443881
2019-11-07,3838504.9710617587
2019-11-27,4308823.390158526
2019-12-07,4361878.149991877
2020-02-10,4675687.818923327
2020-02-25,4661603.535551234
2020-03-01,4546028.454439053
2020-04-05,4621201.653824684
2020-05-05,4441060.515821105
2020-05-10,4740152.960188306
2020-06-04,4313946.8839194905
2020-06-14,4209380.751733088
2020-06-24,3968396.411249136
2020-06-29,3864678.7227031174
2020-07-04,3814028.799491244
2020-07-19,3595649.489899841
2020-07-24,3357348.7135499283
2020-07-29,3123827.4095489285
2020-08-03,3022528.491920358
2020-08-08,2741421.9904269753
2020-08-13,2640141.9886629344
2020-08-18,2577408.20844397
2020-08-23,2662128.1129492586
2020-08-28,2165131.184158819
2020-10-02,2165131.184158819
2020-10-17,1885590.5378930122
2020-11-01,1637539.1068736622
2020-12-06,2121318.9698437536
2020-12-11,1671899.4250920387
2020-12-16,1493716.2758815505
