date,value
2018-01-01,586800
2018-01-06,587800
2018-01-16,647100
2018-01-26,631600
2018-01-31,640800
2018-03-07,708500
2018-03-12,670400
2018-03-27,667000
2018-04-06,688900
2018-04-11,690300
2018-04-16,676300
2018-05-06,686200
2018-05-26,647900
2018-05-31,636300
2018-06-10,641900
2018-06-15,646400
2018-06-20,674500
2018-06-25,639400
2018-07-05,496800
2018-07-10,565400
2018-07-20,514700
2018-07-25,502600
2018-07-30,459400
2018-08-09,664800
2018-08-14,745000
2018-09-28,1062700
2018-10-08,1024300
2018-11-27,1200500
2018-12-22,1206500
2018-12-27,1199700
2019-01-31,1196700
2019-02-10,1151400
2019-02-15,1170500
2019-02-20,1166400
2019-02-25,1141200
2019-03-12,1185600
2019-03-17,1176300
2019-04-06,1181500
2019-04-16,1181500
2019-04-26,1170200
2019-05-06,1154300
2019-06-05,1131300
2019-06-10,1107200
2019-06-15,1114300
2019-06-25,1127300
2019-06-30,1129700
2019-07-05,1041300
2019-07-20,1024300
2019-07-25,1001300
2019-07-30,997100
2019-08-04,945700
2019-08-09,977500
2019-08-14,960600
2019-08-19,911900
2019-08-24,937800
2019-09-03,927300
2019-09-08,899700
2019-09-13,869500
2019-09-28,888300
2019-10-08,854400
2019-10-13,831300
2019-10-18,869200
2019-11-02,941000
2019-11-07,927300
2019-11-17,984000
2019-11-27,1030000
2019-12-07,1047400
2019-12-22,1052600
2020-01-16,1060300
2020-01-26,1099900
2020-02-10,1072600
2020-02-25,1084200
2020-03-01,1059300
2020-03-16,1040700
2020-04-05,1090100
2020-05-05,1072200
2020-05-10,1056900
2020-05-20,1079400
2020-06-04,1037700
2020-06-14,999700
2020-06-24,989100
2020-06-29,985800
2020-07-04,950600
2020-07-19,1246800
2020-07-24,848300
2020-07-29,788100
2020-08-03,771100
2020-08-13,736100
2020-08-18,738500
2020-08-28,708500
2020-09-27,738500
2020-10-02,732300
2020-10-22,692800
2020-11-01,692300
2020-12-01,669900
2020-12-16,685000
