date,value
2018-01-01,394600
2018-01-06,399500
2018-01-16,393000
2018-01-24,393000
2018-01-26,388200
2018-01-31,388800
2018-02-05,398400
2018-02-08,385200
2018-02-20,347100
2018-02-23,305000
2018-02-28,378500
2018-03-07,379500
2018-03-10,356500
2018-03-30,349600
2018-04-06,362200
2018-04-11,361400
2018-04-16,354700
2018-04-24,334200
2018-04-26,310400
2018-05-24,315200
2018-05-26,304000
2018-05-31,285100
2018-06-03,289900
2018-06-10,288400
2018-06-20,290700
2018-06-25,299200
2018-06-28,282700
2018-07-03,265900
2018-07-05,278000
2018-07-10,290100
2018-07-13,264100
2018-07-18,273300
2018-07-20,275500
2018-07-23,262300
2018-07-25,291000
2018-07-28,278400
2018-07-30,269300
2018-08-02,274900
2018-08-04,274700
2018-08-12,393500
2018-08-14,382600
2018-08-17,382600
2018-08-22,386100
2018-08-27,390400
2018-08-29,382600
2018-09-01,382200
2018-09-11,349600
2018-10-01,385700
2018-10-06,375500
2018-10-08,382600
2018-10-21,620700
2018-10-26,704200
2018-11-05,662400
2018-11-27,656800
2018-12-22,709600
2018-12-27,699500
2019-01-16,710300
2019-01-29,739300
2019-01-31,691200
2019-02-03,696500
2019-02-10,740300
2019-02-20,753600
2019-03-05,755400
2019-03-10,763800
2019-03-17,750400
2019-03-25,961600
2019-03-30,986000
2019-04-06,925600
2019-04-11,918900
2019-04-14,950600
2019-04-16,925600
2019-04-26,950100
2019-04-29,962900
2019-05-09,909400
2019-05-11,909400
2019-05-24,890200
2019-06-05,850400
2019-06-10,799300
2019-06-15,760200
2019-06-18,798000
2019-06-23,781200
2019-06-25,789000
2019-06-28,799300
2019-06-30,774900
2019-07-03,778400
2019-07-05,741700
2019-07-10,727300
2019-07-13,741700
2019-07-20,728600
2019-07-23,752400
2019-07-25,711900
2019-07-28,721800
2019-07-30,711300
2019-08-02,730600
2019-08-04,671500
2019-08-07,688700
2019-08-09,673200
2019-08-12,686900
2019-08-14,664300
2019-08-17,675600
2019-08-22,660600
2019-08-24,641100
2019-08-27,637300
2019-09-03,625800
2019-09-06,633400
2019-09-13,611900
2019-09-16,634000
2019-09-23,627600
2019-09-28,617900
2019-10-01,627000
2019-10-18,603400
2019-10-21,610700
2019-11-02,609500
2019-11-05,638100
2019-11-07,601000
2019-11-20,583600
2019-11-27,563500
2019-11-30,572500
2019-12-05,573800
2019-12-07,575400
2019-12-22,572000
2019-12-25,599400
2020-01-06,589100
2020-01-14,607600
2020-01-19,601700
2020-01-29,567400
2020-02-08,595800
2020-02-10,578000
2020-02-25,593500
2020-02-28,569900
2020-03-01,573800
2020-03-16,539500
2020-03-26,569900
2020-05-05,562200
2020-05-10,559200
2020-05-15,520500
2020-05-23,579300
2020-06-02,556900
2020-06-04,538300
2020-06-07,569900
2020-06-12,496100
2020-06-14,518500
2020-06-17,586000
2020-06-22,488500
2020-06-24,496100
2020-06-29,497100
2020-07-02,472900
2020-07-04,475300
2020-07-07,475800
2020-07-09,468300
2020-07-12,477300
2020-07-14,461800
2020-07-19,450300
2020-07-22,451600
2020-07-24,451800
2020-07-27,464400
2020-07-29,438300
2020-08-01,420600
2020-08-03,435400
2020-08-08,409500
2020-08-11,352000
2020-08-13,401200
2020-08-16,388700
2020-08-18,399400
2020-08-21,390100
2020-08-23,391700
2020-08-26,399500
2020-08-28,368000
2020-09-07,1019100
2020-09-10,360700
2020-09-17,345700
2020-09-20,338000
2020-09-27,332100
2020-09-30,326600
2020-10-02,327800
2020-10-10,314300
2020-10-17,312800
2020-10-20,306700
2020-10-22,309600
2020-10-25,313600
2020-11-01,304000
2020-11-09,307800
2020-11-14,293100
2020-11-26,494700
2020-12-01,494700
2020-12-04,489600
2020-12-11,511000
2020-12-16,493000
2020-12-24,581400
2020-12-29,589100
