date,value
2018-01-01,974784.5140546706
2018-01-06,996276.4269464065
2018-01-16,967810.8473001943
2018-01-24,967810.8473001943
2018-01-26,947020.404258128
2018-01-31,949608.4875328664
2018-02-05,991434.0054481165
2018-02-08,934126.0113798181
2018-02-20,777097.8796785375
2018-02-23,618363.0723650911
2018-02-28,905606.0602880038
2018-03-07,909838.3857689362
2018-03-10,814672.3964992744
2018-03-30,787015.8867975065
2018-04-06,837831.2007363687
2018-04-11,834563.8499548506
2018-04-16,807417.6941971591
2018-04-24,726791.5191910467
2018-04-26,637840.8128863105
2018-05-24,655374.083744694
2018-05-26,614784.886440141
2018-05-31,548860.9354568651
2018-06-03,565295.7222583961
2018-06-10,560137.2456184215
2018-06-20,568055.3000973611
2018-06-25,597735.24539137
2018-06-28,540722.5787199832
2018-07-03,485239.2608492958
2018-07-05,524938.0912733694
2018-07-10,565985.0697739876
2018-07-13,479449.6918775251
2018-07-18,509357.00143802905
2018-07-20,516624.9053651527
2018-07-23,473690.3141075176
2018-07-25,569091.645521617
2018-07-28,526273.5445760619
2018-07-30,496257.3184116186
2018-08-02,514638.3172824686
2018-08-04,513976.85970691
2018-08-12,969987.783161402
2018-08-14,923012.9947551559
2018-08-17,923012.9947551559
2018-08-22,937986.2707696242
2018-08-27,956525.0275898019
2018-08-29,923012.9947551559
2018-09-01,921308.4261933807
2018-09-11,787015.8867975065
2018-10-01,936269.7467527203
2018-10-06,892960.5197141978
2018-10-08,923012.9947551559
2018-10-21,2170423.809818186
2018-10-26,2712738.3138998346
2018-11-05,2434700.1246518963
2018-11-27,2398445.156102625
2018-12-22,2749606.0278858133
2018-12-27,2680825.7432098687
2019-01-16,2754400.988241648
2019-01-29,2956226.7176091988
2019-01-31,2624870.3568474604
2019-02-03,2660541.7846321655
2019-02-10,2963296.5334895905
2019-02-20,3058021.2118365136
2019-03-05,3070940.4101804276
2019-03-10,3131542.3240136774
2019-03-17,3035112.151783445
2019-03-25,4704314.587566861
2019-03-30,4917302.890715142
2019-04-06,4397574.772147489
2019-04-11,4341480.000329671
2019-04-14,4609636.604800462
2019-04-16,4397574.772147489
2019-04-26,4605352.924113814
2019-04-29,4715558.985497126
2019-05-09,4262479.103287822
2019-05-11,4262479.103287822
2019-05-24,4104740.757037036
2019-06-05,3786021.540540381
2019-06-10,3393312.271045454
2019-06-15,3105507.1285581044
2019-06-18,3383565.6931507597
2019-06-23,3258706.683335547
2019-06-25,3316423.482419006
2019-06-28,3393312.271045454
2019-06-30,3212410.720053438
2019-07-03,3238095.1987681715
2019-07-05,2973206.589161484
2019-07-10,2871961.4902844895
2019-07-13,2973206.589161484
2019-07-20,2881039.1064695856
2019-07-23,3049421.5510564772
2019-07-25,2765374.5135575505
2019-07-28,2833693.8856179006
2019-07-30,2761257.2219874645
2019-08-02,2895028.946052981
2019-08-04,2494117.3530767527
2019-08-07,2608116.8051346946
2019-08-09,2505286.1669327035
2019-08-12,2596083.093021132
2019-08-14,2447054.5351332943
2019-08-17,2521090.7703044433
2019-08-22,2423020.9942819006
2019-08-24,2298063.4855440245
2019-08-27,2274047.703204305
2019-09-03,2202036.720396325
2019-09-06,2249513.891569138
2019-09-13,2116343.325243744
2019-09-16,2253280.8034450253
2019-09-23,2213241.571736091
2019-09-28,2153152.140534829
2019-10-01,2209503.8783063376
2019-10-18,2064669.8385788775
2019-10-21,2109014.6428273
2019-11-02,2101696.999035183
2019-11-05,2279094.5545035126
2019-11-07,2050180.1477988276
2019-11-20,1946457.909460907
2019-11-27,1829561.678063513
2019-11-30,1881514.676352423
2019-12-05,1889071.1527733293
2019-12-07,1898389.4751752745
2019-12-22,1878611.840740095
2019-12-25,2040544.9733177081
2020-01-06,1978990.9130092466
2020-01-14,2090133.3175762168
2020-01-19,2054401.731304154
2020-01-29,1851997.1042245803
2020-02-08,2018937.913255992
2020-02-10,1913574.182541678
2020-02-25,2005185.7057344273
2020-02-28,1866441.18468095
2020-03-01,1889071.1527733293
2020-03-16,1694119.8676991998
2020-03-26,1866441.18468095
2020-05-05,1822109.5932839345
2020-05-10,1804962.8922986586
2020-05-15,1590116.069518562
2020-05-23,1921186.2228935554
2020-06-02,1791864.7745915928
2020-06-04,1687466.6914217183
2020-06-07,1866441.18468095
2020-06-12,1460769.62393655
2020-06-14,1579334.9665930313
2020-06-17,1960625.3399012717
2020-06-22,1421457.2338138213
2020-06-24,1460769.62393655
2020-06-29,1465976.9399060179
2020-07-02,1342226.4861216578
2020-07-04,1354287.3331228716
2020-07-07,1356805.9031294992
2020-07-09,1319240.901309794
2020-07-12,1364373.7979378297
2020-07-14,1287055.542739249
2020-07-19,1230959.693601294
2020-07-22,1237246.5219731277
2020-07-24,1238214.9601542726
2020-07-27,1299888.2705239546
2020-07-29,1173585.3600231458
2020-08-01,1091137.1903360842
2020-08-03,1159898.5285687076
2020-08-08,1040767.277755669
2020-08-11,796588.501921923
2020-08-13,1003780.3065702765
2020-08-16,949176.9273979514
2020-08-18,995835.7836095757
2020-08-21,955226.5167259614
2020-08-23,962160.7541122432
2020-08-26,996276.4269464065
2020-08-28,861685.0201727443
2020-09-07,5212754.2227978995
2020-09-10,831709.465408471
2020-09-17,771567.6601381814
2020-09-20,741458.5134951564
2020-09-27,718740.7005955272
2020-09-30,697840.004036196
2020-10-02,702377.31141956
2020-10-10,652070.8797191323
2020-10-17,646581.6487940045
2020-10-20,624466.6649880313
2020-10-22,634938.6833570612
2020-10-25,649506.7317666512
2020-11-01,614784.886440141
2020-11-09,628429.9095369423
2020-11-14,576369.0100377039
2020-11-26,1453492.8994556759
2020-12-01,1453492.8994556759
2020-12-04,1427118.3572185175
2020-12-11,1539189.7659887942
2020-12-16,1444678.0926481003
2020-12-24,1933510.2978786658
2020-12-29,1978990.9130092466
