date,value
2018-01-01,6860100
2018-01-04,6860100
2018-01-06,6860100
2018-01-11,6862300
2018-01-16,6918100
2018-01-19,6913300
2018-01-21,6804700
2018-01-24,6832700
2018-01-26,6836200
2018-01-29,6783300
2018-01-31,6818000
2018-02-05,7006100
2018-02-08,7047800
2018-02-10,7052700
2018-02-13,7043000
2018-02-20,7145100
2018-02-23,7095700
2018-02-25,7335400
2018-02-28,6984200
2018-03-02,6984200
2018-03-05,6937000
2018-03-07,6905500
2018-03-10,6984200
2018-03-12,6999500
2018-03-20,6954400
2018-03-22,7100400
2018-03-27,7053100
2018-03-30,7084600
2018-04-01,7236300
2018-04-04,7043000
2018-04-06,7006100
2018-04-09,6982800
2018-04-11,6952400
2018-04-16,7041300
2018-04-21,7268200
2018-04-24,7347600
2018-04-26,7363100
2018-04-29,7115200
2018-05-01,7129100
2018-05-04,6928800
2018-05-06,6904700
2018-05-09,6889700
2018-05-11,6918100
2018-05-14,7092600
2018-05-21,7171900
2018-05-24,7224700
2018-05-26,7338900
2018-05-29,7183900
2018-05-31,7276000
2018-06-03,7281400
2018-06-05,7182000
2018-06-08,7168100
2018-06-10,7154600
2018-06-13,7147400
2018-06-15,7140800
2018-06-18,7154600
2018-06-20,7203600
2018-06-23,7235300
2018-06-25,8431900
2018-06-28,7209300
2018-07-03,7050300
2018-07-05,7041300
2018-07-08,7028700
2018-07-10,7017200
2018-07-13,6949200
2018-07-15,6976000
2018-07-18,6947800
2018-07-20,6960200
2018-07-23,6959500
2018-07-25,6957000
2018-07-28,6937000
2018-07-30,6934800
2018-08-02,6913300
2018-08-04,6966600
2018-08-09,6954400
2018-08-12,7382700
2018-08-14,7528200
2018-08-17,7491300
2018-08-19,7479200
2018-08-22,7456700
2018-08-24,7498000
2018-08-27,7491300
2018-08-29,7477300
2018-09-01,7467800
2018-09-03,7488700
2018-09-06,7441400
2018-09-08,7497900
2018-09-11,7459700
2018-09-13,7581200
2018-09-16,7565300
2018-09-21,9369600
2018-09-23,9290800
2018-09-28,10511200
2018-10-01,8482000
2018-10-03,9251800
2018-10-06,8383400
2018-10-08,8216500
2018-10-11,8017700
2018-10-18,10835200
2018-10-21,11542100
2018-10-23,11485400
2018-10-26,11052200
2018-10-31,11159900
2018-11-02,11221000
2018-11-05,10885700
2018-11-07,11241300
2018-11-10,11037700
2018-11-15,10936800
2018-11-20,10811500
2018-11-22,10599000
2018-11-27,10711600
2018-11-30,10711600
2018-12-02,10685100
2018-12-05,10509400
2018-12-07,10509400
2018-12-10,10476100
2018-12-12,10488200
2018-12-15,10506200
2018-12-17,10492000
2018-12-20,10479700
2018-12-22,10460700
2018-12-27,10473500
2018-12-30,10590300
2019-01-06,10374400
2019-01-09,10536300
2019-01-14,10433700
2019-01-16,10433700
2019-01-19,10527500
2019-01-21,10711600
2019-01-24,10711600
2019-01-26,10581100
2019-01-29,10685100
2019-02-03,11485400
2019-02-08,10540600
2019-02-10,10425200
2019-02-13,10406000
2019-02-15,10428000
2019-02-20,10391600
2019-02-23,10391600
2019-02-25,10378900
2019-02-28,10291700
2019-03-02,10265500
2019-03-05,10231100
2019-03-07,10211200
2019-03-10,10142700
2019-03-12,10157000
2019-03-15,10183300
2019-03-17,10154500
2019-03-25,10185900
2019-03-30,10361700
2019-04-06,10432900
2019-04-11,10503800
2019-04-14,10642100
2019-04-16,10588100
2019-04-24,10549400
2019-04-26,10395500
2019-04-29,10458000
2019-05-01,10484500
2019-05-06,10375100
2019-05-09,10422400
2019-05-11,10369000
2019-05-16,10341000
2019-05-19,10152800
2019-05-29,9918400
2019-05-31,10189000
2019-06-03,10499100
2019-06-05,10216700
2019-06-10,10261800
2019-06-13,10244500
2019-06-15,10123900
2019-06-18,10166200
2019-06-23,10177000
2019-06-25,10077000
2019-06-28,10077000
2019-06-30,10033700
2019-07-03,9971400
2019-07-05,9942000
2019-07-08,9955900
2019-07-10,9936500
2019-07-13,9905900
2019-07-15,9908800
2019-07-18,9908800
2019-07-20,9834000
2019-07-23,9834000
2019-07-25,9772200
2019-07-28,9745900
2019-07-30,9681300
2019-08-02,9686100
2019-08-04,9627700
2019-08-07,9579800
2019-08-09,9525100
2019-08-12,9495800
2019-08-14,9470100
2019-08-17,9455900
2019-08-19,9392100
2019-08-22,9350800
2019-08-24,9373900
2019-08-27,9350800
2019-09-01,9350800
2019-09-03,9380300
2019-09-06,9450700
2019-09-11,9470100
