date,value
2019-02-15,159200
2019-02-20,144100
2019-02-25,154000
2019-03-22,150700
2019-03-27,154900
2019-04-01,180200
2019-05-01,173100
2019-05-06,130900
2019-05-31,153100
2019-06-25,177900
2019-06-30,177100
2019-07-05,185900
2019-07-10,175400
2019-07-25,180200
2019-08-04,174700
2019-09-03,178900
2019-09-13,174100
2019-09-18,162700
2020-03-31,92000
2020-04-05,91600
2020-04-10,103600
2020-04-15,119200
2020-05-20,104300
2020-05-25,142600
2020-05-30,102400
2020-07-09,133600
2020-07-19,166500
2020-07-29,143100
2020-08-08,164600
2020-09-12,156600
2020-09-17,160100
2020-11-06,161900
2020-11-11,133000
2020-11-21,140500
2021-02-14,139800
2021-02-24,150600
2021-03-01,151000
2021-03-06,150700
2021-03-31,146800
2021-04-15,132300
2021-05-30,185800
2021-06-14,151800
2021-07-19,162000
2021-07-29,145500
2021-09-22,128200
2021-10-27,132500
2022-01-25,141900
2022-02-09,156200
2022-03-06,154800
2022-03-21,166200
2022-04-10,156200
2022-04-15,134800
2022-06-14,178300
2022-06-29,180200
2022-07-14,174600
2022-07-19,183600
2022-07-24,179900
2022-08-03,167300
2022-08-08,175500
2022-08-13,167400
