date,value
2019-02-03,371100
2019-02-13,352300
2019-02-15,367200
2019-02-20,366500
2019-02-23,367200
2019-02-25,366700
2019-03-20,353200
2019-03-22,357100
2019-03-27,364600
2019-03-30,356200
2019-05-06,356000
2019-05-14,365900
2019-06-18,363300
2019-06-23,367200
2019-06-28,371900
2019-07-05,362400
2019-07-15,361600
2019-07-25,325900
2019-08-09,316100
2019-08-14,309100
2019-08-17,300300
2019-08-22,299300
2019-08-24,306500
2019-08-29,305300
2019-09-11,267900
2019-09-13,270800
2019-09-16,258700
2019-10-08,235200
2019-10-11,219200
2019-10-13,217300
2019-12-05,358400
2019-12-10,346500
2019-12-15,328300
2019-12-25,347600
2019-12-30,345500
2020-01-09,349600
2020-01-11,351000
2020-01-14,353700
2020-01-19,349600
2020-01-29,351200
2020-01-31,367700
2020-02-03,346500
2020-02-05,351700
2020-02-15,350100
2020-02-20,355600
2020-02-23,358700
2020-03-11,344000
2020-03-21,366000
2020-03-24,357600
2020-03-26,354000
2020-04-03,362900
2020-04-05,361400
2020-04-10,361600
2020-04-15,365100
2020-04-30,356300
2020-05-05,347200
2020-05-18,361200
2020-05-20,361000
2020-05-28,360800
2020-05-30,361200
2020-06-24,350900
2020-07-07,366200
2020-07-09,357200
2020-07-19,339700
2020-07-22,334200
2020-07-24,312800
2020-07-27,313900
2020-08-06,263300
2020-08-08,272900
2020-09-02,228900
2020-09-05,226400
2020-09-10,222000
2020-09-12,212700
2020-09-17,206300
2020-09-30,197500
2020-10-17,250600
2020-10-30,300600
2020-11-14,302600
2020-11-21,310400
2020-11-26,310300
2020-11-29,301600
2020-12-26,350900
2021-01-03,364100
2021-01-18,359200
2021-02-14,366100
2021-02-19,358700
2021-02-24,368000
2021-02-27,361800
2021-03-01,357500
2021-03-04,364000
2021-03-24,357100
2021-03-29,354300
2021-03-31,366800
2021-04-08,357200
2021-04-15,369000
2021-04-23,359800
2021-05-03,350600
2021-05-28,360300
2021-06-14,360000
2021-07-02,352100
2021-07-22,334200
2021-08-11,308200
2021-08-26,256100
2021-08-31,247700
2021-09-05,232900
2021-09-12,234200
2021-09-27,229700
2021-09-30,221900
2021-10-07,227000
2021-10-12,226500
2021-10-15,221300
2021-10-20,201600
2021-10-27,212300
2021-11-09,217900
2021-11-11,216400
2021-11-19,217000
2021-12-14,358200
2021-12-19,353400
2022-01-13,348700
2022-01-15,347000
2022-01-23,355600
2022-01-25,345600
2022-02-09,350400
2022-03-09,344900
2022-03-24,345700
2022-04-05,357300
2022-05-10,367900
2022-05-28,354400
2022-06-17,346800
2022-07-02,345300
2022-07-12,346200
2022-07-14,332500
2022-07-17,313600
2022-08-01,249500
2022-08-11,194200
2022-08-28,160000
