date,value
2019-05-02,2400
2019-05-05,2400
2019-05-07,2400
2019-05-10,54800
2019-05-12,54800
2019-05-15,53200
2019-05-30,448000
2019-06-29,467600
2019-07-01,467600
2019-07-04,380900
2019-07-06,460700
2019-07-09,426100
2019-07-14,428100
2019-07-24,348500
2019-07-26,408500
2019-07-29,408500
2019-07-31,424900
2019-08-03,287100
2019-08-05,431800
2019-08-08,140000
2019-08-10,24400
2019-08-15,24400
2019-08-18,24300
2019-09-12,4800
2019-09-14,4800
2019-09-17,4800
2019-09-19,4800
2019-09-22,6100
2019-09-27,3400
2020-04-04,900
2020-04-06,900
2020-04-09,2100
2020-04-11,2100
2020-04-14,1000
2020-04-16,1000
2020-04-24,4200
2020-04-29,3800
2020-05-04,469200
2020-05-06,469200
2020-05-09,471000
2020-05-14,471000
2020-05-19,449200
2020-05-21,468500
2020-05-24,451400
2020-05-26,500500
2020-05-29,500500
2020-05-31,500500
2020-06-03,500500
2020-06-05,463600
2020-07-08,598100
2020-07-10,598100
2020-07-13,598100
2020-07-18,598100
2020-07-20,598100
2020-07-23,603600
2020-07-28,608100
2020-07-30,608100
2020-08-02,608100
2020-08-04,608100
2020-08-07,609500
2020-08-09,614000
2020-08-12,613300
2020-08-14,616000
2020-08-19,616000
2020-08-22,616000
2020-08-24,615300
2020-08-27,620400
2020-09-01,620300
2020-09-03,620300
2020-09-06,620300
2020-09-08,620300
2020-09-11,620300
2021-03-30,3900
2021-04-01,3900
2021-04-04,3900
2021-04-06,3900
2021-05-09,31500
2021-05-14,31500
2021-05-19,31500
2021-06-13,43000
2021-07-18,44100
2021-07-20,44100
2021-07-23,44100
2021-08-12,17400
2021-08-14,17400
2021-08-17,17400
2021-08-19,17400
2021-09-01,7900
2021-09-06,17100
2021-09-11,17100
2022-03-25,3600
2022-04-01,3600
2022-04-04,3600
2022-04-14,500
2022-04-16,500
2022-04-19,600
2022-04-29,100
2022-05-09,248200
2022-05-11,248200
2022-05-14,344000
2022-05-19,354400
2022-06-18,6800
2022-06-20,6800
2022-06-23,34400
2022-06-25,34400
2022-07-03,31700
2022-07-05,9300
2022-07-08,9800
2022-07-10,9800
2022-07-13,4400
2022-07-15,6000
2022-07-18,2100
2022-07-20,10300
2022-07-25,8700
2022-07-28,10300
2022-07-30,2100
2022-08-02,3700
2022-08-04,3700
2022-08-07,3400
2022-08-09,2500
2022-08-12,9200
2022-08-22,100100
2022-09-01,110300
