date,value
2019-02-20,39652.22433811147
2019-02-22,36870.407380439414
2019-02-25,52324.88688330776
2019-02-27,59380.11681019461
2019-03-02,55678.31143810567
2019-03-04,61040.34780806037
2019-03-07,56821.25305796144
2019-03-12,61279.551005039495
2019-03-14,56362.56527398649
2019-03-17,36327.18888806586
2019-03-22,8807.331945176666
2019-03-24,8807.331945176666
2019-03-27,13012.508442028497
2019-03-29,12400.351249919202
2019-04-01,6349.2783327483585
2019-04-13,70746.71872679568
2019-05-01,7088535.268571614
2019-05-06,6922800.627353444
2019-05-13,7272344.072182554
2019-05-16,8648338.540502341
2019-05-23,9779678.797272233
2019-05-28,9779678.797272233
2019-05-31,13191081.744099507
2019-06-02,14451833.011271862
2019-06-12,15013324.151326152
2019-06-15,15013324.151326152
2019-06-17,16190904.447290303
2019-06-22,16190904.447290303
2019-06-25,16190904.447290303
2019-06-27,18142202.022953663
2019-06-30,18105552.817805752
2019-07-05,18468564.289995737
2019-07-07,18526796.911591474
2019-07-10,18510905.429738343
2019-07-12,18776729.1518137
2019-07-15,19130765.410921358
2019-07-20,19287461.250771172
2019-07-22,19265806.823777284
2019-07-25,19206325.149786334
2019-08-01,19168525.093851577
2019-08-04,19168525.093851577
2019-08-06,18616988.325459335
2019-08-09,17350303.088070754
2019-08-14,17034852.508908812
2019-08-16,17034852.508908812
2019-08-21,15625059.534884408
2019-08-24,15422873.449123316
2019-08-26,15008597.086377382
2019-08-29,14989696.89737575
2019-08-31,14679706.956804272
2019-09-03,14507460.171781458
2019-09-05,14507460.171781458
2019-09-08,13775278.601763645
2019-09-13,12901946.818062078
2019-09-15,12470475.415422728
2019-09-18,12038560.158461679
2019-09-20,11842315.826835869
2019-09-28,11938131.786946226
2019-09-30,10986793.23260026
2019-10-03,10630766.341947487
2019-10-05,10120074.905589877
2019-10-08,9493456.7203917
2019-10-10,9313713.173027303
2019-10-13,9255424.676184768
2019-10-15,9132220.098285628
2019-10-25,8867160.314954368
2019-10-30,9150282.282267215
2019-11-04,10104812.044172175
2019-11-09,9251788.232315304
2019-11-12,10059098.390904129
2019-11-17,9049383.216655988
2019-11-19,9764696.564380338
2020-02-20,9081748.909302048
2020-02-22,9092551.39732305
2020-02-27,9092551.39732305
2020-03-01,9092551.39732305
2020-03-08,13248442.31384796
2020-03-11,16097475.302356774
2020-03-18,15857878.707974292
2020-03-21,15901740.218074141
2020-03-26,16953955.145855807
2020-03-28,17004491.529065292
2020-04-05,17529766.63801581
2020-04-10,17663730.843510967
2020-04-15,17591527.559001356
2020-04-25,18526796.911591474
2020-05-07,19336231.939005516
2020-05-17,19195521.013719097
2020-05-20,19423100.30282767
2020-05-22,19477500.25653717
2020-05-25,19385069.415372126
2020-05-27,19439411.62705734
2020-05-30,19417664.844490793
2020-06-21,19152337.42935418
2020-06-24,19800140.02196949
2020-06-26,19428536.5860214
2020-07-01,19461171.60826851
2020-07-04,19482944.7893706
2020-07-06,19482944.7893706
2020-07-09,19423100.30282767
2020-07-11,19756223.801371723
2020-07-14,18606365.24410036
2020-07-16,19444850.384938505
2020-07-19,19233349.911624733
2020-07-21,19586547.69887883
2020-07-24,19548343.544477366
2020-07-26,19684972.69316665
2020-07-31,19630259.11643748
2020-08-03,19510179.829992596
2020-08-05,19282046.40751785
2020-08-08,19071510.32010388
2020-08-10,19071510.32010388
2020-08-13,19017728.532950524
2020-08-15,19017728.532950524
2020-08-20,19087660.915286213
2020-08-23,18958663.66785009
2020-08-25,18851528.169578895
2020-08-30,19352503.676188283
2020-09-02,19352503.676188283
2020-09-04,18053266.507147007
2020-09-07,18782066.591879576
2020-09-12,17990631.14368598
2020-09-14,17488658.112657305
2020-09-17,17570927.499219548
2020-09-19,17570927.499219548
2020-09-27,18357668.874891207
2020-09-29,20053684.73025661
2020-10-09,20192214.68466206
2020-10-12,20192214.68466206
2020-10-17,19772686.188251864
2020-10-19,19965296.86193743
2020-10-24,19136157.17977793
2020-10-27,19136157.17977793
2020-10-29,19136157.17977793
2020-11-01,19141549.772455864
2020-11-08,18473854.05750877
2020-11-11,16682467.246440293
2020-11-13,16682467.246440293
2020-11-16,16682467.246440293
2020-11-18,17222727.66704794
2020-11-21,17034852.508908812
2020-11-23,16757642.220186157
2020-11-26,16757642.220186157
2021-02-19,538.6788183708505
2021-02-24,13746.950311692477
2021-03-01,3071552.568393757
2021-03-26,13252860.25527427
2021-03-28,13658238.974277118
2021-03-31,13076765.32142077
2021-04-02,13076765.32142077
2021-04-05,12984826.543906942
2021-04-07,12414968.23976739
2021-04-12,12135232.204653282
2021-04-15,12185836.254419865
2021-04-20,9541456.588802073
2021-04-22,9541456.588802073
2021-05-20,12586188.680234315
2021-05-22,12586188.680234315
2021-05-25,12586188.680234315
2021-05-27,12586188.680234315
2021-05-30,12556133.299169257
2021-06-14,16542630.804890754
2021-06-16,16542630.804890754
2021-06-19,16542630.804890754
2021-06-21,17803432.997637264
2021-06-24,17803432.997637264
2021-06-26,17990631.14368598
2021-06-29,17990631.14368598
2021-07-01,17933319.066573594
2021-07-09,17565779.529098347
2021-07-11,17136267.900952663
2021-07-14,17596679.61887217
2021-07-16,17055109.477333173
2021-07-19,17151508.364051227
2021-07-21,16848094.14421825
2021-07-24,16299451.911257125
2021-07-29,16732563.532922639
2021-08-05,14628383.302911768
2021-08-10,15018052.023397174
2021-08-13,14235075.094179558
2021-08-15,14235075.094179558
2021-08-18,13757237.25862067
2021-08-20,13892859.895052167
2021-08-23,13332519.795381352
2021-08-25,13537270.721023032
2021-08-28,13537270.721023032
2021-08-30,13199897.663987463
2021-09-17,7205497.938312881
2021-09-19,7368419.420559795
2021-09-22,7240470.838486344
2021-09-27,7281920.84589835
2021-10-02,8002892.86505914
2021-10-04,8114226.638708677
2021-10-07,7972673.807068903
2021-10-09,6969490.991886685
2021-10-12,7072809.080702356
2021-10-14,6882473.253900563
2021-10-17,6882473.253900563
2021-10-19,6701053.195331484
2021-10-22,6513236.529870123
2021-10-24,6175437.080394734
2021-10-27,6036119.686449762
2021-11-06,6082367.3243423235
2021-11-13,5833202.362669947
2021-11-16,5833202.362669947
2022-02-24,1366.2699447388502
2022-02-26,1366.2699447388502
2022-03-01,1427.9134735755813
2022-03-03,761.7126647127449
2022-03-23,1880429.73663244
2022-03-26,1726150.0539716503
2022-03-28,1698471.604683063
2022-04-05,1837780.5978304944
2022-04-10,1869717.7090154896
2022-04-12,1863611.445242413
2022-04-15,1863611.445242413
2022-04-17,3047605.6568062943
2022-04-25,3522198.145295448
2022-04-27,3522198.145295448
2022-05-10,4262528.130398172
2022-05-12,5656294.895493706
2022-05-15,5656294.895493706
2022-05-17,5528988.230099616
2022-05-20,6652307.184363598
2022-05-22,7336318.335147929
2022-05-27,8121000.950047671
2022-05-30,8019708.017767892
2022-06-01,8874268.458732462
2022-06-04,10486242.624697803
2022-06-06,10427957.38504941
2022-06-09,11668427.228870772
2022-06-11,11668427.228870772
2022-06-14,12728403.296114113
2022-06-16,12819354.760004638
2022-06-19,13089928.14731223
2022-06-26,14138799.649370499
2022-06-29,13608885.174671944
2022-07-01,14373226.174888527
2022-07-04,14345538.07810563
2022-07-09,14042878.34707774
2022-07-11,13002311.577579327
2022-07-14,12888886.846056975
2022-07-16,11813237.528485036
2022-07-19,11838159.411039012
2022-07-21,10938955.456368567
2022-07-24,10978812.409719838
2022-07-26,9764696.564380338
2022-07-31,9519286.493390257
2022-08-03,7696905.6734148525
2022-08-05,7079097.283318136
2022-08-08,7091682.778790973
2022-08-10,7044549.659144618
2022-08-13,6768394.156830965
2022-08-15,6814517.841835509
2022-08-20,4952141.728184992
2022-08-23,4828621.950638674
2022-08-25,4828621.950638674
2022-08-28,4274480.353536458
2022-08-30,4274480.353536458
