date,value
2019-03-31,37927774.3719099
2019-04-05,29794507.889672134
2019-04-15,26462719.529012296
2019-04-20,22122934.503766317
2019-04-30,30556468.04105909
2019-05-15,40167968.72915709
2019-05-30,47092723.50325556
2019-06-04,50896660.04822959
2019-06-19,65562952.045042574
2019-07-14,73593361.15789948
2019-07-19,73320327.38036615
2019-07-24,73576282.49109405
2019-07-29,74449683.30499686
2019-08-03,73345903.91507035
2019-08-08,73764250.88986182
2019-08-18,74569942.09254788
2019-09-12,74552756.64772159
2020-03-25,3183851.242924215
2020-04-09,49549397.42083201
2020-04-14,57812391.92602163
2020-05-04,64427538.245680094
2020-05-09,65078651.10072383
2020-05-24,74363840.35395259
2020-07-08,74819341.4657625
2020-07-23,74561349.13605638
2020-08-07,74957109.62923275
2020-08-12,75241634.84853517
2020-08-22,75258895.17965779
2020-08-27,74991570.39143792
2020-09-01,75267526.0470995
2020-09-16,74526981.9916868
2021-03-30,20938503.202126767
2021-04-04,17609801.63019149
2021-04-24,7112503.119773207
2021-06-18,55435998.027337804
2021-07-23,81092646.61052763
2021-08-17,89786824.23789608
2021-08-27,89177991.94009288
2022-03-25,57378884.26854473
2022-04-14,50602945.62956669
2022-05-14,64837137.29775966
2022-06-18,85437815.40633185
2022-07-03,86154026.05080643
2022-07-08,86577731.48290345
2022-07-13,87984787.8907805
2022-07-18,87557836.63805303
2022-07-28,88366158.86852983
2022-08-02,86457889.02646242
2022-08-12,86209236.24406375
2022-08-22,89411926.44133483
2022-09-01,88040549.5669895
