date,value
2018-01-05,1614200
2018-01-05,1665700
2018-01-11,1654800
2018-01-17,1469500
2018-01-23,1362200
2018-01-29,1654800
2018-02-04,1649300
2018-02-10,1511200
2018-02-16,1300200
2018-02-22,1614200
2018-02-28,1277300
2018-03-06,1545500
2018-03-12,1458300
2018-03-18,1536000
2018-03-24,1528500
2018-03-30,1594200
2018-04-05,1350700
2018-04-11,1358600
2018-04-11,1584600
2018-04-17,1278600
2018-04-23,1267700
2018-04-23,1430200
2018-04-29,1492900
2018-05-05,1443400
2018-05-11,1350700
2018-05-17,1417100
2018-05-17,1466900
2018-05-23,1417100
2018-05-29,1484100
2018-05-29,1494800
2018-06-04,1523000
2018-06-10,1492900
2018-06-10,1590700
2018-06-16,1447500
2018-06-22,1392300
2018-06-22,1443400
2018-06-28,1500400
2018-07-04,1511200
2018-07-04,1590700
2018-07-10,1515400
2018-07-16,1503700
2018-07-16,1521200
2018-07-22,1466900
2018-07-28,1480200
2018-07-28,1528500
2018-08-03,1400400
2018-08-09,1531000
2018-08-15,1472000
2018-08-21,1445400
2018-08-21,1501800
2018-08-27,1511200
2018-09-02,1449600
2018-09-08,1519300
2018-09-14,1367600
2018-09-14,1453200
2018-09-20,1471200
2018-09-26,1617800
2018-10-02,1513000
2018-10-08,1458300
2018-10-08,1478500
2018-10-14,1410500
2018-10-20,1496200
2018-10-20,1507800
2018-10-26,1367600
2018-11-01,1507800
2018-11-07,1528500
2018-11-13,1465100
2018-11-13,1545500
2018-11-19,1498400
2018-11-25,1453200
2018-11-25,1564900
2018-12-01,1575400
2018-12-07,1531000
2018-12-13,1630400
2018-12-19,1630400
2018-12-25,1548000
2019-01-06,1538400
2019-01-06,1562500
2019-01-12,1617800
2019-01-18,1575400
2019-01-24,1609900
2019-01-30,1621300
2019-01-30,1625900
2019-02-05,1486700
2019-02-05,1575400
2019-02-11,1536000
2019-02-17,1597400
2019-02-17,1639300
2019-02-23,1503700
2019-02-23,1581600
2019-03-01,1484100
2019-03-01,1548000
2019-03-07,1548000
2019-03-07,1587700
2019-03-13,1511200
2019-03-13,1551100
2019-03-19,1524700
2019-03-25,1543300
2019-03-31,1503700
2019-03-31,1511200
2019-04-06,1625900
2019-04-12,1466900
2019-04-12,1478500
2019-04-18,1556800
2019-04-24,1517600
2019-04-30,1490200
2019-04-30,1500400
2019-05-06,1505800
2019-05-12,1533800
2019-05-12,1560000
2019-05-18,1560000
2019-05-24,1488500
2019-05-30,1526200
2019-05-30,1543300
2019-06-05,1517600
2019-06-05,1597400
2019-06-11,1556800
2019-06-17,1362200
2019-06-17,1437400
2019-06-23,1439500
2019-06-29,1590700
2019-07-05,1430200
2019-07-05,1443400
2019-07-11,1354500
2019-07-11,1430200
2019-07-17,1472000
2019-07-23,1484100
2019-07-29,1460900
2019-08-04,1373200
2019-08-04,1424200
2019-08-10,1410500
2019-08-10,1412100
2019-08-16,1389700
2019-08-22,1413600
2019-08-28,1365500
2019-08-28,1392300
2019-09-03,1426600
2019-09-03,1428400
2019-09-09,1456300
2019-09-15,1387500
2019-09-21,1356500
2019-09-21,1465100
2019-09-27,1387500
2019-10-03,1408600
2019-10-09,1406800
2019-10-15,1408600
2019-10-15,1456300
2019-10-21,1439500
2019-10-27,1437400
2019-11-02,1465100
2019-11-02,1536000
2019-11-08,1492900
2019-11-08,1578100
2019-11-14,1634800
2019-11-20,1494800
2019-11-26,1443400
2019-11-26,1458300
2019-12-02,1578100
2019-12-08,1441300
2019-12-14,1142200
2019-12-14,1578100
2019-12-20,1431800
2019-12-26,1259700
2019-12-26,1436200
2020-01-01,1419300
2020-01-07,1449600
2020-01-13,1424200
2020-01-19,1538400
2020-01-25,1392300
2020-01-25,1400400
2020-01-31,1482500
2020-02-06,1437400
2020-02-06,1594200
2020-02-12,1445400
2020-02-18,1405100
2020-02-18,1480200
2020-02-24,1352300
2020-02-24,1484100
2020-03-01,1419300
2020-03-01,1554100
2020-03-07,1392300
2020-03-07,1422000
2020-03-13,1405100
2020-03-19,1590700
2020-03-25,1392300
2020-03-25,1480200
2020-03-31,1437400
2020-04-06,1496200
2020-04-12,1538400
2020-04-18,1430200
2020-04-18,1462600
2020-04-24,1519300
2020-04-30,1492900
2020-04-30,1545500
2020-05-06,1503700
2020-05-12,1556800
2020-05-18,1515400
2020-05-18,1528500
2020-05-24,1526200
2020-05-24,1578100
2020-05-30,1578100
2020-06-05,1511200
2020-06-05,1617800
2020-06-11,1578100
2020-06-11,1649300
2020-06-17,1543300
2020-06-17,1553000
2020-06-23,1548000
2020-06-29,1447500
2020-07-05,1513000
2020-07-11,1562500
2020-07-17,1462600
2020-07-23,1413600
2020-07-23,1428400
2020-07-29,1431800
2020-07-29,1477200
2020-08-04,1500400
2020-08-10,1443400
2020-08-10,1524700
2020-08-16,1503700
2020-08-22,1451500
2020-08-28,1505800
2020-09-03,1533800
2020-09-09,1472000
2020-09-15,1417100
2020-09-21,1451500
2020-09-27,1480200
2020-10-03,1614200
2020-10-09,1428400
2020-10-15,1462600
2020-10-15,1515400
2020-10-21,1458300
2020-10-27,1410500
2020-10-27,1419300
2020-11-02,1314200
2020-11-02,1392300
2020-11-08,1398000
2020-11-14,1451500
2020-11-20,1417100
2020-11-20,1422000
2020-11-26,1562500
2020-12-02,1426600
2020-12-02,1455100
2020-12-14,1417100
2020-12-20,1554100
2020-12-26,1451500
2020-12-26,1551100
