date,value
2018-01-04,27935566.647909798
2018-01-11,27935566.647909798
2018-01-24,29061831.827169724
2018-01-26,29061831.827169724
2018-01-29,29061831.827169724
2018-01-31,29061831.827169724
2018-02-08,9365977.70854037
2018-02-13,19592009.351096954
2018-02-15,19592009.351096954
2018-02-18,19946690.139252257
2018-02-20,19946690.139252257
2018-02-25,19239126.765843358
2018-02-28,19239126.765843358
2018-03-20,28309594.8828808
2018-03-22,28309594.8828808
2018-03-27,28309594.8828808
2018-04-04,29061831.827169724
2018-04-09,31693938.471376903
2018-04-11,31693938.471376903
2018-04-14,29382850.78197791
2018-04-16,32327038.60438732
2018-04-19,31442416.08000777
2018-04-21,33181554.912309185
2018-04-24,31224160.203082934
2018-05-04,32349058.97547442
2018-05-09,35262233.08276559
2018-05-11,35262233.08276559
2018-05-14,38850213.710837826
2018-05-16,38850213.710837826
2018-05-19,38850213.710837826
2018-05-21,38850213.710837826
2018-05-24,38850213.710837826
2018-05-26,37152712.786917396
2018-05-29,37152712.786917396
2018-05-31,37152712.786917396
2018-06-03,37152712.786917396
2018-06-05,21275394.153466493
2018-06-08,21275394.153466493
2018-06-13,41302240.35808445
2018-06-15,41302240.35808445
2018-06-18,42819746.88111744
2018-06-20,42819746.88111744
2018-06-23,42031406.66334183
2018-06-25,42031406.66334183
2018-06-28,42066971.10796785
2018-06-30,42066971.10796785
2018-07-03,39874216.06419858
2018-07-05,40244530.47313501
2018-07-08,40131384.98033983
2018-07-10,42387431.662196964
2018-07-13,39952096.887729295
2018-07-15,42498367.214286506
2018-07-18,40303089.17214736
2018-07-20,40561031.86885311
2018-07-23,40170390.538448445
2018-07-25,41373028.37417166
2018-07-28,39683588.97219458
2018-07-30,41416304.50941569
2018-08-02,41070452.4065362
2018-08-04,41719593.62056755
2018-08-07,39609741.56952772
2018-08-09,41628935.5449794
2018-08-12,39369035.411456935
2018-08-14,39874216.06419858
2018-08-17,38865672.848762065
2018-08-19,40525830.59950034
2018-08-22,39001014.108931385
2018-08-24,40334330.275570504
2018-08-27,38695717.60093927
2018-08-29,39675813.73835557
2018-09-01,38525972.2015623
2018-09-03,39718582.830588914
2018-09-06,38137125.248537
2018-09-08,39485454.56345396
2018-09-16,37868279.931524724
2018-09-18,37255792.397773854
2018-09-21,39024228.759980455
2018-09-23,39024228.759980455
2018-09-26,39024228.759980455
2018-09-28,38294840.11753056
2018-10-01,38799983.47069738
2018-10-03,38560675.75994941
2018-10-06,38102529.44376363
2018-10-08,38102529.44376363
2018-10-13,36262736.052862294
2018-10-16,36262736.052862294
2018-10-21,36729787.19579976
2018-10-23,36729787.19579976
2018-10-31,36729787.19579976
2018-11-30,38622392.68433656
2018-12-02,38622392.68433656
2018-12-05,40823355.8905412
2018-12-07,40823355.8905412
2018-12-10,38310236.73917851
2018-12-12,40197700.774192736
2018-12-15,39769144.83847686
2018-12-17,40561031.86885311
2018-12-20,40131384.98033983
