date,value
2018-01-04,56620053.364988774
2018-01-11,56620053.364988774
2018-01-24,57472848.707697086
2018-01-26,57472848.707697086
2018-01-29,57472848.707697086
2018-01-31,57472848.707697086
2018-02-08,24673343.65322114
2018-02-13,55230162.02758254
2018-02-15,55230162.02758254
2018-02-18,56620053.364988774
2018-02-20,56620053.364988774
2018-02-25,56620053.364988774
2018-02-28,56620053.364988774
2018-03-20,59152774.79114449
2018-03-22,59152774.79114449
2018-03-27,59152774.79114449
2018-04-04,60436113.0151654
2018-04-09,62310576.63693557
2018-04-11,62310576.63693557
2018-04-14,63067857.16846617
2018-04-16,66880157.77917305
2018-04-19,72350202.75462803
2018-04-21,74836073.30939628
2018-04-24,68514682.04788542
2018-05-04,73332471.25905813
2018-05-14,85025544.54386565
2018-05-16,85025544.54386565
2018-05-19,84807108.39248298
2018-05-21,84807108.39248298
2018-05-24,81246661.56219552
2018-05-26,80573288.796384
2018-05-29,79499091.91270867
2018-05-31,79853347.5964263
2018-06-03,79853347.5964263
2018-06-05,76747607.31632982
2018-06-08,82103450.15773937
2018-06-10,82074021.44099976
2018-06-13,83752519.19645528
2018-06-15,83752519.19645528
2018-06-18,83752519.19645528
2018-06-20,82329195.44149531
2018-06-23,85642215.95364057
2018-06-25,85642215.95364057
2018-06-28,86595197.82321785
2018-06-30,86595197.82321785
2018-07-03,84365885.39436212
2018-07-05,85482922.62819341
2018-07-08,85463018.4091364
2018-07-10,88638424.28529239
2018-07-13,86230524.62533917
2018-07-15,89042039.10178192
2018-07-18,87040542.28671391
2018-07-20,87657359.81974304
2018-07-23,87657359.81974304
2018-07-25,86200575.93142626
2018-07-28,86455258.20815732
2018-07-30,85204414.2222187
2018-08-02,88431825.57979728
2018-08-04,88431825.57979728
2018-08-07,85274010.89539668
2018-08-09,88497313.8471709
2018-08-12,85701978.2477075
2018-08-14,86030936.84902053
2018-08-17,84296554.36029911
2018-08-19,86695204.16202798
2018-08-22,84034271.30981444
2018-08-24,85642215.95364057
2018-08-27,82530589.68043423
2018-08-29,83772280.24929437
2018-09-01,81085455.62653992
2018-09-03,83194957.68388066
2018-09-06,80919484.27506074
2018-09-08,82830550.03021017
2018-09-16,82555161.97180387
2018-09-18,83816748.70439859
2018-09-21,84494697.01756735
2018-09-23,84494697.01756735
2018-09-26,83979871.78607774
2018-09-28,85731864.97667673
2018-10-01,85731864.97667673
2018-10-03,83027456.20930734
2018-10-06,83293544.26069386
2018-10-08,80286008.66359958
2018-10-13,80286008.66359958
2018-10-16,80286008.66359958
2018-10-21,83106265.4167076
2018-10-23,83106265.4167076
2018-10-31,83106265.4167076
2018-11-02,78053980.57284795
