date,value
2018-01-02,21751271.237567484
2018-01-04,21751271.237567484
2018-01-12,33689880.98916894
2018-01-17,34008328.32237884
2018-01-19,33730630.69220935
2018-01-22,26162458.897249334
2018-01-24,24026003.88001393
2018-01-27,24177958.130563118
2018-02-01,23799765.77639335
2018-02-06,26162458.897249334
2018-02-11,24177958.130563118
2018-02-13,24569457.69881516
2018-02-16,23395015.19419019
2018-02-18,23415694.076791868
2018-02-21,23799765.77639335
2018-02-26,23949320.966450576
2018-02-28,23458802.022517733
2018-03-20,48928700.66867805
2018-03-25,48928700.66867805
2018-03-28,50717974.66460401
2018-04-02,52989718.793469064
2018-04-04,52539208.69093942
2018-04-07,52539208.69093942
2018-04-14,53565419.37708291
2018-04-17,55704149.58191582
2018-04-19,56437640.99604651
2018-04-22,56905758.86827372
2018-04-24,56069057.77670398
2018-04-27,56043324.21213496
2018-04-29,56685703.409065165
2018-05-02,56737445.94509511
2018-05-04,57188520.388885885
2018-05-07,57834264.45446806
2018-05-09,55891606.59502399
2018-05-12,56213265.96570006
2018-05-14,56069057.77670398
2018-05-19,56957593.50973507
2018-05-22,57271655.12207795
2018-05-24,57300245.49217605
2018-05-29,57513580.13300012
2018-06-01,57417274.31384598
2018-06-03,56437640.99604651
2018-06-06,57313243.28066521
2018-06-08,57313243.28066521
2018-06-11,57313243.28066521
2018-06-13,53691498.011913806
2018-06-16,55028637.47294415
2018-06-21,58706565.137511864
2018-06-23,53165394.019296534
2018-06-26,52190033.30290657
2018-06-28,48354867.06900587
2018-07-01,48294770.8583697
2018-07-03,48054729.20342255
2018-07-06,47090555.22285003
2018-07-08,45717361.8735689
2018-07-11,45811142.1024573
2018-07-13,44113555.40335655
2018-07-16,45829908.73594256
2018-07-18,42230534.30971387
2018-07-21,43216416.25823909
2018-07-23,43300949.15226925
2018-07-26,42230534.30971387
2018-07-28,40980566.57095856
2018-07-31,40742422.563302256
2018-08-02,39728087.07183883
2018-08-05,38480487.74208252
2018-08-07,37347235.19330275
2018-08-10,36486909.67382563
2018-08-12,37178696.04889653
2018-08-15,34546249.88001397
2018-08-17,34328150.66327113
2018-08-20,32505964.01474979
2018-08-22,33065193.09251785
2018-08-25,32002823.868120156
2018-08-27,32544045.241630416
2018-08-30,31363199.571532905
2018-09-01,31446035.11596873
2018-09-04,29783383.720040914
2018-09-06,27971235.55569314
2018-09-16,26048314.12215683
2018-09-19,21040221.142126445
2018-09-21,20312578.209593777
2018-09-24,20058194.92061536
2018-09-26,20022891.232879777
2018-09-29,19261320.249624625
2018-10-01,18491672.29318146
2018-10-04,17963182.537108205
2018-10-06,17141815.863034453
2018-10-09,16887278.6599087
2018-10-11,17141815.863034453
2018-10-14,16736282.296820935
2018-10-16,16887278.6599087
2018-10-19,25482821.613946315
2018-10-24,47817629.02071075
2018-10-29,45198485.9154445
2018-10-31,53323729.94747025
2018-11-03,49311365.01078238
2018-11-05,52182562.67365694
2018-11-08,52182562.67365694
2018-11-10,49117439.848456874
2018-11-13,49117439.848456874
2018-11-15,45072684.11709193
2018-11-28,56236458.14421829
2018-11-30,56236458.14421829
2018-12-03,56685703.409065165
2018-12-05,54050303.252883285
2018-12-08,54131312.24708179
2018-12-10,53812661.52372821
2018-12-13,53812661.52372821
2018-12-15,53858130.16804162
2018-12-20,54336615.18619932
2018-12-23,53691498.011913806
2018-12-28,53434441.97635945
2018-12-30,54116118.81766478
2019-01-02,54288425.67391384
2019-01-04,54306177.42078827
2019-01-07,56339587.63213823
2019-01-09,53845498.22044951
2019-01-12,54733018.575969
2019-01-14,54987818.98796188
2019-01-17,54908772.749906436
2019-01-24,56043324.21213496
2019-01-27,56843585.90206348
2019-01-29,56306061.032781854
2019-02-03,58014518.929398105
2019-02-06,55496487.80543988
2019-02-08,55773449.30171934
2019-02-11,57271655.12207795
2019-02-13,56605545.316209674
2019-02-21,59312554.059414245
2019-02-26,60783917.25888462
2019-02-28,59786147.97915425
2019-03-03,58386287.62996477
2019-03-10,57654267.556781076
2019-03-13,57643840.85421562
2019-03-15,57975311.2661837
2019-03-18,58137448.41021287
2019-03-20,58129598.27821541
2019-03-23,58100818.6250138
2019-03-25,58659260.493292674
2019-03-28,59568979.69343905
2019-03-30,60208276.2354947
2019-04-02,60216254.0255504
2019-04-04,58961785.962261096
2019-04-12,60027576.51008395
2019-04-14,58564703.73182559
2019-04-19,60059446.57578042
2019-04-22,60040854.76024311
2019-04-24,58964419.75188713
2019-04-27,59606031.51842999
2019-04-29,59764944.85693136
2019-05-02,59852429.992053516
2019-05-07,61402315.15121172
2019-05-09,61222657.10395917
2019-05-12,63877284.743907675
2019-05-14,61321841.36622536
2019-05-19,61308433.7798683
2019-05-22,61727384.52935491
2019-05-24,61024509.75251565
2019-05-29,60266791.29899596
2019-06-01,59852429.992053516
2019-06-06,58682910.626898654
2019-06-08,59177936.08126252
2019-06-11,58221213.43433759
2019-06-13,57714237.898934565
2019-06-18,57789893.47732682
2019-06-21,65344030.13522208
2019-06-23,59576918.479719944
2019-06-26,58882797.3918962
2019-06-28,58491208.00878975
2019-07-01,58085123.390481114
2019-07-03,58137448.41021287
2019-07-08,57740320.889146335
2019-07-11,57497957.939143956
2019-07-13,58137448.41021287
2019-07-16,58499080.52368616
2019-07-18,57664695.12519106
2019-07-21,57196311.91464882
2019-07-23,56817689.70956716
2019-07-26,56141140.61185221
2019-07-28,56133415.41712586
2019-07-31,55519543.750052
2019-08-02,55673362.40484609
2019-08-05,55699017.84305118
2019-08-07,56957593.50973507
2019-08-10,56698637.011000834
2019-08-12,56437640.99604651
2019-08-15,55850495.38436893
2019-08-17,53653660.1321004
2019-08-20,53341336.172461964
2019-08-22,52604173.2369706
2019-08-25,51173601.7586651
2019-08-27,50171247.16691446
2019-08-30,50408727.03448969
2019-09-01,49844029.34961317
2019-09-04,49165888.2462417
2019-09-06,48249120.688150875
2019-09-09,47566747.63862518
2019-09-11,48009183.37688986
2019-09-16,46713552.40140929
2019-09-19,46335583.47363852
2019-09-24,46314364.60907352
2019-09-26,46666229.19065423
2019-09-29,46609470.40883286
2019-10-01,46571648.84125153
2019-10-04,45966072.35931994
2019-10-06,45949628.97757221
2019-10-09,45469271.06547512
2019-10-11,46147127.82071723
2019-10-14,45548779.84068675
2019-10-16,45112271.02351818
2019-10-19,45469271.06547512
2019-10-21,45579197.10897766
2019-10-24,45014497.06650161
2019-10-26,44884283.31979531
2019-10-29,45063371.869867206
2019-10-31,45084325.66846161
2019-11-03,45112271.02351818
2019-11-05,44940068.003761716
2019-11-08,37837762.27994649
2019-11-10,37481890.635448046
2019-11-13,37481890.635448046
2019-11-15,42284780.20041199
2019-11-18,43766086.86764121
2019-11-23,43779869.49342407
2019-11-28,43408438.125329815
2019-11-30,44416023.31896078
2019-12-03,44851756.94619551
2019-12-05,45895619.7429273
2019-12-08,44591935.76581021
2019-12-10,44372095.094682194
2019-12-13,43908603.408928394
2019-12-15,43809738.68452585
2019-12-23,47066803.35574586
2019-12-25,43708680.70816171
2019-12-28,46008367.744259864
2019-12-30,46008367.744259864
2020-01-02,39559076.79016945
2020-01-04,39559076.79016945
2020-01-07,46933894.58357774
2020-01-09,46630751.23536231
2020-01-12,48136281.74945944
2020-01-14,48071514.24319631
2020-01-19,47769795.37617576
2020-01-24,31154584.620567523
2020-01-27,31154584.620567523
2020-01-29,50078354.19754577
2020-02-01,50078354.19754577
2020-02-03,50504353.739511326
2020-02-06,50504353.739511326
2020-02-11,49973333.80276941
2020-02-16,50717974.66460401
2020-02-21,50806490.611320004
2020-02-23,51752587.163263
2020-02-26,50806490.611320004
2020-02-28,50853235.93055448
2020-03-02,50912310.86081611
2020-03-04,50978807.79619624
2020-03-07,50986198.80445146
2020-03-09,50804030.87812125
2020-03-12,50968953.88379531
2020-03-14,52404400.11029489
2020-03-22,52327081.852423884
2020-03-27,50492089.25541886
2020-03-29,52167622.88823216
2020-04-01,52115349.10713087
2020-04-03,52070562.160880305
2020-04-11,52689182.48618957
2020-05-01,56934265.23961169
2020-05-03,57469322.31134057
2020-05-06,57469322.31134057
2020-05-08,56117966.49198707
2020-05-11,56117966.49198707
2020-05-13,56817689.70956716
2020-05-18,56458293.78445731
2020-05-21,59977131.45736011
2020-05-23,57889097.247916535
2020-05-26,58035434.65922732
2020-05-28,57565668.18506092
2020-06-05,57609960.0507713
2020-06-07,58006676.42315438
2020-06-10,58373178.66404626
2020-06-12,57917828.708585195
2020-06-15,59545166.249050535
2020-06-17,56755560.95338657
