date,value
2018-01-05,5238500
2018-01-10,5238500
2018-01-10,4255200
2018-01-11,4327000
2018-01-16,4740900
2018-01-17,3521300
2018-01-22,3151400
2018-01-23,3290100
2018-01-28,4164000
2018-01-29,4740900
2018-02-03,4740900
2018-02-04,4997500
2018-02-09,4997500
2018-02-10,4193300
2018-02-15,4997500
2018-02-15,3097700
2018-02-16,3099900
2018-02-21,2533200
2018-02-22,3155600
2018-02-27,4671900
2018-02-27,3807900
2018-02-28,3807900
2018-03-05,4255200
2018-03-06,3349400
2018-03-11,3127300
2018-03-12,3119600
2018-03-17,4496700
2018-03-18,3209300
2018-03-23,3268800
2018-03-24,3383000
2018-03-29,3303600
2018-03-30,3776600
2018-04-04,3319900
2018-04-05,3134000
2018-04-10,3190700
2018-04-11,3212300
2018-04-16,3277800
2018-04-17,3300200
2018-04-22,3377100
2018-04-23,3265300
2018-04-28,3300200
2018-04-29,3388600
2018-05-04,3990600
2018-05-05,3411500
2018-05-10,3538200
2018-05-10,3343500
2018-05-11,3371100
2018-05-16,3538200
2018-05-17,3365600
2018-05-22,3616100
2018-05-23,3241700
2018-05-28,3225700
2018-05-29,3355000
2018-06-03,4327000
2018-06-04,3585100
2018-06-09,3967700
2018-06-10,3556800
2018-06-15,3268800
2018-06-16,3281300
2018-06-22,3265300
2018-06-27,3219500
2018-06-28,3303600
2018-07-03,3967700
2018-07-04,3693600
2018-07-09,4740900
2018-07-09,3265300
2018-07-10,3309200
2018-07-15,3229900
2018-07-16,3229900
2018-07-21,3967700
2018-07-21,3411500
2018-07-22,3431000
2018-07-27,3693600
2018-07-28,3566300
2018-08-02,3281300
2018-08-03,3281300
2018-08-08,3222400
2018-08-09,3229900
2018-08-14,4367800
2018-08-14,3471100
2018-08-15,3506900
2018-08-20,3682700
2018-08-21,3343500
2018-08-26,3047300
2018-08-27,3097700
2018-09-01,3202200
2018-09-02,3075600
2018-09-07,2934000
2018-09-08,3002800
2018-09-13,3149600
2018-09-14,2943200
2018-09-19,2923900
2018-09-20,2936400
2018-09-25,3047300
2018-09-26,3023800
2018-10-01,4550400
2018-10-01,3682700
2018-10-02,3693600
2018-10-07,4061300
2018-10-08,3706600
2018-10-13,3343500
2018-10-14,3349400
2018-10-19,3245300
2018-10-20,3068500
2018-10-25,2926100
2018-10-26,2934000
2018-10-31,2915500
2018-11-01,2973300
2018-11-06,3132100
2018-11-07,3151400
2018-11-12,3333000
2018-11-13,3172600
2018-11-18,3044300
2018-11-19,3079900
2018-11-24,3127300
2018-11-25,3212300
2018-11-30,4288800
2018-11-30,3405300
2018-12-01,3449800
2018-12-06,3265300
2018-12-07,3277800
2018-12-12,3399200
2018-12-13,3300200
2018-12-18,4452900
2018-12-19,3792300
2018-12-24,4671900
2018-12-24,3349400
2018-12-25,3399200
2018-12-30,3371100
2019-01-05,3315500
2019-01-06,4255200
2019-01-11,3500200
2019-01-12,3500200
2019-01-17,3706600
2019-01-18,3585100
2019-01-23,3706600
2019-01-24,3636800
2019-01-29,4014200
2019-01-30,3747600
2019-02-04,3733700
2019-02-05,3521300
2019-02-10,3492100
2019-02-11,3388600
2019-02-16,3659500
2019-02-17,3605600
2019-02-22,3762300
2019-02-23,3549300
2019-02-28,3463500
2019-03-01,3471100
2019-03-06,3719800
2019-03-07,3626300
2019-03-12,3648400
2019-03-13,3492100
2019-03-18,3479900
2019-03-19,3399200
2019-03-24,3487000
2019-03-25,3405300
2019-03-30,3487000
2019-03-31,3383000
2019-04-05,3506900
2019-04-06,3492100
2019-04-11,3693600
2019-04-12,3463500
2019-04-17,3365600
2019-04-18,3303600
2019-04-23,3377100
2019-04-24,3487000
2019-04-29,3411500
2019-04-30,3333000
2019-05-05,3349400
2019-05-06,3297000
2019-05-11,3323400
2019-05-12,3311700
2019-05-17,3449800
2019-05-18,3360100
2019-05-23,3500200
2019-05-24,3229900
2019-05-29,3225700
2019-05-30,3245300
2019-06-04,3443200
2019-06-05,3399200
2019-06-10,3792300
2019-06-11,3566300
2019-06-16,3575900
2019-06-17,3286100
2019-06-22,3160300
2019-06-23,3311700
2019-06-28,3117400
2019-06-29,3110600
2019-07-04,4408800
2019-07-05,3595500
2019-07-10,3293600
2019-07-11,3151400
2019-07-16,3122400
2019-07-17,3107000
2019-07-22,3108500
2019-07-23,3097700
2019-07-28,3506900
2019-07-29,3333000
2019-08-03,3411500
2019-08-04,3328800
2019-08-09,3456700
2019-08-10,3360100
2019-08-15,3471100
2019-08-16,3290100
2019-08-21,3196200
2019-08-22,3033900
2019-08-27,3529200
2019-08-28,3456700
2019-09-02,3538200
2019-09-03,3456700
2019-09-08,3424100
2019-09-09,3219500
2019-09-14,2926100
2019-09-15,2860500
2019-09-20,2843500
2019-09-21,2819900
2019-09-26,2803700
2019-09-27,2785300
2019-10-02,3388600
2019-10-03,3411500
2019-10-08,3747600
