date,value
2018-01-04,34315525.99072017
2018-01-24,37849185.69399953
2018-02-13,34315525.99072017
2018-03-20,55623204.302383415
2018-03-25,56068461.75097272
2018-04-04,59116873.314622335
2018-04-14,61369450.120036736
2018-04-19,64638768.72166231
2018-04-24,62936029.255616724
2018-05-04,53870379.425458886
2018-05-09,67132003.38125136
2018-05-19,69288940.1690116
2018-05-24,69966328.50479127
2018-06-08,64856402.60158644
2018-06-13,66064699.81032973
2018-06-23,67801484.27855544
2018-06-28,63739139.88060574
2018-07-03,65000574.78081262
2018-07-08,64376690.41175191
2018-07-13,65295697.67385773
2018-07-18,64399047.46658885
2018-07-28,60571393.2862538
2018-08-02,63433955.774143524
2018-08-07,62723983.51059029
2018-08-17,60921433.19663041
2018-08-22,57733818.27804557
2018-08-27,56920223.01986747
2018-09-01,57733818.27804557
2018-09-06,56214138.13497205
2018-09-16,56068461.75097272
2018-09-21,56001740.46911933
2018-09-26,48655077.42752406
2018-10-06,52493286.810343444
2018-10-16,51229211.5708141
2018-11-15,58142226.680204935
2018-11-30,66106624.48787297
2018-12-05,67258559.83934216
2018-12-10,66242141.132801965
2018-12-15,68375425.76033933
2018-12-20,63777326.24205068
2018-12-30,66013113.80715072
2019-01-09,68078446.94950958
2019-01-14,68466900.68851036
2019-02-03,69880697.58681877
2019-02-08,68225244.42805333
2019-02-13,68532267.80609612
2019-02-28,65465940.08019848
2019-03-10,67713595.92814365
2019-03-15,67912218.88346034
2019-03-20,70990317.67033516
2019-03-25,67912218.88346034
2019-04-04,68692515.40661427
2019-04-14,66866199.992789626
2019-04-19,37329056.015620805
2019-05-09,66364840.47314617
2019-05-14,68718691.51533546
2019-05-19,65575239.097039744
2019-05-24,67537946.63904762
2019-05-29,63777326.24205068
2019-06-08,64680354.1323434
2019-06-13,65575239.097039744
2019-06-18,62357490.14805578
2019-06-23,42770274.96510606
2019-06-28,62632285.1890674
2019-07-03,54211481.91371331
2019-07-08,61281630.28546312
2019-07-13,60231451.292212725
2019-07-18,59550605.24362771
2019-07-23,57733818.27804557
2019-07-28,58480817.55456451
2019-08-02,59209716.442366846
2019-08-17,55302955.44774262
2019-08-27,51249745.317156255
2019-09-01,51817096.021843635
2019-09-06,50020248.96966873
2019-09-11,49457437.69658733
2019-09-16,48453815.39587906
2019-09-26,48738548.40876951
2019-10-01,46874801.02893714
2019-10-06,46951442.76826679
2019-10-16,45049437.43275372
2019-10-21,44427527.59383872
2019-10-26,44541628.09316451
2019-10-31,44831542.340987146
2019-11-05,41852498.009641804
2019-11-10,34055662.56664888
2019-11-15,40952949.90511612
2019-11-30,43022862.247838795
2019-12-05,45688614.4731274
2019-12-10,41223131.76246109
2019-12-15,41496686.53138754
2020-01-29,48433706.28550635
2020-02-03,46333964.87159295
2020-02-23,47267015.10261026
2020-02-28,45245319.13015044
2020-03-04,46410276.232824825
2020-03-14,47540576.958507985
2020-04-03,53998946.69551119
2020-05-03,59466865.05076343
2020-05-08,58798525.104392864
2020-05-13,60602616.30045538
2020-05-18,59603353.063377835
2020-05-23,61052891.759100564
2020-05-28,60153583.43894573
2020-06-17,58277575.15542933
2020-06-22,58983892.8193925
2020-06-27,58296040.846078716
2020-07-02,56575900.94179049
2020-07-07,56527210.28175458
2020-07-12,64268140.135870785
2020-07-17,53927174.14384785
2020-07-22,54223464.97964381
2020-07-27,53679234.9486925
2020-08-01,53226281.88111687
2020-08-06,51179356.6617647
2020-08-11,38812785.76536841
2020-08-16,50119130.112198286
2020-08-21,47087809.85778926
2020-08-26,47906239.913346544
2020-08-31,45767340.95980781
2020-09-05,44898545.07233387
2020-09-10,45688614.4731274
2020-09-15,43938969.86330835
2020-09-25,43620829.84896866
2020-10-15,40317948.44421289
2020-10-25,38548611.687795684
2020-10-30,39019307.682081535
2020-11-09,38635714.83965746
2020-11-19,17689835.70039758
2020-11-24,34315525.99072017
2020-11-29,38812785.76536841
2020-12-09,36764940.42362104
2020-12-19,40820802.48262106
2020-12-24,38087926.102487996
2020-12-29,37198791.90905332
