date,value
2018-01-05,557600
2018-01-10,596600
2018-01-11,566000
2018-01-17,525500
2018-01-22,574800
2018-01-23,537700
2018-01-29,613900
2018-02-03,564400
2018-02-04,569400
2018-02-10,521400
2018-02-15,546700
2018-02-16,505300
2018-02-22,520500
2018-02-27,566900
2018-02-28,528100
2018-03-06,560500
2018-03-11,627900
2018-03-12,583000
2018-03-18,607400
2018-03-23,645500
2018-03-24,657600
2018-03-29,614400
2018-03-30,604300
2018-04-04,603800
2018-04-05,593500
2018-04-11,636400
2018-04-16,606400
2018-04-17,607400
2018-04-23,602600
2018-04-28,635600
2018-04-29,647300
2018-05-05,604300
2018-05-10,617700
2018-05-11,613900
2018-05-17,613300
2018-05-23,610900
2018-05-29,613900
2018-06-03,619700
2018-06-04,618800
2018-06-10,592600
2018-06-15,605400
2018-06-16,589000
2018-06-22,577900
2018-06-27,617200
2018-06-28,607400
2018-07-04,605400
2018-07-09,592600
2018-07-10,606400
2018-07-16,598700
2018-07-21,606400
2018-07-22,606400
2018-07-28,592600
2018-08-02,583900
2018-08-03,574800
2018-08-09,585500
2018-08-14,610900
2018-08-15,600100
2018-08-21,566900
2018-08-26,590100
2018-08-27,591100
2018-09-02,573700
2018-09-07,573700
2018-09-08,577900
2018-09-14,573100
2018-09-19,590100
2018-09-20,571600
2018-09-26,567700
2018-10-01,610500
2018-10-02,583900
2018-10-08,577900
2018-10-13,593500
2018-10-14,578800
2018-10-20,584700
2018-10-25,584700
2018-10-26,571600
2018-11-01,585500
2018-11-06,601300
2018-11-07,598300
2018-11-13,591900
2018-11-18,596600
2018-11-19,608500
2018-11-25,602600
2018-11-30,610900
2018-12-01,602600
2018-12-06,586800
2018-12-07,577900
2018-12-12,610900
2018-12-13,618800
2018-12-19,600100
2018-12-24,591100
2018-12-25,592600
2019-01-05,592600
2019-01-06,586800
2019-01-11,595600
2019-01-12,604300
2019-01-17,610900
2019-01-18,598700
2019-01-23,590700
2019-01-24,583900
2019-01-29,618800
2019-01-30,615600
2019-02-04,589000
2019-02-05,582100
2019-02-10,590700
2019-02-11,592600
2019-02-16,601300
2019-02-17,595600
2019-02-22,596600
2019-02-23,580000
2019-02-28,585500
2019-03-01,577900
2019-03-06,602600
2019-03-07,611800
2019-03-12,586100
2019-03-13,566000
2019-03-18,573700
2019-03-19,577200
2019-03-24,576500
2019-03-25,581600
2019-03-30,586800
2019-03-31,578800
2019-04-05,617200
2019-04-06,607400
2019-04-11,592600
2019-04-12,580700
2019-04-17,576500
2019-04-23,614400
2019-04-24,593500
2019-04-29,574800
2019-04-30,571100
2019-05-05,596600
2019-05-06,602600
2019-05-11,576500
2019-05-12,583900
2019-05-17,639500
2019-05-18,577900
2019-05-23,566000
2019-05-24,566900
2019-05-29,584700
2019-05-30,582100
2019-06-04,586800
2019-06-05,549700
2019-06-10,591100
2019-06-11,578800
2019-06-16,564900
2019-06-17,528100
2019-06-22,558500
2019-06-23,528100
2019-06-28,545800
2019-07-04,583900
2019-07-05,546700
2019-07-10,572500
2019-07-11,522900
2019-07-16,578800
2019-07-17,543700
2019-07-22,566900
2019-07-23,531600
2019-07-28,576500
2019-07-29,549700
2019-08-03,558500
2019-08-04,528100
2019-08-09,590100
2019-08-10,533200
2019-08-15,550600
2019-08-16,524000
2019-08-21,566900
2019-08-22,536600
2019-08-27,583900
2019-08-28,530500
2019-09-02,564400
2019-09-03,525500
2019-09-08,571600
2019-09-09,528100
2019-09-14,567700
2019-09-15,530500
2019-09-20,549700
2019-09-21,531600
2019-09-26,552300
2019-09-27,515700
2019-10-02,574800
2019-10-03,535600
2019-10-08,569400
2019-10-09,536600
2019-10-14,570400
2019-10-15,537700
2019-10-20,583900
2019-10-21,539600
2019-10-26,546700
2019-10-27,529200
2019-11-01,586100
2019-11-02,559800
2019-11-07,577900
2019-11-08,556500
2019-11-13,577900
2019-11-14,580000
2019-11-19,572500
2019-11-20,525500
2019-11-25,580000
2019-11-26,559800
2019-12-01,569400
2019-12-02,537700
2019-12-07,558500
2019-12-08,533200
2019-12-13,563900
2019-12-19,586800
2019-12-20,575800
2019-12-25,553700
2019-12-26,520500
2020-01-01,543700
2020-01-06,562800
2020-01-07,526600
2020-01-12,553700
2020-01-13,533200
2020-01-18,564400
2020-01-19,553700
2020-01-24,583900
2020-01-25,564900
2020-01-30,585500
2020-01-31,577200
2020-02-05,563900
2020-02-06,599600
2020-02-11,591100
2020-02-12,564900
2020-02-17,573700
2020-02-18,564400
2020-02-23,569400
2020-02-24,549700
2020-02-29,583000
2020-03-01,581600
2020-03-06,586800
2020-03-07,566900
2020-03-12,563900
2020-03-13,560500
2020-03-19,571100
2020-03-24,586100
2020-03-25,570400
2020-03-30,555700
2020-03-31,570400
2020-04-05,607400
2020-04-06,602600
2020-04-11,591900
2020-04-12,609200
2020-04-17,589000
2020-04-18,588200
2020-04-23,591100
2020-04-24,599100
2020-04-29,592600
2020-04-30,608500
2020-05-05,592600
2020-05-06,599600
2020-05-11,591900
2020-05-12,598700
2020-05-17,586800
2020-05-18,575800
2020-05-23,589000
2020-05-24,608500
2020-05-29,580700
2020-05-30,597600
2020-06-04,600700
2020-06-05,610500
2020-06-10,601300
2020-06-11,600700
2020-06-16,601300
2020-06-22,580000
2020-06-23,574800
2020-06-28,580700
2020-06-29,573700
2020-07-04,584700
2020-07-05,566900
2020-07-10,572500
2020-07-11,576500
2020-07-16,573700
2020-07-17,573100
