date,value
2018-01-04,7725084.409276094
2018-01-24,12962999.513682775
2018-02-13,8455178.40394376
2018-03-20,10363716.29957569
2018-04-04,10102737.696942111
2018-04-14,10232946.215724431
2018-04-19,11772772.231246257
2018-04-24,11445454.405885426
2018-04-29,11539402.395438034
2018-05-09,11286857.579833921
2018-05-14,11646713.942950789
2018-05-19,12002417.057267357
2018-05-24,11978591.324004227
2018-06-03,11315401.785770612
2018-06-08,11442848.441038894
2018-06-13,11528950.935034268
2018-06-23,10268098.400067931
2018-06-28,11067110.991131866
2018-07-03,11203958.3642837
2018-07-08,11510668.571528144
2018-07-13,11636229.77230988
2018-07-18,11180680.142634356
2018-07-23,11484567.900921999
2018-07-28,11018190.859958904
2018-08-02,11411592.488189623
2018-08-07,11074841.906094234
2018-08-17,11074841.906094234
2018-08-22,11105783.778654773
2018-08-27,10441941.613977108
2018-09-01,11636229.77230988
2018-09-06,10235455.73666207
2018-09-16,10591369.425906865
2018-09-21,10383884.469277967
2018-10-01,10522898.289191753
2018-10-06,10002960.89823158
2018-10-16,9851446.146361833
2018-11-05,9592476.69677023
2018-11-30,10431836.873599423
2018-12-05,9938285.421239557
2018-12-10,9536061.543498864
2018-12-20,9876231.117511014
2018-12-30,10419210.59186895
2019-01-09,9550767.711511409
2019-01-14,9774746.432125792
2019-02-03,9945740.748672547
2019-02-08,11191024.001734238
2019-02-13,10232946.215724431
2019-02-28,9413808.00157756
2019-03-10,10002960.89823158
2019-03-15,10102737.696942111
2019-03-20,7172811.486642441
2019-03-25,9980557.212757045
2019-04-04,10436888.831087025
2019-04-14,10563455.687410438
2019-05-09,10207862.431397857
2019-05-14,11054230.182171686
2019-05-19,10614226.423257777
2019-05-24,11317997.919886012
2019-05-29,10383884.469277967
2019-06-08,10784905.786782918
2019-06-13,11203958.3642837
2019-06-18,10759372.953239236
2019-06-28,10363716.29957569
2019-07-03,10639642.58272216
2019-07-08,10441941.613977108
2019-07-13,9323683.704051388
2019-07-18,10507702.844179045
2019-07-23,9592476.69677023
2019-07-28,10507702.844179045
2019-08-02,11007901.207803832
2019-08-07,9086394.545941101
2019-08-17,10436888.831087025
2019-08-22,9413808.00157756
2019-08-27,9592476.69677023
2019-09-01,10313353.804113869
2019-09-06,9374799.429735303
2019-09-11,9965630.843380954
2019-09-16,9401611.951248875
2019-09-26,9831633.30727962
2019-10-01,8848789.10091692
2019-10-06,9071933.808792697
2019-10-16,8251314.639483787
2019-10-21,8455178.40394376
2019-10-26,8589652.00460486
2019-10-31,11074841.906094234
2019-11-05,10268098.400067931
2019-11-10,9784631.797459718
2019-11-15,7468645.682329146
2019-11-30,8065341.235774995
2019-12-05,11445454.405885426
2019-12-10,7331433.043625638
2019-12-15,7331433.043625638
2020-01-29,9506672.160738872
2020-02-03,8784357.190689677
2020-02-23,10012923.532194538
2020-03-04,8753391.138787283
2020-03-14,9901037.097414693
2020-03-29,8918170.527398609
2020-04-03,10125233.499068351
2020-05-03,11141919.433241945
2020-05-08,10738961.396661766
2020-05-13,11328384.466052925
2020-05-18,10467217.90492235
2020-05-23,11560314.902050385
2020-05-28,11105783.778654773
2020-06-07,9928347.919984952
2020-06-17,10997614.800586827
2020-06-22,11733329.830024961
2020-06-27,11286857.579833921
2020-07-02,10787460.193289164
2020-07-07,10933398.335129483
2020-07-17,10687989.767734084
2020-07-22,12538667.819675172
2020-07-27,11028483.75606673
2020-08-01,10137738.461488929
2020-08-06,10535566.819707705
2020-08-11,10441941.613977108
2020-08-16,10841149.863601804
2020-08-21,10820686.04949006
2020-08-26,10657446.096613012
2020-08-31,10657446.096613012
2020-09-05,10283176.07139938
2020-09-10,10080258.786943184
2020-09-20,10535566.819707705
2020-09-25,10062786.876616314
2020-10-15,9504224.427686902
2020-10-25,9851446.146361833
2020-10-30,9536061.543498864
2020-11-29,7172811.486642441
2020-12-09,8934945.149553835
2020-12-24,9026192.786351724
2020-12-29,8521146.126958081
