date,value
2018-01-04,639600
2018-01-12,639600
2018-01-24,712100
2018-01-27,712100
2018-02-01,712100
2018-02-13,672600
2018-02-16,672600
2018-02-18,672600
2018-02-21,672600
2018-03-20,812800
2018-03-25,812800
2018-03-28,812800
2018-04-14,816600
2018-04-17,816600
2018-04-19,856100
2018-04-22,856100
2018-04-24,829400
2018-04-27,871400
2018-04-29,851800
2018-05-02,857500
2018-05-04,857500
2018-05-07,827300
2018-05-09,941100
2018-05-12,941100
2018-05-14,941100
2018-05-19,941100
2018-05-22,918100
2018-05-24,954800
2018-05-29,957400
2018-06-01,957400
2018-06-03,934300
2018-06-06,921100
2018-06-08,919400
2018-06-11,923200
2018-06-13,922300
2018-06-16,920000
2018-06-23,869400
2018-06-26,869400
2018-06-28,884500
2018-07-01,884500
2018-07-03,878800
2018-07-06,900800
2018-07-08,886100
2018-07-11,915300
2018-07-13,903000
2018-07-16,931300
2018-07-18,897300
2018-07-21,927900
2018-07-23,925400
2018-07-26,897300
2018-07-28,897300
2018-07-31,886100
2018-08-02,901600
2018-08-05,904100
2018-08-07,883900
2018-08-10,908200
2018-08-12,908200
2018-08-15,884500
2018-08-17,886100
2018-08-20,872700
2018-08-22,898700
2018-08-25,898700
2018-08-27,862500
2018-08-30,894000
2018-09-01,888500
2018-09-04,902400
2018-09-06,857500
2018-09-16,850900
2018-09-21,887200
2018-09-24,887200
2018-09-26,887200
2018-09-29,887200
2018-10-01,927200
2018-10-04,943600
2018-10-06,929900
2018-10-09,929900
2018-10-11,929900
2018-10-14,873400
2018-10-16,880000
2018-10-19,838100
2018-10-24,838100
2018-11-05,951700
2018-11-08,951700
2018-11-10,951700
2018-11-13,951700
2018-11-15,951700
2018-11-30,872400
2018-12-03,872400
2018-12-05,859400
2018-12-08,859400
2018-12-10,783200
2018-12-13,787500
2018-12-15,787500
2018-12-20,759400
2018-12-23,756800
2018-12-28,756800
2018-12-30,755000
2019-01-04,733600
2019-01-07,733600
2019-01-09,731400
2019-01-12,731400
2019-01-14,745400
2019-01-17,747900
2019-01-24,734200
2019-01-29,700100
2019-02-03,728200
2019-02-06,728200
2019-02-08,756300
2019-02-11,778200
2019-02-13,733600
2019-02-21,745400
2019-02-28,711800
2019-03-03,711800
2019-03-10,737700
2019-03-13,737200
2019-03-15,751400
2019-03-18,751400
2019-03-20,751400
2019-03-23,742700
2019-03-25,754500
2019-03-28,739200
2019-03-30,739200
2019-04-02,739200
2019-04-04,757100
2019-04-12,750400
2019-04-14,751000
2019-04-19,707700
2019-04-22,707700
2019-04-24,707700
2019-05-14,735800
2019-05-19,742700
2019-05-22,742700
2019-05-24,732600
2019-05-29,700300
2019-06-01,738000
2019-06-06,691700
2019-06-08,722600
2019-06-11,719700
2019-06-13,748700
2019-06-18,724900
2019-06-28,722800
2019-07-01,722800
2019-07-03,758000
2019-07-08,708200
2019-07-11,744800
2019-07-13,702900
2019-07-16,712900
2019-07-18,696200
2019-07-21,728200
2019-07-23,687400
2019-07-26,718600
2019-07-28,711600
2019-07-31,741500
2019-08-02,720100
2019-08-05,759400
2019-08-07,737700
2019-08-10,746800
2019-08-12,746800
2019-08-15,670900
2019-08-17,722800
2019-08-20,718600
2019-08-22,721500
2019-08-25,721500
2019-08-27,708300
2019-08-30,696200
2019-09-01,696000
2019-09-04,727200
2019-09-06,696200
2019-09-09,718300
2019-09-11,701200
2019-09-16,687000
2019-09-19,740500
2019-09-24,718400
2019-09-26,728900
2019-09-29,714000
2019-10-01,726600
2019-10-04,726600
2019-10-06,691000
2019-10-09,709500
2019-10-11,709500
2019-10-14,696200
2019-10-16,697500
2019-10-19,662200
2019-10-21,682700
2019-10-24,682700
2019-10-26,662600
2019-10-29,683800
2019-10-31,683800
2019-11-03,666500
