date,value
2018-01-05,12993053.334531061
2018-01-10,18253461.133480772
2018-01-11,12687443.965087613
2018-01-16,19634111.32282364
2018-01-17,12280379.2061624
2018-01-22,15877077.7856581
2018-01-23,11727431.772160381
2018-01-28,16263927.014757995
2018-01-29,16263927.014757995
2018-02-03,19851726.99994978
2018-02-04,14626422.584885534
2018-02-09,17484912.79760812
2018-02-10,17484912.79760812
2018-02-15,13102437.88122532
2018-02-16,10776819.840480667
2018-02-21,12784119.990204053
2018-02-22,10981142.060829433
2018-02-27,14512408.376693303
2018-02-28,11594229.799055217
2018-03-05,14589408.270296866
2018-03-06,11906874.45559464
2018-03-11,18387801.939689606
2018-03-12,12754795.105994029
2018-03-17,18461847.075911596
2018-03-18,14008061.429230371
2018-03-23,18901664.375999503
2018-03-24,16135655.880431142
2018-03-29,16206157.773196748
2018-03-30,16634827.914649045
2018-04-04,15185853.075063825
2018-04-05,15418123.49603073
2018-04-10,16312127.035142478
2018-04-11,16312127.035142478
2018-04-16,18086056.259309467
2018-04-17,15525286.028331172
2018-04-22,16930545.530428
2018-04-23,16930545.530428
2018-04-28,17369552.357952468
2018-04-29,15487432.110586483
2018-05-04,18674503.346504368
2018-05-05,18674503.346504368
2018-05-10,17435437.47160548
2018-05-11,16036508.494228782
2018-05-16,18253461.133480772
2018-05-17,16683437.726036849
2018-05-22,16741839.82936884
2018-05-23,17836037.38302978
2018-05-28,17650210.702765066
2018-05-29,19054813.950512554
2018-06-03,19851726.99994978
2018-06-04,18387801.939689606
2018-06-09,19851726.99994978
2018-06-10,17796155.826106183
2018-06-15,17836037.38302978
2018-06-16,16392579.452756282
2018-06-22,16036508.494228782
2018-06-27,19054813.950512554
2018-06-28,17162627.640994728
2018-07-03,19634111.32282364
2018-07-04,17650210.702765066
2018-07-09,17836037.38302978
2018-07-10,16826333.7444383
2018-07-15,17972552.317253042
2018-07-16,16583036.221991654
2018-07-21,18330661.866590682
2018-07-22,16966424.15233829
2018-07-27,18387801.939689606
2018-07-28,16826333.7444383
2018-08-02,17972552.317253042
2018-08-03,16004574.475141313
2018-08-08,17484912.79760812
2018-08-09,15816651.187919304
2018-08-14,18253461.133480772
2018-08-15,16826333.7444383
2018-08-20,18674503.346504368
2018-08-21,18674503.346504368
2018-08-26,16826333.7444383
2018-08-27,15775356.582706576
2018-09-01,17303761.02533895
2018-09-02,16177302.12896779
2018-09-07,16868640.61915118
2018-09-08,16100448.265476407
2018-09-13,17228217.044473264
2018-09-14,16004574.475141313
2018-09-19,17369552.357952468
2018-09-20,16036508.494228782
2018-09-25,17369552.357952468
2018-09-26,16036508.494228782
2018-10-01,18156295.705570754
2018-10-02,16634827.914649045
2018-10-07,18156295.705570754
2018-10-08,16826333.7444383
2018-10-13,17972552.317253042
2018-10-14,16206157.773196748
2018-10-19,17650210.702765066
2018-10-20,17650210.702765066
2018-10-25,17836037.38302978
2018-10-26,15959907.048118018
2018-10-31,17097132.298174582
2018-11-01,15877077.7856581
2018-11-06,18549499.054141458
2018-11-07,16683437.726036849
2018-11-12,18782869.405590303
2018-11-13,16826333.7444383
2018-11-18,17836037.38302978
2018-11-19,16826333.7444383
2018-11-24,19054813.950512554
2018-11-25,17061149.985351346
2018-11-30,18461847.075911596
2018-12-01,15959907.048118018
2018-12-06,14331296.489848277
2018-12-07,14331296.489848277
2018-12-12,13660525.24490597
2018-12-13,13735797.32274433
2018-12-18,18156295.705570754
2018-12-19,13690615.422792682
2018-12-24,14821325.280662129
2018-12-25,12928177.36660275
2018-12-30,14552429.211890016
2019-01-05,14512408.376693303
2019-01-06,15185853.075063825
2019-01-11,14233424.206997398
2019-01-12,14487800.761769747
2019-01-17,16505462.537901465
2019-01-18,15374078.863144713
2019-01-23,17228217.044473264
2019-01-24,15604259.833087469
2019-01-29,17435437.47160548
2019-01-29,15692889.143120587
2019-01-30,16206157.773196748
2019-02-04,14383393.594142836
2019-02-05,14626422.584885534
2019-02-10,14552429.211890016
2019-02-11,14291505.479270319
2019-02-16,16634827.914649045
2019-02-17,15339505.5936771
2019-02-22,14864768.552605132
2019-02-23,15098312.860169379
2019-02-28,15525286.028331172
2019-03-01,14383393.594142836
2019-03-06,15185853.075063825
2019-03-07,14438632.62847175
2019-03-12,14126665.248865623
2019-03-13,14383393.594142836
2019-03-18,14796522.012804428
2019-03-18,13923141.909814054
2019-03-19,14147992.871924164
2019-03-24,16263927.014757995
2019-03-24,14331296.489848277
2019-03-25,14512408.376693303
2019-03-30,16206157.773196748
2019-03-31,14181532.130740087
2019-04-05,16206157.773196748
2019-04-06,14709833.583292173
2019-04-11,17836037.38302978
2019-04-11,14512408.376693303
2019-04-12,14821325.280662129
2019-04-17,16263927.014757995
2019-04-17,13968610.378004687
