date,value
2018-01-03,26339388.083053906
2018-01-04,30655678.57254364
2018-01-05,29826313.53567198
2018-01-09,31660583.39396448
2018-01-10,28484302.759682328
2018-01-10,44439380.18854232
2018-01-11,27058011.52890148
2018-01-15,32260925.74525052
2018-01-16,30977822.878016762
2018-01-17,33020408.84037137
2018-01-21,25505240.084835857
2018-01-22,29495630.827132605
2018-01-22,35156090.536846444
2018-01-23,28242215.21085488
2018-01-27,29594886.125227932
2018-01-28,30878862.86757819
2018-01-29,46174793.582155734
2018-02-02,25373095.342465244
2018-02-03,39520308.45360862
2018-02-04,24824697.412889615
2018-02-08,26072449.196381774
2018-02-09,25871982.379531305
2018-02-10,27703594.84593031
2018-02-14,23961731.355937038
2018-02-15,28888127.456630718
2018-02-16,30422103.397499695
2018-02-20,25765049.67513588
2018-02-21,29585858.288082186
2018-02-22,25457160.771477494
2018-02-26,26615950.643230993
2018-02-27,39329432.652015336
2018-02-28,30772691.037346948
2018-03-04,37903877.987973414
2018-03-05,39202354.702846475
2018-03-06,37381193.26604251
2018-03-10,38060961.799055606
2018-03-11,40573649.76880285
2018-03-11,47311666.21892687
2018-03-12,39041719.887937985
2018-03-16,44588496.614024974
2018-03-17,48692389.52802074
2018-03-18,47985491.40101381
2018-03-22,47115209.89517436
2018-03-23,53249933.32617209
2018-03-24,50987636.6077087
2018-03-28,48880341.67377236
2018-03-29,52744840.41520971
2018-03-30,50353824.69541539
2018-04-03,48170396.85294707
2018-04-04,53950937.68882582
2018-04-05,49220553.26721685
2018-04-09,51706846.259546645
2018-04-10,52672503.31490161
2018-04-11,51373981.31376012
2018-04-15,55493687.824237406
2018-04-16,57811300.98081608
2018-04-16,58586348.82578159
2018-04-17,54612861.856294334
2018-04-21,57213141.036138065
2018-04-22,59291867.520662524
2018-04-23,54592898.15923656
2018-04-27,56065625.3248606
2018-04-28,61319247.056249075
2018-04-29,52744840.41520971
2018-05-03,57811300.98081608
2018-05-04,60764265.310763985
2018-05-05,52828178.98623109
2018-05-09,57213141.036138065
2018-05-10,57910820.27223445
2018-05-10,62943134.00014833
2018-05-11,54099026.007751115
2018-05-15,58033036.152697384
2018-05-16,59171045.59861017
2018-05-17,53348944.873595834
2018-05-21,56173082.77060482
2018-05-22,59171045.59861017
2018-05-23,55119425.92405656
2018-05-27,57811300.98081608
2018-05-28,60254539.39289435
2018-05-29,52633060.77419294
2018-06-02,57204128.22809244
2018-06-03,57470206.49150942
2018-06-03,59968166.971261
2018-06-04,53096038.23383191
2018-06-08,57653093.396470346
2018-06-09,59984191.70938811
2018-06-10,53547153.247144155
2018-06-14,54528587.37389952
2018-06-15,59819434.54192812
2018-06-16,53265331.06378769
2018-06-20,55221817.792300634
2018-06-21,59483528.39272343
2018-06-22,53443613.623288505
2018-06-26,54424413.645631775
2018-06-27,59171045.59861017
2018-06-28,53153181.799782656
2018-07-02,54284881.53701802
2018-07-03,58911445.227813296
2018-07-04,53276330.36342029
2018-07-08,52894003.81120294
2018-07-09,58456933.49963546
2018-07-10,51102569.38008007
2018-07-14,54703838.610990286
2018-07-15,56119345.40709193
2018-07-16,51287076.95097653
2018-07-20,54218479.98153039
2018-07-21,56486894.867929414
2018-07-21,58187060.71203608
2018-07-22,53580211.97744484
2018-07-26,53997338.75671532
2018-07-27,57409287.582991235
2018-07-28,52167078.5092624
2018-08-01,53153181.799782656
2018-08-02,58586348.82578159
2018-08-03,51009315.3817453
2018-08-07,53034522.10673574
2018-08-08,55449088.232304364
2018-08-09,49647468.17915214
2018-08-13,50185545.977808505
2018-08-14,55594080.941202916
2018-08-14,54284881.53701802
2018-08-15,51174175.2005558
2018-08-19,51543586.9272967
2018-08-20,55629790.95987899
2018-08-21,48329989.74569662
2018-08-25,49576587.60274786
2018-08-26,55119425.92405656
2018-08-26,52744840.41520971
2018-08-27,46172696.891372606
2018-08-31,50481238.09892297
2018-09-01,52633060.77419294
2018-09-02,47828403.63257462
2018-09-06,47684205.356778614
2018-09-07,52541066.79014165
2018-09-08,45705934.5981702
2018-09-12,48413048.108386934
2018-09-13,49802234.74837552
2018-09-14,46933785.16338073
2018-09-18,47189112.84029045
2018-09-19,52935707.107641295
2018-09-20,47056115.56286328
2018-09-24,47983367.440102875
2018-09-25,52298200.245341204
2018-09-26,46775757.989241436
2018-09-30,47455485.4182834
2018-10-01,52611152.541055806
2018-10-01,47985491.40101381
2018-10-02,45634909.12562898
