date,value
2018-01-04,1732400
2018-01-05,1722800
2018-01-10,1553100
2018-01-10,1901200
2018-01-11,1859300
2018-01-16,1706700
2018-01-17,1568900
2018-01-22,1838400
2018-01-23,1688800
2018-01-28,1627800
2018-01-29,1943800
2018-02-03,1879900
2018-02-04,1889300
2018-02-09,1704900
2018-02-10,1636100
2018-02-15,1483900
2018-02-15,1529900
2018-02-16,1504700
2018-02-21,1582900
2018-02-22,1627800
2018-02-27,1606800
2018-02-27,1854400
2018-02-28,1657500
2018-03-05,1789800
2018-03-06,1742500
2018-03-11,1990000
2018-03-12,1859300
2018-03-17,1894800
2018-03-18,1843000
2018-03-23,2015800
2018-03-24,2008100
2018-03-29,1954300
2018-03-30,1893200
2018-04-04,1928000
2018-04-05,1877500
2018-04-10,1937000
2018-04-11,1948300
2018-04-16,1928000
2018-04-17,1859300
2018-04-22,1937000
2018-04-23,1818000
2018-04-28,2012100
2018-04-29,1992700
2018-05-04,1922900
2018-05-05,1849700
2018-05-10,1893200
2018-05-10,1961300
2018-05-11,1893200
2018-05-16,1948300
2018-05-17,1879900
2018-05-22,1935000
2018-05-23,1857400
2018-05-28,1926400
2018-05-29,1911100
2018-06-03,1898600
2018-06-03,1964200
2018-06-04,1971800
2018-06-09,1932800
2018-06-10,1874100
2018-06-15,1870900
2018-06-16,1857400
2018-06-21,1889300
2018-06-22,1769000
2018-06-27,1922900
2018-06-28,1898600
2018-07-03,1851800
2018-07-04,1885000
2018-07-09,1767500
2018-07-09,1802100
2018-07-10,1828900
2018-07-15,1874100
2018-07-16,1816200
2018-07-21,1780200
2018-07-21,1861400
2018-07-22,1781600
2018-07-27,1830400
2018-07-28,1750200
2018-08-02,1814300
2018-08-03,1701500
2018-08-08,1685200
2018-08-09,1736300
2018-08-14,1728900
2018-08-14,1856100
2018-08-15,1737100
2018-08-20,1725100
2018-08-21,1623200
2018-08-26,1776200
2018-08-27,1728900
2018-09-01,1696500
2018-09-02,1606800
2018-09-07,1657500
2018-09-08,1644600
2018-09-13,1732400
2018-09-14,1578500
2018-09-19,1714100
2018-09-20,1601000
2018-09-25,1638100
2018-09-26,1598400
2018-10-01,1573600
2018-10-01,1826100
2018-10-02,1679700
2018-10-07,1634200
2018-10-08,1643500
2018-10-13,1781600
2018-10-14,1558900
2018-10-19,1814300
2018-10-20,1646500
2018-10-25,1694600
2018-10-26,1631500
2018-10-31,1784400
2018-11-01,1761600
2018-11-06,1879900
2018-11-07,1805200
2018-11-12,1808500
2018-11-13,1750200
2018-11-18,1857400
2018-11-19,1883100
2018-11-24,1838400
2018-11-25,1751900
2018-11-30,1835600
2018-11-30,1911100
2018-12-01,1823200
2018-12-06,1794200
2018-12-07,1732400
2018-12-12,1859300
2018-12-12,1964200
2018-12-13,1915900
2018-12-18,1924900
2018-12-19,1819100
2018-12-24,1835600
2018-12-25,1823200
2018-12-30,1903000
2019-01-05,1845200
2019-01-05,1849700
2019-01-06,1795600
2019-01-11,1920100
2019-01-11,1928000
2019-01-12,1824000
2019-01-17,1857400
2019-01-17,1928000
2019-01-18,1861400
2019-01-23,1975100
2019-01-24,1857400
2019-01-29,1845200
2019-01-29,1968700
2019-01-30,1948300
2019-02-04,1845200
2019-02-05,1781600
2019-02-10,1859300
2019-02-10,1911100
2019-02-11,1887100
2019-02-16,1939400
2019-02-16,1941500
2019-02-17,1848100
2019-02-22,1851800
2019-02-22,1856100
2019-02-23,1810600
2019-02-28,1789800
2019-02-28,1861400
2019-03-01,1773100
2019-03-06,1792300
2019-03-06,1930000
2019-03-07,1920100
2019-03-12,1856100
2019-03-12,1875900
2019-03-13,1786700
2019-03-18,1786700
2019-03-18,1896000
2019-03-19,1799000
2019-03-24,1879900
2019-03-25,1764200
2019-03-30,1795600
2019-03-30,1874100
2019-03-31,1803600
2019-04-05,1828900
2019-04-05,1971800
2019-04-06,1839200
2019-04-11,2258600
2019-04-12,1792300
2019-04-17,1887100
2019-04-23,1952400
2019-04-24,1819100
2019-04-29,1828900
2019-04-30,1719600
2019-05-05,1898600
2019-05-06,1848100
2019-05-11,1718700
2019-05-11,1767500
2019-05-12,1740300
2019-05-17,1959400
2019-05-18,1782600
2019-05-23,1729700
2019-05-24,1687000
2019-05-29,1710900
2019-05-29,1828900
2019-05-30,1776200
2019-06-04,1676600
2019-06-04,1849700
2019-06-05,1727500
2019-06-10,1651900
2019-06-10,1865000
2019-06-11,1774500
2019-06-16,1714100
2019-06-17,1529900
2019-06-22,1690900
2019-06-22,1592800
2019-06-23,1543800
2019-06-28,1576200
2019-06-28,1464000
2019-07-04,1801000
2019-07-05,1634200
2019-07-05,1623200
2019-07-10,1757500
2019-07-11,1498300
2019-07-11,1483900
2019-07-16,1644600
2019-07-17,1611400
2019-07-17,1601000
2019-07-22,1641700
2019-07-23,1512800
2019-07-23,1483900
2019-07-28,1810600
2019-07-28,1587500
2019-07-29,1663700
2019-08-03,1426400
2019-08-04,1491400
2019-08-04,1464000
2019-08-09,1827500
2019-08-10,1638100
2019-08-10,1611400
2019-08-15,1331200
2019-08-16,1356600
2019-08-16,1308500
2019-08-21,1707900
2019-08-21,1385300
2019-08-22,1555200
2019-08-27,1801000
2019-08-28,1478500
2019-08-28,1413700
2019-09-02,1690900
2019-09-02,1335300
2019-09-03,1532200
2019-09-08,1738900
2019-09-08,1527500
2019-09-09,1439300
2019-09-14,1681300
2019-09-14,1504700
2019-09-15,1436500
2019-09-20,1515500
2019-09-20,1436500
2019-09-21,1452100
2019-09-26,1256300
2019-09-26,1379500
2019-09-27,1422800
2019-09-27,1331200
2019-10-02,1803600
2019-10-03,1518100
2019-10-08,1765000
2019-10-09,1523300
2019-10-09,1495300
2019-10-14,1814300
2019-10-14,1655600
2019-10-15,1606800
2019-10-20,1843000
2019-10-20,1576200
2019-10-21,1631500
2019-10-26,1624700
2019-10-27,1476100
2019-10-27,1420800
2019-11-01,1843000
2019-11-01,1502500
2019-11-02,1648600
2019-11-07,1827500
2019-11-07,1734200
2019-11-08,1694600
2019-11-13,1871800
2019-11-13,1573600
2019-11-14,1937000
2019-11-19,1795600
2019-11-19,1780200
2019-11-20,1527500
2019-11-25,1839200
2019-11-25,1688800
2019-11-26,1805200
2019-12-01,1871800
2019-12-02,1614800
2019-12-02,1561200
2019-12-07,1495300
2019-12-07,1444900
2019-12-08,1688800
2019-12-13,1883100
2019-12-13,1857400
2019-12-19,1782600
2019-12-20,1838400
2019-12-20,1789800
2019-12-25,1444900
2019-12-26,1387900
2019-12-26,1313700
2020-01-01,1655600
2020-01-06,1795600
2020-01-07,1543800
2020-01-12,1666400
2020-01-13,1639800
2020-01-18,1604900
2020-01-18,1792300
2020-01-19,1676600
2020-01-24,1529900
2020-01-24,1801000
2020-01-25,1769000
2020-01-30,1834000
2020-01-31,1712400
2020-02-05,1721300
2020-02-05,1849700
2020-02-06,1807300
2020-02-11,1718700
2020-02-11,1869200
2020-02-12,1727500
2020-02-17,1709000
2020-02-17,1839200
2020-02-18,1734200
2020-02-23,1828900
2020-02-23,1885000
2020-02-24,1688800
2020-02-29,1887100
2020-03-01,1826100
2020-03-06,1871800
2020-03-07,1688800
2020-03-12,1743900
2020-03-13,1756100
2020-03-18,1841000
2020-03-19,1745900
2020-03-24,1903000
2020-03-25,1808500
2020-03-30,1784400
2020-03-30,1824000
2020-03-31,1785600
2020-04-05,1889300
2020-04-06,1799000
2020-04-11,1877500
2020-04-11,1879900
2020-04-12,1849700
2020-04-17,1835600
2020-04-17,1857400
2020-04-18,1831500
2020-04-23,1930000
2020-04-24,1824000
2020-04-29,1922900
2020-04-30,1920100
2020-05-05,1898600
2020-05-05,1915900
2020-05-06,1845200
2020-05-11,1909300
2020-05-12,1877500
2020-05-17,1877500
2020-05-18,1773100
2020-05-23,1877500
2020-05-24,1897400
2020-05-29,1905500
2020-05-30,1885000
2020-06-04,1943800
2020-06-05,1939400
2020-06-10,1905500
2020-06-10,1926400
2020-06-11,1943800
2020-06-16,1865000
2020-06-16,1951100
2020-06-17,1990000
2020-06-22,1865000
2020-06-23,1812200
2020-06-28,1856100
2020-06-29,1779000
2020-07-04,1861400
2020-07-05,1774500
2020-07-10,1779000
2020-07-10,1807300
2020-07-11,1770300
2020-07-16,1839200
2020-07-17,1765000
2020-07-22,1848100
2020-07-23,1763100
2020-07-28,1816200
2020-07-29,1698500
2020-08-03,1761600
2020-08-03,1835600
2020-08-04,1747200
2020-08-09,1779000
2020-08-10,1687000
2020-08-15,1857400
2020-08-16,1805200
2020-08-21,1820900
2020-08-22,1701500
2020-08-27,1551000
2020-08-27,1683500
2020-08-28,1756100
2020-09-02,1792300
2020-09-03,1675000
2020-09-08,1835600
2020-09-09,1716200
2020-09-14,1582900
2020-09-14,1767500
2020-09-15,1631500
2020-09-20,1636100
