date,value
2019-02-20,7800
2019-02-25,4500
2019-02-27,4100
2019-04-13,400
2019-04-28,252100
2019-05-01,239000
2019-05-06,250300
2019-05-13,278500
2019-05-16,253800
2019-05-23,269200
2019-05-31,292100
2019-06-02,295800
2019-06-17,268800
2019-06-27,284700
2019-07-05,294500
2019-07-10,301700
2019-07-12,295300
2019-07-15,300400
2019-07-22,294500
2019-07-25,300200
2019-08-04,292800
2019-08-06,286500
2019-08-09,295200
2019-08-14,284200
2019-08-16,275400
2019-08-21,291700
2019-08-29,283100
2019-09-03,259900
2019-09-08,238400
2019-09-30,215500
2019-10-03,236500
2019-10-05,210700
2019-10-08,188000
2019-10-13,180600
2019-10-25,217900
2020-02-20,7500
2020-03-08,232400
2020-03-11,268100
2020-03-21,300000
2020-04-05,293200
2020-04-10,292700
2020-04-15,299600
2020-05-05,294400
2020-05-07,300400
2020-05-20,304800
2020-05-22,301000
2020-06-21,298000
2020-06-24,303300
2020-06-26,301100
2020-07-04,299400
2020-07-16,301600
2020-07-19,303700
2020-07-26,302800
2020-08-05,295200
2020-08-08,301500
2020-08-13,297400
2020-08-20,293000
2020-08-25,295800
2020-09-04,289300
2020-09-12,288500
2020-09-14,290100
2020-09-27,305400
2020-10-09,294200
2020-10-17,303800
2020-10-19,299900
2020-10-24,293800
2021-02-19,14700
2021-02-24,240800
2021-03-01,250600
2021-03-23,244800
2021-03-28,257200
2021-03-31,250400
2021-04-05,249300
2021-04-07,257400
2021-04-15,241900
2021-05-20,275000
2021-05-27,257300
2021-06-14,281300
2021-06-21,294400
2021-07-09,290300
2021-07-11,289600
2021-07-16,286600
2021-07-19,287300
2021-07-21,288700
2021-08-05,291500
2021-08-10,293500
2021-08-13,288900
2021-08-18,291400
2021-08-20,293200
2021-08-25,299700
2021-08-28,293500
2021-08-30,293000
2021-09-17,275900
2021-09-19,271400
2021-10-02,297300
2021-10-07,284700
2021-10-09,281600
2021-10-12,284700
2021-10-14,285100
2021-10-22,286500
2021-10-27,279100
2022-02-24,4200
2022-02-26,4100
2022-03-01,1400
2022-03-03,1600
2022-03-21,9200
2022-03-23,161900
2022-03-26,212800
2022-04-05,215000
2022-04-10,255200
2022-04-17,266400
2022-04-25,255100
2022-05-10,217300
2022-05-12,262800
2022-05-17,279300
2022-05-27,289700
2022-06-01,294100
2022-06-09,300800
2022-06-29,298800
2022-07-11,288500
2022-07-14,270200
2022-07-16,271400
2022-07-19,254100
2022-07-21,251200
2022-07-31,194900
2022-08-03,134100
2022-08-05,160200
2022-08-20,206800
2022-08-23,199700
