date,value
2018-01-05,4128700
2018-01-10,4319500
2018-01-10,4552800
2018-01-11,4306400
2018-01-17,4306400
2018-01-22,4311700
2018-01-22,4445200
2018-01-23,4399300
2018-01-29,4311700
2018-02-03,4114600
2018-02-03,4516500
2018-02-04,4387000
2018-02-10,4245600
2018-02-15,4090500
2018-02-15,4391000
2018-02-16,4163700
2018-02-22,4163700
2018-02-27,4259200
2018-02-27,4581900
2018-02-28,4460500
2018-03-06,4575200
2018-03-11,5182700
2018-03-12,5124600
2018-03-17,6020200
2018-03-18,5966800
2018-03-23,6610700
2018-03-24,6973100
2018-03-29,6568900
2018-03-30,6698900
2018-04-04,6568900
2018-04-05,6610700
2018-04-10,6610700
2018-04-11,6832800
2018-04-16,6785000
2018-04-17,6832800
2018-04-22,7101800
2018-04-23,6973100
2018-04-28,7249300
2018-04-29,7628600
2018-05-04,7059300
2018-05-05,7059300
2018-05-10,7195500
2018-05-11,7300500
2018-05-16,7015600
2018-05-17,7059300
2018-05-22,7101800
2018-05-23,7409600
2018-05-28,7249300
2018-05-29,7300500
2018-06-03,7148700
2018-06-04,7473300
2018-06-09,7249300
2018-06-10,7352300
2018-06-15,7352300
2018-06-16,7409600
2018-06-22,7300500
2018-06-27,7059300
2018-06-27,7015600
2018-06-28,7059300
2018-07-04,6741500
2018-07-09,6698900
2018-07-09,6333800
2018-07-10,6525100
2018-07-16,6077200
2018-07-21,5813800
2018-07-22,5865400
2018-07-28,5580400
2018-08-02,5543600
2018-08-02,5104200
2018-08-03,5396900
2018-08-09,5370700
2018-08-14,5511900
2018-08-14,4988200
2018-08-15,5202500
2018-08-21,5244900
2018-08-26,5182700
2018-08-27,5104200
2018-08-27,5002600
2018-09-02,4697400
2018-09-07,4836500
2018-09-07,4690100
2018-09-08,4947200
2018-09-14,4399300
2018-09-19,4435600
2018-09-19,4250700
2018-09-20,4250700
2018-09-26,4306400
2018-10-01,4531000
2018-10-01,4199600
2018-10-02,4552800
2018-10-08,4391000
2018-10-13,4552800
2018-10-14,4575200
2018-10-20,4315700
2018-10-25,4435600
2018-10-26,4280300
2018-11-01,4460500
2018-11-06,4711500
2018-11-07,4492800
2018-11-13,4480200
2018-11-18,4475500
2018-11-18,4726700
2018-11-19,4531000
2018-11-25,4575200
2018-11-30,4638700
2018-11-30,4749100
2018-12-01,4638700
2018-12-06,4773000
2018-12-07,4520900
2018-12-12,4677800
2018-12-13,4575200
2018-12-19,4575200
2018-12-24,4638700
2018-12-25,4558900
2019-01-05,4486500
2019-01-05,4726700
2019-01-06,4435600
2019-01-11,4703400
2019-01-12,4349500
2019-01-17,4684200
2019-01-18,4587400
2019-01-23,5124600
2019-01-23,4947200
2019-01-24,5049300
2019-01-29,4867000
2019-01-29,4856900
2019-01-30,4947200
2019-02-04,4817100
2019-02-05,4486500
2019-02-10,4741200
2019-02-11,4558900
