date,value
2018-01-02,25658300
2018-01-07,25658100
2018-01-10,25782000
2018-01-12,26199600
2018-01-15,26154700
2018-01-17,25528400
2018-01-20,25539700
2018-01-22,25616500
2018-01-27,25577100
2018-01-30,25818500
2018-02-01,26924500
2018-02-06,25936000
2018-02-11,25870900
2018-02-16,25957200
2018-02-19,26300300
2018-02-21,25691000
2018-02-24,25696800
2018-02-26,25764100
2018-03-01,26160600
2018-03-11,14553900
2018-03-16,25705900
2018-03-21,26942700
2018-03-26,26875700
2018-03-28,26909500
2018-03-31,26913500
2018-04-02,27002700
2018-04-05,27002700
2018-04-17,27509600
2018-04-25,27283300
2018-04-27,27603600
2018-05-02,27506500
2018-05-05,28039200
2018-05-07,27877400
2018-05-10,28407900
2018-05-12,28136600
2018-05-15,28334900
2018-05-17,27761500
2018-05-20,28571900
2018-05-22,27907300
2018-05-25,29260600
2018-06-01,28939400
2018-06-14,28589500
2018-06-16,28530100
2018-06-19,28273300
2018-06-21,27114200
2018-06-24,28841400
2018-06-26,28731500
2018-06-29,28441600
2018-07-01,28435900
2018-07-04,28378600
2018-07-06,27286700
2018-07-09,28387100
2018-07-11,28202700
2018-07-14,28147900
2018-07-16,27429700
2018-07-19,28365300
2018-07-21,27425900
2018-07-24,27761200
2018-07-26,27452600
2018-07-29,27801700
2018-07-31,27371400
2018-08-03,27727800
2018-08-05,27803200
2018-08-08,27762300
2018-08-10,27441400
2018-08-13,27454100
2018-08-15,27053500
2018-08-18,27007300
2018-08-20,26702600
2018-08-23,26888700
2018-08-25,27019000
2018-08-28,27197900
2018-08-30,26853800
2018-09-02,27137700
2018-09-07,26989000
2018-09-09,26595700
2018-09-12,25604800
2018-09-14,25193000
2018-09-17,25166500
2018-09-19,24818200
2018-09-22,24944100
2018-09-24,25135700
2018-09-27,25093300
2018-09-29,25301200
2018-10-02,25676800
2018-10-04,25586700
2018-10-07,25495000
2018-10-09,25809600
2018-10-12,25108100
2018-10-14,25178700
2018-10-17,25362900
2018-10-19,25594200
2018-10-22,25464400
2018-10-24,25599900
2018-10-27,25630000
2018-10-29,26074600
2018-11-01,26133300
2018-11-03,26598900
2018-11-06,26315300
2018-11-13,22440000
2018-11-16,25104900
2018-11-21,25412800
2018-11-23,25413100
2018-11-26,25410500
2018-11-28,26105800
2018-12-01,25801900
2018-12-06,25614400
2018-12-08,25614400
2018-12-13,25544000
2018-12-21,25902100
2018-12-23,25629900
2018-12-26,26108200
2018-12-28,26100900
2019-01-02,25034100
2019-01-05,25468500
2019-01-07,25317000
2019-01-10,25976500
2019-01-12,25247400
2019-01-15,25881100
2019-01-17,25799400
2019-01-20,25851500
2019-01-22,25403300
2019-01-25,25561100
2019-01-27,25567400
2019-02-01,26031200
2019-02-04,26504400
2019-02-06,26774100
2019-02-09,26145200
2019-02-11,26289000
2019-02-14,26159800
2019-02-16,26304400
2019-02-19,26105100
2019-02-21,26599200
2019-02-24,26495900
2019-02-26,25831800
2019-03-01,25830800
2019-03-03,25877400
2019-03-06,25876800
2019-03-08,25858600
2019-03-11,25607400
2019-03-13,25872800
2019-03-16,26247200
2019-03-18,25935800
2019-03-21,25792700
2019-03-23,25984400
2019-03-26,25830400
2019-03-28,25237800
2019-04-02,25870200
2019-04-05,25260300
2019-04-10,25795800
2019-04-12,25268300
2019-04-15,25268300
2019-04-22,25380100
2019-04-25,25332700
2019-04-27,25022300
2019-04-30,25638600
2019-05-02,25546500
2019-05-05,26316400
2019-05-07,26265500
2019-05-10,26315500
2019-05-12,26265400
2019-05-15,27013800
2019-05-22,25478200
2019-05-25,26345300
2019-05-27,23972800
2019-05-30,23391500
2019-06-01,23391500
2019-06-04,23210700
2019-06-06,22283300
2019-06-09,22847600
2019-06-11,22257300
2019-06-14,22240800
2019-06-16,22350600
2019-06-19,22081700
2019-06-21,22947800
2019-06-24,23480500
2019-06-26,23343700
2019-06-29,24380100
2019-07-01,22677200
2019-07-04,24079300
2019-07-06,22464300
2019-07-09,23239600
2019-07-11,22476700
2019-07-14,22979700
