date,value
2018-01-03,24586600
2018-01-03,25105900
2018-01-04,26924900
2018-01-09,24915200
2018-01-10,28309000
2018-01-15,24621000
2018-01-15,25094600
2018-01-16,28123500
2018-01-21,24684400
2018-01-21,25100100
2018-01-22,28399600
2018-01-27,25145500
2018-01-27,25870300
2018-01-28,28286100
2018-02-02,26184500
2018-02-02,24867300
2018-02-03,28459400
2018-02-08,24754700
2018-02-08,25214000
2018-02-09,28232500
2018-02-14,23819300
2018-02-14,24380100
2018-02-15,24729600
2018-02-20,24945500
2018-02-21,28296600
2018-02-26,24633400
2018-02-26,25783600
2018-02-27,28397000
2018-02-27,28395800
2018-03-04,26635500
2018-03-04,24360000
2018-03-05,27736400
2018-03-10,25888400
2018-03-11,26148500
2018-03-16,26242200
2018-03-16,25397000
2018-03-17,25922800
2018-03-22,26637900
2018-03-23,25464300
2018-03-28,26332100
2018-04-03,26537000
2018-04-04,25759000
2018-04-09,26656100
2018-04-09,26022100
2018-04-10,25181600
2018-04-15,25710600
2018-04-15,26535700
2018-04-16,25437100
2018-04-21,26446900
2018-04-22,25137100
2018-04-27,26514300
2018-04-27,27135600
2018-04-28,26155300
2018-05-03,26576300
2018-05-03,26766100
2018-05-04,25673600
2018-05-09,26058400
2018-05-09,26682300
2018-05-10,25641000
2018-05-15,26143200
2018-05-15,27105500
2018-05-16,25328500
2018-05-21,26396600
2018-05-21,26879600
2018-05-22,25675900
2018-05-27,26140900
2018-05-27,26617700
2018-05-28,25880700
2018-06-02,26679900
2018-06-03,26107700
2018-06-08,26208200
2018-06-08,26555900
2018-06-09,25352600
2018-06-14,26491800
2018-06-15,25908500
2018-06-20,26551300
2018-06-21,24816100
2018-06-26,26261100
2018-06-27,25716600
2018-07-02,26459300
2018-07-02,26357900
2018-07-03,25538800
2018-07-08,25923800
2018-07-08,25786900
2018-07-09,25114100
2018-07-14,25931700
2018-07-14,26829100
2018-07-15,24920300
2018-07-20,25961200
2018-07-20,25899800
2018-07-21,25208600
2018-07-26,25900300
2018-07-27,25278700
2018-08-01,24702500
2018-08-01,25797500
2018-08-02,25099100
2018-08-07,25185100
2018-08-07,26646900
2018-08-08,25384500
2018-08-13,25745200
2018-08-14,25369900
2018-08-19,24942800
2018-08-19,25526500
2018-08-20,24619500
2018-08-25,25249600
2018-08-25,25669900
2018-08-26,25404700
2018-08-31,25590900
2018-09-01,24237800
2018-09-06,24769600
2018-09-07,24171500
2018-09-12,24322200
2018-09-13,23319400
2018-09-18,24440700
2018-09-18,25205000
2018-09-19,24148000
2018-09-24,24027500
2018-09-24,24676900
2018-09-25,23712300
2018-09-30,25163500
2018-09-30,23950700
2018-10-01,23808700
2018-10-06,25226300
2018-10-07,23888600
2018-10-07,23885900
2018-10-12,24719200
2018-10-13,24168500
2018-10-18,24748500
2018-10-19,23764500
2018-10-24,24852600
2018-10-24,24032900
2018-10-25,23981600
2018-10-30,24914100
2018-10-30,25253200
2018-10-31,23977300
2018-11-05,25060800
2018-11-05,24766700
2018-11-06,23391900
2018-11-11,24708600
2018-11-12,24215100
2018-11-17,25439100
2018-11-17,24927600
2018-11-18,24162300
2018-11-23,25110700
2018-11-23,25628300
2018-11-24,24378400
2018-11-29,25768800
2018-11-30,25522700
2018-12-05,25189300
2018-12-05,25445500
2018-12-11,25390900
2018-12-11,25253900
2018-12-12,24892400
2018-12-17,25742200
