date,value
2018-01-03,360765904.8364112
2018-01-03,371370526.07207984
2018-01-04,409179983.53424215
2018-01-09,367466306.03464264
2018-01-10,438621657.57239014
2018-01-15,361465735.44916475
2018-01-15,371138859.9261862
2018-01-16,434642883.8537356
2018-01-21,362756528.60634655
2018-01-21,371251612.75499725
2018-01-22,440568595.1517609
2018-01-27,372182700.35119617
2018-01-27,387134730.55497193
2018-01-28,438129931.28933525
2018-02-02,393667112.97778463
2018-02-02,366487452.71454394
2018-02-03,441854974.77086854
2018-02-08,364189299.5961603
2018-02-08,373588763.7673908
2018-02-09,436979592.09850365
2018-02-14,345254858.51707417
2018-02-14,356572842.01627296
2018-02-15,363677560.6927122
2018-02-20,368085872.53235507
2018-02-21,438355376.2330958
2018-02-26,361718092.5800974
2018-02-26,385337562.2650714
2018-02-27,440512689.3066123
2018-02-27,440486887.2753795
2018-03-04,403096602.93652403
2018-03-04,356165433.65987635
2018-03-05,426372649.2183609
2018-03-10,387510211.6883815
2018-03-11,392917111.23969847
2018-03-16,394870029.57258457
2018-03-16,377352338.4223878
2018-03-17,388224112.659538
2018-03-22,403146948.04858744
2018-03-23,378739068.4135929
2018-03-28,396746279.84277076
2018-04-03,401031867.7282694
2018-04-04,384828063.52140045
2018-04-09,403528788.80443096
2018-04-09,390286930.39026016
2018-04-10,372923521.9732666
2018-04-15,383826183.5067233
2018-04-15,401004637.170486
2018-04-16,378178436.3666999
2018-04-21,399145800.619459
2018-04-22,372010379.66496325
2018-04-27,400556454.33166003
2018-04-27,413624961.1300928
2018-04-28,393058747.71370804
2018-05-03,401855311.49530584
2018-05-03,405838758.9636033
2018-05-04,383060774.3750665
2018-05-09,391041771.2926122
2018-05-09,404078648.410517
2018-05-10,382386739.6875265
2018-05-15,392806727.96625
2018-05-15,412989145.7771834
2018-05-16,375942338.3921832
2018-05-21,398093946.61641264
2018-05-21,408226073.1189719
2018-05-22,383108341.45482403
2018-05-27,392758828.47902864
2018-05-27,402723264.69275993
2018-05-28,387350464.2289065
2018-06-02,404028270.91508335
2018-06-03,392067591.095214
2018-06-08,394161081.5170122
2018-06-08,401427816.3119129
2018-06-09,376438243.73833555
2018-06-14,400085384.6480624
2018-06-15,387927301.2370319
2018-06-20,401331437.85276496
2018-06-21,365441967.37613684
2018-06-26,395264274.7004791
2018-06-27,383950344.0006534
2018-07-02,399405223.34101486
2018-07-02,397285193.7912294
2018-07-03,380275806.77852964
2018-07-08,388244871.06844604
2018-07-08,385405923.9395571
2018-07-09,371538662.9978102
2018-07-14,388408873.366737
2018-07-14,407163394.48514867
2018-07-15,367570569.15393
2018-07-20,389021457.4992557
2018-07-20,387746754.5995775
2018-07-21,373477867.20284283
2018-07-26,387757130.2090176
2018-07-27,374918181.70278805
2018-08-01,363125270.8801583
2018-08-01,385625532.77289575
2018-08-02,371231111.5310944
2018-08-07,372995368.60031253
2018-08-07,403335757.81554383
2018-08-08,377094929.49686086
2018-08-13,384542329.3822433
2018-08-14,376794337.8284289
2018-08-19,368030651.8387564
2018-08-19,380021970.80579835
2018-08-20,361435211.70321697
2018-08-25,374320089.0843034
2018-08-25,382984256.87287796
2018-08-26,377510926.66976243
2018-08-31,381351521.44710237
2018-09-01,353691348.0640937
2018-09-06,364493175.64248765
2018-09-07,352351037.3760398
2018-09-12,355399614.26254946
2018-09-13,335252246.29310554
2018-09-18,357801932.5375588
2018-09-18,373403941.25488573
2018-09-19,351876305.36828524
2018-09-24,349444845.2518514
2018-09-24,362603765.4293084
2018-09-25,343106990.00095874
2018-09-30,372552033.80263156
2018-09-30,347897620.9687
2018-10-01,345041912.4677117
2018-10-06,373841395.72790426
2018-10-07,346647944.6680162
2018-10-07,346593639.3387971
2018-10-12,363465584.19008666
2018-10-13,352290423.3636888
2018-10-18,364062875.33162355
2018-10-19,344154362.2351125
2018-10-24,366187198.9405884
2018-10-24,349553706.3935383
2018-10-25,348519907.03991854
2018-10-30,367443818.9910728
2018-10-30,374394065.50566316
2018-10-31,348433292.0441108
2018-11-05,370446152.0639769
2018-11-05,364434026.44974
2018-11-06,336697829.08552873
2018-11-11,363249566.645742
2018-11-12,353232288.76718885
2018-11-17,378219651.4311722
2018-11-17,367719822.85633695
2018-11-18,352165163.61011446
2018-11-23,371468945.1145284
2018-11-23,382124245.1401371
2018-11-24,356538379.5711956
2018-11-29,385031012.0635627
2018-11-30,379943559.48281384
2018-12-05,373081589.64136535
2018-12-05,378351548.0442502
2018-12-11,377226716.7544737
2018-12-11,374408450.2826597
2018-12-12,367000289.33115673
2018-12-17,384480221.088324
2018-12-18,371028166.4307803
2018-12-23,368435657.1738505
2018-12-23,382589328.85106987
2018-12-24,364968505.835976
2018-12-29,389499251.9665999
2018-12-29,390332666.75756955
2018-12-30,379590764.3120229
2019-01-04,370319126.4403236
2019-01-05,362414363.9837597
2019-01-10,385207062.99416953
2019-01-11,368603422.9839119
2019-01-16,384306332.7325762
2019-01-16,367466306.03464264
2019-01-17,362430655.4976272
2019-01-22,387711478.10594416
2019-01-22,386576882.4277919
2019-01-23,375389032.6063053
2019-01-28,385031012.0635627
2019-01-28,377809617.25410664
2019-01-29,365382775.3342245
2019-02-03,385078647.1619481
2019-02-04,367016638.0057113
2019-02-09,374616019.1985076
2019-02-09,375748964.1007394
2019-02-10,358520460.89569485
2019-02-15,390378404.61766183
2019-02-15,366068750.32568574
2019-02-16,362165943.6751434
2019-02-21,389320579.26256037
2019-02-21,380855885.554543
2019-02-22,362277930.56366074
2019-02-27,387821460.71358246
2019-02-27,361180875.07872146
2019-02-28,367388625.14565957
2019-03-05,376065783.2797194
2019-03-06,376304475.4018621
2019-03-11,382872590.32268924
2019-03-12,357797874.1961158
2019-03-17,385004088.6036151
2019-03-18,368812136.97010463
2019-03-23,378118676.74551797
2019-03-24,343030779.2436285
2019-03-29,367519458.75224733
2019-03-29,358447371.8774887
2019-03-30,345849694.0347343
2019-04-04,392454808.8144038
2019-04-04,374718787.94499665
2019-04-05,343564353.5533269
2019-04-10,372486367.0651742
2019-04-10,359115478.62169695
2019-04-11,364152594.51788884
2019-04-16,357452962.04406554
2019-04-16,348971207.70244414
2019-04-17,347350104.5593857
2019-04-22,358207831.4213464
2019-04-22,379625833.42924446
2019-04-23,353984666.6743275
2019-04-28,366583466.6809478
2019-04-28,355563679.76199424
2019-04-29,340904800.42963535
2019-05-04,363767253.4216653
2019-05-04,355895926.3332178
2019-05-05,337983357.07772756
2019-05-10,363343305.71491146
2019-05-11,336825522.3410051
2019-05-16,357266342.34929276
2019-05-17,348362795.89326787
2019-05-22,328076160.5804791
2019-05-22,320829357.7516258
2019-05-23,310022808.29763
2019-05-28,339550187.6537424
2019-05-29,305135823.8665911
2019-06-03,343449996.75604135
2019-06-04,327891966.33678424
2019-06-09,359383630.9942997
2019-06-09,342487412.9791114
2019-06-10,313584834.592527
2019-06-15,345536164.09219813
2019-06-15,337340422.5131183
2019-06-16,306666513.6558241
2019-06-21,359936363.1547886
2019-06-22,314064149.15670025
2019-06-27,330832600.5628952
2019-06-27,341183112.05497706
2019-06-28,307014518.3100088
2019-07-03,324340499.2412773
2019-07-04,299984576.2503744
2019-07-09,334678482.07046455
2019-07-10,297423918.6827757
2019-07-15,325454609.9530571
2019-07-16,306390521.14187634
2019-07-21,340862758.8507818
2019-07-22,287019486.11751527
2019-07-27,347018088.52490735
2019-07-27,335658828.1978142
2019-07-28,299343356.1073458
2019-08-02,325515877.3789001
2019-08-03,297408499.9642267
2019-08-08,343056850.81413925
2019-08-09,295357872.8607025
2019-08-14,323199838.257497
2019-08-14,306680120.7106401
2019-08-15,289570254.28379065
2019-08-20,308606239.2177005
2019-08-20,325551453.48735106
2019-08-21,288077243.9760032
2019-08-26,319969465.17082816
2019-08-26,305636753.8578953
2019-08-27,292230859.16374195
2019-09-01,314494727.7815891
2019-09-01,306077683.8000192
2019-09-02,289809411.86840695
2019-09-07,314786440.2487526
2019-09-08,277336969.0093998
2019-09-13,305273653.8664466
2019-09-13,268129626.8816618
2019-09-14,287802199.0743797
2019-09-19,300823373.78390634
2019-09-19,294417642.4879698
2019-09-20,270411134.76741874
2019-09-25,310635199.87708724
2019-09-25,304258777.61769575
2019-09-26,273818040.40881974
2019-10-01,336017690.8995596
2019-10-02,276955226.3985029
2019-10-02,276879651.17752755
2019-10-07,287639880.53415585
2019-10-07,270572562.3760333
2019-10-08,270651408.86704165
2019-10-13,278445228.7103999
2019-10-13,266802951.35831198
2019-10-14,291364317.3801105
2019-10-19,267212546.85425156
2019-10-19,259595742.3505388
2019-10-20,262655205.3756943
2019-10-25,286884003.47012454
2019-10-25,245790131.2191895
2019-10-26,253564050.43164498
2019-10-31,245335161.91337395
2019-11-01,247821160.11833107
2019-11-06,291117139.4112936
2019-11-06,249425472.73929617
2019-11-07,259825876.35643533
2019-11-12,269947648.91737974
2019-11-13,248442374.45248118
2019-11-18,344355109.71554756
2019-11-18,247244314.05309498
2019-11-19,238046067.13238728
2019-11-24,258499675.04529095
2019-11-25,249042009.1523071
2019-11-30,256929235.36551034
2019-12-01,233412410.8617955
2019-12-06,227322163.99108505
2019-12-06,255734677.09795386
2019-12-07,245505062.7363423
2019-12-07,245426502.36977684
2019-12-12,302770189.0959246
2019-12-12,300299532.0017954
2019-12-13,238345005.68974277
2019-12-18,260661516.93800613
2019-12-18,240215282.3373056
2019-12-19,252147443.53238317
2019-12-24,268395556.43020418
2019-12-24,242033207.2470956
2019-12-25,249449329.9695323
2019-12-30,273663608.3098476
2019-12-30,243116681.93126097
2020-01-05,287758275.0699159
2020-01-06,249695279.99306118
2020-01-11,300720905.0192886
2020-01-11,253049837.4231556
2020-01-12,255330062.89613232
2020-01-17,257595605.82271066
2020-01-18,228454956.6175046
2020-01-23,284787255.51781
2020-01-24,267908699.04510665
2020-01-24,267281765.19955668
2020-01-29,258195750.08399463
2020-01-30,380440928.6824603
2020-02-04,261925679.38633806
2020-02-04,259078148.5953007
2020-02-05,257358619.0253131
2020-02-10,273198575.38172805
2020-02-10,252434638.83929497
2020-02-11,253427635.8554575
2020-02-16,300587516.85955113
2020-02-17,274490667.73702407
2020-02-17,273127051.41075045
2020-02-22,327123811.01703894
2020-02-23,266004837.23085114
2020-02-23,264156974.03432664
2020-02-28,294384970.56585956
2020-02-28,280371526.2603475
2020-02-29,262826502.52298805
2020-03-05,311745772.90884453
2020-03-06,265472508.9123447
2020-03-06,264196133.8663964
2020-03-11,289654431.48130757
2020-03-12,243725474.83785102
2020-03-17,280927182.7789084
2020-03-18,255780877.2807421
2020-03-23,273239986.3806586
2020-03-24,256842272.49070033
2020-03-29,276392329.0757016
2020-03-29,252810339.29554564
2020-03-30,256194934.618913
2020-04-04,306489637.24796194
2020-04-05,279376662.9551465
2020-04-05,275397651.1330449
2020-04-10,290450625.2851695
2020-04-10,248825580.7816095
2020-04-11,248673378.67068714
2020-04-16,290607639.13876367
2020-04-17,257349362.96166518
2020-04-22,283801363.17140865
2020-04-22,279954511.2624791
2020-04-23,259015092.3268765
2020-04-28,300208707.0947135
2020-04-29,260160042.89681128
2020-05-04,303585947.3794731
2020-05-04,283500836.5906255
2020-05-05,261549970.93232843
2020-05-10,304551694.9329951
2020-05-10,266709460.94951844
2020-05-11,268820821.6274323
2020-05-16,278221964.81184584
2020-05-17,243359054.63609946
2020-05-22,282932361.3856701
2020-05-22,266094521.74647912
2020-05-23,266716939.84635225
2020-05-28,288876052.5368403
2020-05-28,254936705.26275104
2020-05-29,243256994.77171895
2020-06-03,329578516.4010656
2020-06-04,247484163.2847343
2020-06-09,296784229.03263825
2020-06-10,248238920.29160258
2020-06-10,247478669.82953125
2020-06-15,313555495.4281891
2020-06-15,273678673.78775203
2020-06-16,234461563.16435316
2020-06-21,302069242.3689573
2020-06-22,233372777.9001453
2020-06-27,299281571.95386624
2020-06-27,275067571.1286082
2020-06-28,247550087.39639977
2020-07-03,316808957.4386436
2020-07-03,272839126.1104367
2020-07-04,223418718.5559356
2020-07-09,261113073.46790713
2020-07-10,218044373.1779787
2020-07-15,215184209.3011974
2020-07-16,225223593.9559846
2020-07-16,222783611.90831825
2020-07-21,329961347.58083093
2020-07-22,191353838.6082538
2020-07-27,280767850.60286
2020-07-27,271526658.61487675
2020-07-28,244944331.79885238
2020-08-02,327011005.74440676
2020-08-03,305914499.6607032
2020-08-03,274000753.61022025
2020-08-08,266498206.25137237
2020-08-09,219739645.686916
2020-08-09,215917214.1604532
2020-08-14,312167650.2202234
2020-08-15,248818245.1452023
2020-08-15,214578595.4793088
2020-08-20,339540188.71833044
2020-08-26,178868836.22163102
2020-08-26,218440434.88711575
2020-08-27,242126023.67217037
2020-08-27,220987768.8925657
2020-09-01,248776066.4049143
2020-09-02,216680910.43388754
2020-09-02,209563774.25298643
2020-09-07,317601699.9078736
2020-09-07,175556911.0871056
2020-09-08,198111025.58172673
2020-09-13,277718858.0381921
2020-09-13,215645780.46519935
2020-09-14,186508038.59898058
2020-09-19,343018746.3972388
2020-09-20,197013808.55492762
2020-09-25,337647870.4132376
2020-09-26,301384224.04520154
2020-09-26,298397675.70673615
2020-10-01,346040664.52903736
2020-10-02,321138446.3159231
2020-10-02,308306400.23579323
2020-10-07,248295736.15033206
2020-10-08,186954984.86859253
2020-10-13,308187655.29752445
2020-10-14,350776017.6959495
2020-10-14,310912251.79488856
2020-10-19,345252849.42109615
2020-10-20,199118584.47363555
2020-10-25,203154343.50351077
2020-10-25,184397555.91932532
2020-10-26,209535802.6080616
2020-10-31,222184547.81672546
2020-10-31,176741215.06165868
2020-11-01,205708327.62930283
2020-11-06,243895064.49413538
2020-11-06,198804969.16254243
2020-11-07,315605203.3276029
2020-11-12,234705110.40586194
2020-11-13,231778210.02876917
2020-11-13,231238979.33619207
2020-11-18,223311942.74096745
2020-11-19,225211108.09291914
2020-11-24,276626516.05446994
2020-11-25,226023090.02524376
2020-11-30,267897466.781604
2020-12-01,242437304.00750574
2020-12-06,261711767.54249257
2020-12-06,252861918.16991657
2020-12-07,254449397.94199315
2020-12-12,246675160.54268837
2020-12-13,238346817.75713712
2020-12-18,241831229.29819626
2020-12-18,235235745.78465807
2020-12-19,236896582.37806493
2020-12-24,252922711.32004952
2020-12-25,254015839.15881872
2020-12-30,278498213.9068801
2020-12-30,261456996.98747754
