date,value
2018-01-04,4285500
2018-01-05,4285500
2018-01-09,4285500
2018-01-10,4770800
2018-01-11,4412800
2018-01-15,6014300
2018-01-16,4553700
2018-01-17,4533200
2018-01-21,4631800
2018-01-22,4909400
2018-01-23,4432300
2018-01-27,5625500
2018-01-28,4432300
2018-01-29,4412800
2018-02-02,4533200
2018-02-03,5770300
2018-02-04,4452700
2018-02-08,5802100
2018-02-09,4492200
2018-02-10,4452700
2018-02-14,4753000
2018-02-15,5028100
2018-02-16,4391400
2018-02-20,4892600
2018-02-21,4412800
2018-02-22,4412800
2018-02-26,4892600
2018-02-27,5298100
2018-02-28,4285500
2018-03-04,4965300
2018-03-05,4573000
2018-03-06,4573000
2018-03-10,5705600
2018-03-11,6730600
2018-03-12,6599000
2018-03-16,7105700
2018-03-17,6762800
2018-03-18,6762800
2018-03-22,6843200
2018-03-23,7189600
2018-03-24,6805800
2018-03-28,7170700
2018-03-29,6935700
2018-03-30,6935700
2018-04-03,7075700
2018-04-04,7210900
2018-04-05,7033800
2018-04-09,7246600
2018-04-10,7033800
2018-04-11,7033800
2018-04-15,7090900
2018-04-16,7210900
2018-04-17,7046900
2018-04-21,7266500
2018-04-22,7105700
2018-04-23,7105700
2018-04-27,7189600
2018-04-28,7306100
2018-04-29,7105400
2018-05-03,7285500
2018-05-04,7075700
2018-05-05,7075700
2018-05-09,7153100
2018-05-10,7189600
2018-05-11,7009000
2018-05-15,7228800
2018-05-16,6946100
2018-05-17,6946100
2018-05-21,7061200
2018-05-22,7153100
2018-05-23,7153100
2018-05-27,7033800
2018-05-28,7122800
2018-05-29,7122800
2018-06-02,6997900
2018-06-03,7033800
2018-06-04,6788500
2018-06-08,6997100
2018-06-09,6779000
2018-06-10,6779000
2018-06-14,7009600
2018-06-15,7105700
2018-06-16,6843800
2018-06-20,7021500
2018-06-21,6881900
2018-06-22,6881900
2018-06-26,6881900
2018-06-27,7009600
2018-06-28,6788500
2018-07-02,7009600
2018-07-03,6806100
2018-07-04,6806100
2018-07-08,6900300
2018-07-09,6974600
2018-07-10,6737200
2018-07-14,6891900
2018-07-15,6608200
2018-07-16,6608200
2018-07-20,6609100
2018-07-21,6788500
2018-07-22,6591100
2018-07-26,6891900
2018-07-27,6645900
2018-07-28,6645900
2018-08-01,6721700
2018-08-02,6772400
2018-08-03,6495000
2018-08-07,6721700
2018-08-08,6424500
2018-08-09,6424500
2018-08-13,6482900
2018-08-14,6704300
2018-08-15,6398500
2018-08-19,6713000
2018-08-20,6389100
2018-08-21,6389100
2018-08-25,6453900
2018-08-26,6671500
2018-08-27,6251400
2018-08-31,6645900
2018-09-01,6143800
2018-09-02,6143800
