date,value
2018-01-02,385000
2018-01-07,384700
2018-01-12,387000
2018-01-17,396400
2018-01-22,414000
2018-01-24,484700
2018-01-27,380500
2018-02-06,380500
2018-02-11,418800
2018-02-13,409700
2018-02-16,377800
2018-02-21,395200
2018-02-26,371000
2018-03-20,592100
2018-03-28,584400
2018-04-04,575100
2018-04-07,565200
2018-04-14,597200
2018-04-17,598200
2018-04-19,607600
2018-04-27,608000
2018-05-14,622200
2018-05-19,615700
2018-05-22,621000
2018-06-01,623400
2018-06-03,166800
2018-06-16,636400
2018-06-21,618600
2018-06-23,617300
2018-06-26,622400
2018-07-01,604400
2018-07-03,599500
2018-07-06,606500
2018-07-08,601000
2018-07-11,580700
2018-07-13,597400
2018-07-16,586900
2018-07-18,581400
2018-07-21,571900
2018-07-23,588200
2018-07-26,588200
2018-07-28,570500
2018-07-31,567800
2018-08-02,552800
2018-08-05,545700
2018-08-07,551400
2018-08-10,540800
2018-08-15,546700
2018-08-17,546000
2018-08-22,546000
2018-08-25,539800
2018-08-27,492700
2018-08-30,509600
2018-09-01,476200
2018-09-04,504000
2018-09-09,272000
2018-09-11,474500
2018-09-16,484400
2018-09-21,494700
2018-09-24,464300
2018-09-26,466500
2018-09-29,467600
2018-10-01,466500
2018-10-09,436400
2018-10-24,435100
2018-10-29,610400
2018-11-03,442200
2018-11-10,466900
2018-11-28,518200
2018-11-30,166800
2018-12-03,511900
2018-12-05,500800
2018-12-08,538900
2018-12-10,498200
2018-12-15,498900
2018-12-20,506400
2018-12-28,509400
2018-12-30,615200
2019-01-02,504300
2019-01-04,499300
2019-01-09,505000
2019-01-12,496900
2019-01-14,504300
2019-01-17,559200
2019-02-03,532000
2019-02-06,529300
2019-02-08,525700
2019-02-13,576400
2019-02-26,517800
2019-02-28,510600
2019-03-03,518900
2019-03-10,516600
2019-03-13,518900
2019-03-15,515700
2019-03-20,200500
2019-03-25,502400
2019-03-28,498000
2019-04-04,510000
2019-04-12,524700
2019-04-14,512500
2019-04-27,515000
2019-04-29,518500
2019-05-07,522500
2019-05-12,529000
2019-05-14,500500
2019-05-19,512200
2019-05-22,609700
2019-05-27,486900
2019-05-29,485300
2019-06-01,527300
2019-06-06,447200
2019-06-08,480900
2019-06-11,466100
2019-06-16,452100
2019-06-18,491300
2019-06-21,478200
2019-06-23,479200
2019-06-28,465900
2019-07-08,542100
2019-07-11,410200
2019-07-13,430900
2019-07-16,424400
2019-07-18,433000
2019-07-21,400700
2019-07-23,430900
2019-07-26,390000
2019-07-28,409300
2019-08-02,427300
2019-08-05,387000
2019-08-07,410200
2019-08-10,372800
2019-08-15,363500
2019-08-17,395300
2019-08-20,388500
2019-08-25,644300
2019-08-27,390600
2019-08-30,360100
2019-09-01,373800
2019-09-04,340600
2019-09-06,166800
2019-09-09,341900
2019-09-11,372000
2019-09-16,367000
2019-09-19,351900
2019-09-24,332600
2019-09-26,344100
2019-09-29,341800
2019-10-01,346000
2019-10-04,342100
2019-10-06,344100
2019-10-09,322400
2019-10-16,331800
2019-10-24,314000
2019-10-26,347500
2019-10-29,295000
2019-11-05,342900
2019-11-08,312100
2019-11-15,306300
2019-11-18,307700
2019-11-28,350200
2019-11-30,346900
2019-12-23,330500
2020-01-02,340900
2020-01-07,295000
2020-01-09,329200
2020-01-27,353700
2020-02-01,470300
2020-02-03,465900
2020-02-11,506800
2020-02-16,410200
2020-02-23,465900
2020-02-26,289600
2020-03-04,329100
2020-03-07,303700
2020-03-09,320100
2020-03-27,303900
2020-04-03,376500
2020-05-01,375300
2020-05-03,409300
2020-05-06,390200
2020-05-11,160000
2020-05-18,407300
2020-05-21,478200
2020-05-23,520000
2020-05-26,421800
2020-05-28,425200
2020-06-07,408900
2020-06-15,520700
2020-06-17,430400
2020-06-20,400700
2020-06-22,444700
2020-06-25,443000
2020-06-27,427700
2020-06-30,385500
2020-07-02,421800
2020-07-05,390500
2020-07-07,409900
2020-07-10,372600
2020-07-12,421800
2020-07-15,393000
2020-07-17,394200
2020-07-20,363300
2020-07-22,405500
2020-07-25,381300
2020-07-27,393500
2020-07-30,344100
2020-08-01,389500
2020-08-04,334500
2020-08-06,390100
2020-08-09,342700
2020-08-14,334200
2020-08-16,363600
2020-08-19,331500
2020-08-21,373900
2020-08-24,323400
2020-08-26,380700
2020-08-29,316000
2020-08-31,343400
2020-09-05,343400
2020-09-10,319500
2020-09-15,228600
2020-09-23,290300
2020-09-25,320300
2020-09-28,281400
2020-10-03,292300
2020-10-08,278500
2020-10-13,292900
2020-10-28,306100
2020-11-02,330500
2020-11-17,306300
2020-11-22,260900
2020-12-09,264200
2020-12-22,176500
2020-12-24,503200
2020-12-27,306700
