date,value
2018-01-03,350800
2018-01-04,406600
2018-01-09,366600
2018-01-10,400900
2018-01-10,481000
2018-01-15,387300
2018-01-16,415700
2018-01-21,353800
2018-01-22,415700
2018-01-27,380300
2018-01-28,437000
2018-02-02,346400
2018-02-03,409000
2018-02-08,346400
2018-02-09,387300
2018-02-14,338900
2018-02-15,355800
2018-02-15,404400
2018-02-20,341800
2018-02-21,375900
2018-02-26,343600
2018-02-27,400900
2018-03-04,486100
2018-03-05,497000
2018-03-10,519600
2018-03-11,529400
2018-03-11,558300
2018-03-16,569700
2018-03-17,563000
2018-03-22,530500
2018-03-23,571000
2018-03-28,550100
2018-03-29,569700
2018-04-03,541500
2018-04-04,569700
2018-04-09,563000
2018-04-10,546000
2018-04-15,553800
2018-04-16,564500
2018-04-16,574500
2018-04-21,566500
2018-04-22,564500
2018-04-27,568100
2018-04-28,596200
2018-05-03,578600
2018-05-04,585300
2018-05-09,574500
2018-05-10,564500
2018-05-10,592300
2018-05-15,572800
2018-05-16,556800
2018-05-21,569700
2018-05-22,580200
2018-05-27,571000
2018-05-28,580200
2018-06-02,566500
2018-06-03,558300
2018-06-03,586800
2018-06-08,569700
2018-06-09,585300
2018-06-14,553800
2018-06-15,571000
2018-06-20,553800
2018-06-21,551100
2018-06-26,541500
2018-06-27,563000
2018-07-02,543700
2018-07-03,564500
2018-07-08,520500
2018-07-09,551100
2018-07-14,524100
2018-07-15,532100
2018-07-20,519600
2018-07-21,537300
2018-07-21,538500
2018-07-26,523200
2018-07-27,538500
2018-08-01,506500
2018-08-02,532100
2018-08-07,498000
2018-08-08,471700
2018-08-13,487800
2018-08-14,501700
2018-08-14,507900
2018-08-19,501200
2018-08-20,487800
2018-08-25,467800
2018-08-26,490200
2018-08-31,469500
2018-09-01,462400
2018-09-06,452500
2018-09-07,457800
2018-09-07,462400
2018-09-12,446000
2018-09-13,457800
2018-09-18,434800
2018-09-19,405600
2018-09-19,443000
2018-09-24,434800
2018-09-25,413400
2018-09-30,413400
2018-10-01,457800
2018-10-06,417400
2018-10-07,472400
2018-10-12,394400
2018-10-13,455200
2018-10-18,424900
2018-10-19,430700
2018-10-24,407600
2018-10-25,415700
2018-10-30,473600
2018-10-31,460500
2018-11-05,443900
2018-11-06,424900
2018-11-06,443000
2018-11-11,418900
2018-11-12,448600
2018-11-17,423300
2018-11-18,473300
2018-11-23,451000
2018-11-24,478000
2018-11-29,464300
2018-11-30,510100
2018-12-05,460500
2018-12-06,479700
2018-12-11,466100
2018-12-12,499000
2018-12-17,467800
2018-12-18,485600
2018-12-23,467800
2018-12-24,455200
2018-12-24,497000
2018-12-29,485600
2018-12-30,506500
2019-01-04,467800
2019-01-05,497000
2019-01-10,466100
2019-01-11,507900
2019-01-16,464300
2019-01-17,488400
2019-01-22,501700
2019-01-23,502900
2019-01-23,505100
2019-01-28,473600
2019-01-29,506500
2019-02-03,505100
2019-02-04,502900
2019-02-04,505100
2019-02-09,488900
2019-02-10,543700
2019-02-15,495100
2019-02-16,515500
2019-02-21,495100
2019-02-22,484100
2019-02-22,513900
2019-02-27,490200
2019-02-28,520500
2019-03-05,476900
2019-03-06,544600
2019-03-11,482400
2019-03-12,492200
2019-03-17,469500
2019-03-18,471700
2019-03-18,495100
2019-03-23,479700
2019-03-24,499000
2019-03-24,506500
2019-03-29,467800
2019-03-30,499000
2019-04-04,479700
2019-04-05,513900
2019-04-05,537300
2019-04-10,474700
2019-04-11,530500
2019-04-16,470300
2019-04-17,468700
2019-04-17,481000
2019-04-22,466600
2019-04-23,513900
2019-04-28,473600
2019-04-29,467800
2019-05-04,458500
2019-05-05,488900
2019-05-10,465100
2019-05-11,455200
2019-05-11,462400
2019-05-16,449100
2019-05-17,468700
2019-05-17,497000
2019-05-22,450000
2019-05-23,438200
2019-05-23,441900
2019-05-28,434800
2019-05-29,456900
2019-06-03,430700
2019-06-04,455200
2019-06-09,421800
2019-06-10,450800
2019-06-15,438200
2019-06-16,411800
2019-06-16,424000
2019-06-21,403300
2019-06-22,424900
2019-06-22,391200
2019-06-27,406600
2019-06-28,396700
2019-06-28,398400
2019-07-03,394400
2019-07-04,424000
2019-07-09,391200
2019-07-10,405600
2019-07-15,370600
2019-07-16,371800
2019-07-16,400900
2019-07-21,375900
2019-07-21,374800
2019-07-22,493100
2019-07-22,396700
2019-07-27,365900
2019-07-28,417400
2019-08-02,357500
2019-08-03,351300
2019-08-03,365900
2019-08-08,351300
2019-08-09,409000
2019-08-09,392500
2019-08-14,346400
2019-08-15,348700
2019-08-20,341100
2019-08-21,553800
2019-08-26,333600
2019-08-27,387300
2019-09-01,310300
2019-09-02,537300
2019-09-02,330200
2019-09-07,447200
2019-09-08,372700
2019-09-08,344100
2019-09-13,327900
2019-09-14,511400
2019-09-19,313100
2019-09-19,310300
2019-09-20,437000
2019-09-25,306700
2019-09-25,306000
2019-09-26,349100
2019-10-01,470300
2019-10-01,333600
2019-10-02,551100
2019-10-02,486900
2019-10-07,281800
2019-10-08,530500
2019-10-13,318400
2019-10-13,288700
2019-10-14,626800
2019-10-19,592300
2019-10-19,430700
2019-10-20,517400
2019-10-20,353100
2019-10-25,596200
2019-10-26,589900
2019-10-26,429200
2019-10-31,280000
2019-11-01,576200
2019-11-01,445100
2019-11-06,526300
2019-11-07,368400
2019-11-07,320600
2019-11-12,293800
2019-11-13,319500
2019-11-18,278100
2019-11-19,327400
2019-11-24,274300
