date,value
2018-01-02,87666305.40324502
2018-01-04,93927042.21244359
2018-01-07,86580588.94908315
2018-01-12,83936236.91537061
2018-01-17,86303223.25471355
2018-01-22,86195077.07285377
2018-01-24,105261805.82322046
2018-01-27,84995518.23226808
2018-02-08,95412939.37129028
2018-02-11,86587358.29762325
2018-02-13,89089027.88634615
2018-02-16,83535335.34937517
2018-02-18,104361183.86387661
2018-02-21,85614697.08095998
2018-03-20,135981718.9791851
2018-03-28,134046017.16750696
2018-04-02,134801303.40350577
2018-04-04,141345104.1451401
2018-04-07,138569957.77665424
2018-04-14,150952695.4581697
2018-04-17,146302859.86716264
2018-04-19,151756335.41221407
2018-04-22,83929549.09514916
2018-04-24,146348537.4543307
2018-04-27,145104776.78820762
2018-04-29,160180505.17883286
2018-05-02,147975773.70501283
2018-05-04,150902260.51298884
2018-05-07,76302800.50556497
2018-05-09,149522062.31868953
2018-05-12,148781569.85009968
2018-05-14,153047305.1195298
2018-05-19,145398759.7997531
2018-05-22,152346446.3516658
2018-06-01,142592683.74397722
2018-06-03,156084625.78264987
2018-06-13,156272034.66161567
2018-06-16,160124589.56705773
2018-06-21,153855264.84560055
2018-06-23,159995582.57383686
2018-06-26,152574298.99326116
2018-06-28,137230934.2869077
2018-07-01,58137836.14055641
2018-07-03,155782400.81304273
2018-07-06,154847379.12604663
2018-07-08,156890252.08433905
2018-07-11,146352690.237751
2018-07-13,155267867.45662817
2018-07-16,153935728.42899635
2018-07-18,152823400.75699207
2018-07-21,147075973.3526623
2018-07-23,154673367.62352866
2018-07-26,151040972.4131074
2018-07-28,150100388.7590836
2018-07-31,147279907.17637178
2018-08-02,148297052.6988143
2018-08-05,147055169.96999726
2018-08-07,146568698.2393906
2018-08-10,145162726.9179895
2018-08-12,137449700.4591464
2018-08-15,146236429.65880653
2018-08-17,147929898.87157235
2018-08-22,149291812.3982572
2018-08-25,145324206.95835856
2018-08-30,145983272.34928077
2018-09-01,145154447.77603146
2018-09-04,138139294.9670423
2018-09-06,141504916.55520833
2018-09-11,133436569.77729827
2018-09-16,140371364.47859254
2018-09-21,140134464.20235404
2018-09-24,136793809.39817455
2018-09-26,138700071.8171216
2018-09-29,135139305.9789775
2018-10-01,139791643.73817328
2018-10-09,129030753.10536298
2018-10-16,127114741.4165358
2018-10-19,121430119.9675714
2018-10-24,131953585.46440059
2018-10-29,139371727.24916542
2018-11-03,134712833.42898244
2018-11-05,153372827.67160162
2018-11-13,135062824.15337637
2018-11-28,141111658.75779846
2018-11-30,136203745.51745808
2018-12-03,120323852.98558633
2018-12-05,137976916.47095835
2018-12-08,140502134.81195948
2018-12-10,136328949.93428516
2018-12-13,72335803.57882637
2018-12-15,138700071.8171216
2018-12-20,138204267.20025423
2018-12-28,136757406.85602605
2018-12-30,136846397.51230958
2019-01-02,135074899.10950422
2019-01-04,137336249.19851393
2019-01-07,143012236.12868655
2019-01-09,137705099.2358707
2019-01-12,133793285.9583691
2019-01-14,138443955.1796154
2019-01-22,137924159.4835091
2019-01-27,140240641.59693554
2019-01-29,136163366.5584758
2019-02-03,144587764.64726052
2019-02-06,144653902.06818372
2019-02-08,144149901.97082454
2019-02-11,137336249.19851393
2019-02-13,144149901.97082454
2019-02-16,135832435.09342423
2019-02-21,139330984.87594026
2019-02-26,142839421.09850746
2019-02-28,143094557.61411387
2019-03-03,142185930.59295025
2019-03-10,147225791.55389893
2019-03-13,143164545.38893807
2019-03-15,146934532.96372864
2019-03-18,142666687.49746355
2019-03-20,147692272.6065415
2019-03-23,149304367.91958475
2019-03-25,147800645.07116228
2019-03-28,141742716.4099847
2019-03-30,140052810.60731676
2019-04-04,147771464.82223713
2019-04-12,145398759.7997531
2019-04-14,147500612.59281415
2019-04-19,53893723.46701179
2019-04-22,149496937.42707965
2019-04-27,146302859.86716264
2019-04-29,149090980.0157676
2019-05-07,145775893.83944675
2019-05-12,146714158.12542045
2019-05-14,148530880.6454383
2019-05-19,151411113.54089043
2019-05-22,153393974.81671116
2019-05-24,148063368.32201692
2019-05-27,144059089.66480374
2019-05-29,145336631.3972789
2019-06-01,154126365.45460624
2019-06-06,144583631.4497623
2019-06-08,146074555.2805062
2019-06-11,136539070.88956672
2019-06-18,147888199.2871815
2019-06-21,150087807.19648692
2019-06-23,144699378.3810724
2019-06-26,143498199.6501874
2019-06-28,144360507.1591331
2019-07-01,144100365.221403
2019-07-03,143123374.4946906
2019-07-06,132248867.16068108
2019-07-08,142605016.66390458
2019-07-11,132788219.04456797
2019-07-13,138822096.94011536
2019-07-16,137109456.20165142
2019-07-18,139204713.0174571
2019-07-21,130731314.22386876
2019-07-23,139106984.79931325
2019-07-26,126698330.71725626
2019-07-28,136927317.68118542
2019-07-31,130302383.98972324
2019-08-02,139106984.79931325
2019-08-05,129881931.19475079
2019-08-07,120416211.91954555
2019-08-10,130596221.39502473
2019-08-12,133961752.78253357
2019-08-15,129794733.76876453
2019-08-17,133180284.18778266
2019-08-20,130985754.21850303
2019-08-22,133180284.18778266
2019-08-25,126309899.81810518
2019-08-27,131937631.61880401
2019-08-30,128162039.16377842
2019-09-01,127964923.19197793
2019-09-06,125479672.4382444
2019-09-09,119635880.63633257
2019-09-11,123580589.24186836
2019-09-14,123382365.14999987
2019-09-16,122110477.54142088
2019-09-19,119532241.7206865
2019-09-24,116181171.49229206
2019-09-26,117463010.77893063
2019-09-29,117958952.6200753
2019-10-01,117813900.79931596
2019-10-04,117493506.76392257
2019-10-06,117356299.12445539
2019-10-09,115995247.89826828
2019-10-16,115995247.89826828
2019-10-21,114274361.706426
2019-10-24,114606410.42675713
2019-10-26,114855693.25744018
2019-10-29,110836653.0022976
2019-11-08,117245816.18327063
2019-11-15,110412145.78338271
2019-11-18,113487251.45260185
2019-11-23,75804026.51688421
2019-11-28,112634755.2321938
2019-11-30,112559765.52947141
2019-12-03,113652782.68928604
2019-12-05,111810939.35893932
2019-12-08,110237314.4846402
2019-12-10,110989481.80401558
2019-12-15,113261678.57007319
2019-12-18,100164845.55308464
2019-12-23,120112301.25856556
2019-12-25,119962379.76208785
2019-12-28,115665424.61839145
2019-12-30,115214879.85268816
2020-01-02,117916956.7835205
2020-01-04,115006876.45478098
2020-01-07,114067021.93474166
2020-01-09,117360109.60421272
2020-01-12,116321639.64888746
2020-01-14,111101359.73513614
2020-01-27,116655991.70426235
2020-01-29,117360109.60421272
2020-02-03,119678113.93137284
2020-02-06,117196302.51051784
2020-02-16,116253295.52817658
2020-02-21,110267065.37961431
2020-02-23,118115533.8840659
2020-02-26,113115149.98903143
2020-03-04,120674193.39091471
2020-03-07,117196302.51051784
2020-03-14,122207239.34960248
2020-03-22,64954205.44806138
2020-03-27,172758851.9613236
2020-03-29,142559797.98941317
2020-04-01,119973909.59452003
2020-04-03,123954053.20539859
2020-04-08,123137671.31149286
2020-05-01,121812638.85483675
2020-05-03,129961221.38121018
2020-05-06,123048385.81003758
2020-05-08,123533937.12476943
2020-05-11,74321743.06695372
2020-05-13,76899778.49879636
2020-05-16,76557504.45966685
2020-05-18,123254168.58115375
2020-05-21,121267980.88077326
2020-05-23,144121004.7274277
2020-05-28,121306577.7685565
2020-06-07,70874224.50942093
2020-06-15,129363046.83521882
2020-06-17,117699435.33273982
2020-06-20,119897052.20092884
2020-06-22,120089231.66427065
2020-06-25,126055122.22158317
2020-06-27,114655494.89886025
2020-06-30,116785273.3082274
2020-07-02,112859841.08091968
2020-07-05,115006876.45478098
2020-07-07,111478338.17711173
2020-07-10,103311251.88939999
2020-07-12,114644166.98612031
2020-07-15,106734034.31554574
2020-07-17,106936077.82782641
2020-07-20,101162677.50743292
2020-07-22,106059189.70506036
2020-07-27,104215617.97678868
2020-07-30,94665350.41088922
2020-08-01,102297966.47560398
2020-08-04,92380813.57359661
2020-08-06,100071720.3048205
2020-08-09,92502337.68590207
2020-08-11,69635599.6022713
2020-08-14,88784628.4452726
2020-08-16,92380813.57359661
2020-08-19,88289566.69872756
2020-08-21,91878019.96944994
2020-08-24,86705855.2750956
2020-08-26,87272124.10796475
2020-08-29,83038590.70973581
2020-08-31,87632296.99827303
2020-09-03,82446678.65504646
2020-09-05,86956599.57284257
2020-09-08,80605139.23588698
2020-09-10,83732351.82612558
2020-09-15,89030852.81017812
2020-09-18,78164202.76644258
2020-09-20,83632151.3581458
2020-09-23,79757647.6462697
2020-09-25,84968637.14835905
2020-09-28,78209741.65301917
2020-10-03,80302532.57536682
2020-10-08,78121925.91186398
2020-10-13,79341754.47598034
2020-10-15,79031207.45571536
2020-10-18,77449949.86325222
2020-10-23,77339793.3505694
2020-10-25,77449949.86325222
2020-10-30,77738589.89810959
2020-11-02,77449949.86325222
2020-11-17,77449949.86325222
2020-11-19,78108919.44195926
2020-11-22,76302800.50556497
2020-11-24,78995280.03968377
2020-12-02,77207038.8225662
2020-12-17,72844561.48574229
2020-12-22,77566652.74708842
2020-12-24,82606132.90021336
2020-12-27,77738589.89810959
