date,value
2018-01-04,90152462.00326541
2018-01-05,79957708.43796633
2018-01-10,91968097.38446727
2018-01-10,99885571.07964532
2018-01-11,78095913.81589355
2018-01-16,93023860.0408464
2018-01-17,77207038.8225662
2018-01-22,95402394.04467963
2018-01-22,99660225.09618187
2018-01-23,79656052.26230456
2018-01-28,93407035.49463508
2018-01-29,123397907.65644448
2018-02-03,106367064.03442664
2018-02-03,87360414.89903544
2018-02-04,83595422.90076019
2018-02-09,94255678.5476064
2018-02-10,83595422.90076019
2018-02-15,91649516.41547099
2018-02-15,94556737.46547225
2018-02-16,79957708.43796633
2018-02-21,95402394.04467963
2018-02-22,79054073.67088558
2018-02-27,97187452.11916435
2018-02-27,90152462.00326541
2018-02-28,80937859.18140417
2018-03-05,107473133.36796713
2018-03-06,97442499.43587603
2018-03-11,111668882.63575813
2018-03-11,114814131.46392743
2018-03-12,105422556.79269458
2018-03-17,117832982.59188703
2018-03-18,120504748.4733388
2018-03-23,133849432.38827993
2018-03-24,126419711.92878158
2018-03-29,133705074.4004373
2018-03-30,126419711.92878158
2018-04-04,134214607.86890891
2018-04-04,133969777.07251915
2018-04-05,125569641.08903964
2018-04-10,135175540.1002271
2018-04-11,128600059.03009655
2018-04-16,137887640.0206941
2018-04-16,138626876.8144869
2018-04-17,132768227.79804376
2018-04-22,140976574.89601257
2018-04-23,133172278.3568018
2018-04-28,141193552.29709342
2018-04-29,131355830.82223822
2018-05-04,144579498.29830223
2018-05-05,132376636.1829363
2018-05-10,139204713.0174571
2018-05-10,141960152.29438046
2018-05-11,131985495.41044
2018-05-16,142761269.61993665
2018-05-17,134511849.48238635
2018-05-22,138163658.15944952
2018-05-23,136236052.0433753
2018-05-28,145005454.68575385
2018-05-29,135477638.27918032
2018-06-03,138305810.14490202
2018-06-03,138452083.03156614
2018-06-04,134214607.86890891
2018-06-09,144410078.73087138
2018-06-10,134511849.48238635
2018-06-15,137887640.0206941
2018-06-15,142518694.95257053
2018-06-16,133392507.02945693
2018-06-21,143976552.37442532
2018-06-22,135324542.36087257
2018-06-27,144410078.73087138
2018-06-28,137093262.29092294
2018-07-03,143766165.71892846
2018-07-04,135477638.27918032
2018-07-09,133705074.4004373
2018-07-09,137247134.53198618
2018-07-10,133705074.4004373
2018-07-15,139783485.33431104
2018-07-16,132105184.4818871
2018-07-21,137093262.29092294
2018-07-22,130679654.65729275
2018-07-27,138305810.14490202
2018-07-28,130421476.17868331
2018-08-02,132768227.79804376
2018-08-02,135324542.36087257
2018-08-03,130052428.40343706
2018-08-08,134511849.48238635
2018-08-09,126588424.34414832
2018-08-14,131985495.41044
2018-08-14,133969777.07251915
2018-08-15,127728540.1051774
2018-08-15,127590728.62795089
2018-08-20,138305810.14490202
2018-08-21,123942375.81073132
2018-08-26,132888192.86805487
2018-08-27,123397907.65644448
2018-09-01,131491229.18216969
2018-09-02,123833407.46657376
2018-09-07,129394711.22320712
2018-09-08,123833407.46657376
2018-09-13,129184990.92249112
2018-09-14,120728127.1365263
2018-09-19,127142258.9735126
2018-09-19,132376636.1829363
2018-09-20,123110494.79190472
2018-09-25,131714356.71201012
2018-09-26,120901549.1968857
2018-10-01,129842293.1724731
2018-10-01,128114720.54927549
2018-10-02,120143063.40345176
2018-10-07,128746195.0280472
2018-10-08,120504748.4733388
2018-10-13,130421476.17868331
2018-10-14,117051616.96649605
2018-10-19,132536415.05777302
2018-10-20,126710108.6042987
2018-10-25,128746195.0280472
2018-10-26,122788437.11194421
2018-10-31,134636445.75569078
2018-11-01,126274610.96529444
2018-11-06,131985495.41044
2018-11-06,133392507.02945693
2018-11-07,124242231.2807982
2018-11-12,135626770.1593497
2018-11-13,122435715.60321061
2018-11-18,141365588.98317313
2018-11-19,127728540.1051774
2018-11-24,135026601.80874458
2018-11-25,130679654.65729275
2018-11-30,138452083.03156614
2018-12-01,125839697.7694587
2018-12-06,132376636.1829363
2018-12-07,127142258.9735126
2018-12-12,137510492.934669
2018-12-13,129394711.22320712
2018-12-18,139783485.33431104
2018-12-19,130052428.40343706
2018-12-24,134773151.41133603
2018-12-24,136971831.71855474
2018-12-25,128916109.99369285
2018-12-30,136236052.0433753
2019-01-05,138626876.8144869
2019-01-06,128236974.22704074
2019-01-11,136526945.09952176
2019-01-11,139335058.904397
2019-01-12,127728540.1051774
2019-01-17,138163658.15944952
2019-01-18,125053641.0557975
2019-01-23,138452083.03156614
2019-01-24,127988570.86635323
2019-01-29,134214607.86890891
2019-01-29,134897841.9119232
2019-01-30,129184990.92249112
2019-02-04,139616278.9447352
2019-02-05,132105184.4818871
2019-02-10,141365588.98317313
2019-02-11,132652301.69735107
2019-02-16,140118131.99985144
2019-02-16,142161293.4395934
2019-02-17,132768227.79804376
2019-02-22,138956372.86320585
2019-02-22,141960152.29438046
2019-02-23,129299727.11842732
2019-02-28,141365588.98317313
2019-03-01,133172278.3568018
2019-03-06,140816995.33191127
2019-03-07,130906221.01307431
2019-03-12,136526945.09952176
2019-03-12,140816995.33191127
2019-03-13,131355830.82223822
2019-03-18,134090163.89423922
2019-03-18,138163658.15944952
2019-03-19,130421476.17868331
2019-03-24,138785485.01301995
2019-03-25,130906221.01307431
2019-03-30,138785485.01301995
2019-03-31,131355830.82223822
2019-04-05,139616278.9447352
2019-04-06,126831838.41458046
2019-04-11,136854488.69043002
2019-04-11,140118131.99985144
2019-04-12,130906221.01307431
2019-04-17,132376636.1829363
2019-04-17,136369348.01735365
2019-04-23,137392970.26600665
2019-04-24,130779007.03859214
2019-04-29,138305810.14490202
2019-04-29,139204713.0174571
2019-04-30,130906221.01307431
2019-05-05,137392970.26600665
2019-05-06,132105184.4818871
2019-05-11,134214607.86890891
2019-05-11,135175540.1002271
2019-05-12,129394711.22320712
2019-05-17,134511849.48238635
2019-05-17,137887640.0206941
2019-05-18,129921573.93110232
2019-05-23,134375247.1949292
2019-05-24,128236974.22704074
2019-05-29,133705074.4004373
2019-05-30,128600059.03009655
2019-06-04,134214607.86890891
2019-06-05,123942375.81073132
2019-06-10,132256851.31608205
2019-06-10,131192628.62911056
2019-06-11,126274610.96529444
2019-06-16,126831838.41458046
2019-06-16,133292385.51020895
2019-06-17,122788437.11194421
2019-06-22,130906221.01307431
2019-06-22,129557038.6002952
2019-06-23,123242516.9226413
2019-06-28,126588424.34414832
2019-06-28,128600059.03009655
2019-07-04,130159529.32698745
2019-07-04,129557038.6002952
2019-07-05,119970066.26906858
2019-07-10,127886109.9079996
2019-07-11,122257567.29153162
2019-07-16,121526671.4014153
2019-07-16,126274610.96529444
2019-07-17,119754916.62014644
2019-07-22,128916109.99369285
2019-07-22,126831838.41458046
2019-07-23,117832982.59188703
2019-07-28,122598461.01686493
2019-07-28,126710108.6042987
2019-07-29,119970066.26906858
2019-08-03,117676547.44221085
