date,value
2018-01-03,7093700
2018-01-04,9735400
2018-01-09,9068400
2018-01-10,9510000
2018-01-15,9057000
2018-01-16,9233800
2018-01-21,7114300
2018-01-22,9808000
2018-01-27,9032300
2018-01-28,9173900
2018-02-02,7169100
2018-02-03,13640200
2018-02-03,13870500
2018-02-08,7235200
2018-02-09,14104600
2018-02-14,7093700
2018-02-15,7468500
2018-02-20,7054300
2018-02-21,9534900
2018-02-26,6982400
2018-02-27,12902300
2018-02-27,8050100
2018-03-04,11647900
2018-03-05,12919100
2018-03-10,13505900
2018-03-11,15529300
2018-03-11,15676000
2018-03-16,15395900
2018-03-17,15943800
2018-03-22,16256000
2018-03-23,16753500
2018-03-23,16805400
2018-03-28,16256000
2018-03-29,16903100
2018-04-03,16104000
2018-04-04,16700600
2018-04-04,16805400
2018-04-09,15864300
2018-04-10,16399600
2018-04-15,16470900
2018-04-16,16903100
2018-04-16,16954500
2018-04-21,16328200
2018-04-22,16805400
2018-04-27,16399600
2018-04-28,16753500
2018-04-28,16903100
2018-05-03,16470900
2018-05-04,16903100
2018-05-09,16470900
2018-05-10,16753500
2018-05-10,16954500
2018-05-15,16535800
2018-05-16,16903100
2018-05-21,16399600
2018-05-22,16856500
2018-05-27,16399600
2018-05-28,16700600
2018-06-02,16182300
2018-06-03,16470900
2018-06-08,16104000
2018-06-09,16594400
2018-06-14,15864300
2018-06-15,16328200
2018-06-15,16399600
2018-06-20,15864300
2018-06-21,16104000
2018-06-26,15220400
2018-06-27,15864300
2018-06-27,15794700
2018-07-02,15007200
2018-07-03,15576300
2018-07-08,14390800
2018-07-09,15047000
2018-07-14,14303900
2018-07-15,15093300
2018-07-20,13997000
2018-07-21,15093300
2018-07-26,13820800
2018-07-26,13805600
2018-07-27,14534300
2018-08-01,13836700
2018-08-02,15136400
2018-08-02,14777700
2018-08-07,13372000
2018-08-08,13505900
2018-08-13,13112100
2018-08-14,13905500
2018-08-14,13889000
2018-08-19,13387200
2018-08-20,14327000
2018-08-25,12645100
2018-08-26,13692200
2018-08-26,13076600
2018-08-31,13059900
2018-09-01,13552400
2018-09-06,12389800
2018-09-07,12937700
2018-09-07,12867200
2018-09-12,12232800
2018-09-13,12645100
2018-09-18,12389800
2018-09-19,12616500
2018-09-19,13019400
2018-09-24,12584200
2018-09-24,12546900
2018-09-25,13003000
2018-09-30,12232800
2018-10-01,13033000
2018-10-01,12867200
2018-10-06,12389800
2018-10-07,12616500
2018-10-12,12232800
2018-10-13,13705300
2018-10-18,12546900
2018-10-19,12833900
2018-10-24,12699100
2018-10-25,13019400
2018-10-25,12867200
2018-10-30,13505900
2018-10-31,13536400
2018-11-05,13161600
2018-11-06,13432200
2018-11-06,13446800
2018-11-11,13046000
2018-11-12,13476100
2018-11-17,13161600
2018-11-18,14050100
2018-11-18,13355900
2018-11-23,13775300
2018-11-24,14509800
2018-11-29,13677600
2018-11-30,14691900
2018-12-05,13417700
2018-12-06,13612900
2018-12-11,13234000
2018-12-12,13789700
2018-12-17,13446800
2018-12-18,13922300
2018-12-23,13446800
2018-12-24,13870500
2018-12-24,14068700
2018-12-29,13505900
2018-12-30,14015700
2019-01-04,13446800
2019-01-05,14242800
2019-01-10,13219500
2019-01-11,14050100
2019-01-11,13922300
2019-01-16,13312200
2019-01-17,14068700
2019-01-22,13661300
2019-01-23,14122500
2019-01-28,13325000
2019-01-29,13836700
2019-01-29,13855300
2019-02-03,13612900
2019-02-04,14068700
2019-02-09,13278600
2019-02-10,14223400
2019-02-10,13789700
2019-02-15,13596900
2019-02-16,14068700
2019-02-21,13278600
2019-02-22,13978800
2019-02-22,13805600
2019-02-27,13177100
2019-02-28,13677600
2019-03-05,13094400
2019-03-06,13836700
2019-03-06,13387200
2019-03-11,13191800
2019-03-12,13417700
2019-03-12,13692200
2019-03-17,13003000
2019-03-18,13446800
2019-03-18,13387200
2019-03-23,12779300
2019-03-24,13758200
2019-03-24,13432200
2019-03-29,12883700
2019-03-30,13325000
2019-03-30,13461400
2019-04-04,12883700
2019-04-05,13505900
2019-04-10,12970300
2019-04-11,13596900
2019-04-16,12883700
2019-04-17,13003000
2019-04-17,13249300
2019-04-22,12833900
2019-04-23,13432200
2019-04-28,13046000
2019-04-29,13403100
2019-04-29,13505900
2019-05-04,12645100
2019-05-05,13312200
2019-05-10,12719700
2019-05-11,13033000
2019-05-16,12502000
2019-05-17,13076600
2019-05-17,13177100
2019-05-22,12316900
2019-05-23,12699100
2019-05-28,12232800
2019-05-29,12867200
2019-05-29,12816100
2019-06-03,12232800
2019-06-04,12719700
2019-06-04,12450600
2019-06-09,12010900
2019-06-10,12699100
2019-06-10,12584200
2019-06-15,12010900
2019-06-16,12010900
2019-06-16,12124300
2019-06-21,11487000
2019-06-22,12450600
2019-06-22,12010900
2019-06-27,11487000
2019-06-28,11882900
2019-07-03,11006400
2019-07-03,10949800
2019-07-04,12316900
2019-07-04,11647900
2019-07-09,10843700
2019-07-10,11882900
2019-07-15,10612100
2019-07-16,11344300
2019-07-21,10499900
2019-07-21,10466200
2019-07-22,11882900
2019-07-27,10269000
2019-07-27,10233600
2019-07-28,14182000
2019-08-02,9960600
2019-08-03,9960600
2019-08-08,9458000
2019-08-09,14303900
2019-08-09,13789700
2019-08-14,9249000
2019-08-15,9960600
2019-08-15,13144700
2019-08-20,8459400
2019-08-21,9320700
2019-08-26,8896100
2019-08-26,8218100
2019-08-27,9119500
2019-08-27,9148700
2019-09-01,8050100
2019-09-02,9881800
2019-09-07,9760100
2019-09-08,9960600
2019-09-08,10081300
2019-09-13,9339400
2019-09-14,9808000
2019-09-19,8029000
2019-09-19,7772300
2019-09-20,7957900
2019-09-20,8050100
2019-09-25,7844900
2019-09-26,7520000
2019-09-26,7692600
2019-10-01,7624300
2019-10-02,9931600
2019-10-02,8072300
2019-10-07,7277100
2019-10-08,8500400
2019-10-08,8459400
2019-10-13,7486200
2019-10-14,9907300
2019-10-14,8111900
2019-10-19,9433200
2019-10-20,9134500
2019-10-20,8132100
2019-10-25,8813900
2019-10-26,9080300
2019-10-26,7692600
2019-10-31,7569600
2019-11-01,15731100
2019-11-01,14810100
2019-11-01,8837700
2019-11-06,9433200
2019-11-07,9160900
2019-11-07,9218200
2019-11-12,9320700
