date,value
2018-01-02,43180756.801749796
2018-01-04,43180756.801749796
2018-01-07,43180756.801749796
2018-01-12,44603466.86156537
2018-01-17,46686736.06148371
2018-01-19,47413385.44766215
2018-01-22,46888722.00342789
2018-01-24,47780159.45723823
2018-01-27,47131788.99941313
2018-02-01,47362481.78322848
2018-02-06,47656296.461184025
2018-02-08,47562548.18481645
2018-02-11,47600769.41771194
2018-02-13,47600769.41771194
2018-02-16,47095488.08551015
2018-02-18,47183531.28305976
2018-02-21,46934043.70815451
2018-02-26,46656866.44019854
2018-03-28,163167868.6929235
2018-04-02,165913206.78778797
2018-04-04,165913206.78778797
2018-04-07,163414348.16591495
2018-04-14,152062759.43707144
2018-04-17,163167868.6929235
2018-04-19,163167868.6929235
2018-04-22,163167868.6929235
2018-04-24,163167868.6929235
2018-04-27,163414348.16591495
2018-04-29,157910326.42108244
2018-05-02,158764347.80976117
2018-05-04,158764347.80976117
2018-05-07,158383634.07284
2018-05-09,154577933.67972404
2018-05-12,154287231.44379243
2018-05-14,153134777.85465413
2018-05-19,153134777.85465413
2018-05-22,159272787.5482534
2018-05-29,158764347.80976117
2018-06-01,158764347.80976117
2018-06-06,94351512.12557854
2018-06-08,94351512.12557854
2018-06-11,94351512.12557854
2018-06-13,94351512.12557854
2018-06-16,155105378.5867539
2018-06-21,150114357.75614125
2018-06-23,150114357.75614125
2018-06-26,150736681.51900542
2018-06-28,150736681.51900542
2018-07-01,148868115.50986508
2018-07-03,146398051.83209574
2018-07-06,142908218.21331143
2018-07-08,140291563.11015758
2018-07-11,138280045.43943623
2018-07-13,138398938.61537284
2018-07-16,134286320.07778773
2018-07-18,134286320.07778773
2018-07-21,132361077.08739136
2018-07-23,134005604.19304998
2018-07-26,130536469.63526374
2018-07-28,130916515.97530977
2018-07-31,128573616.76924211
2018-08-02,129559421.59635209
2018-08-05,126299924.29554132
2018-08-07,127333541.8018497
2018-08-10,124097047.26605642
2018-08-12,124489624.30096978
2018-08-15,121341003.8841404
2018-08-17,121987859.91940118
2018-08-22,120131476.58171351
2018-08-25,120241079.51127264
2018-08-27,114954761.88069682
2018-08-30,115729536.31474744
2018-09-01,115729536.31474744
2018-09-04,112036631.37955578
2018-09-06,113130213.93768355
2018-09-09,113130213.93768355
2018-09-11,109331193.56076752
2018-09-24,105691434.86005113
2018-09-26,105691434.86005113
2018-09-29,106824449.60512407
2018-10-01,106824449.60512407
2018-10-06,104744354.55180885
2018-10-09,104951963.35802867
2018-10-16,103345154.23703872
2018-10-19,103964863.71419246
2018-10-24,106254674.09935103
2018-10-29,105472054.93589449
2018-11-03,107216948.40066925
2018-11-05,111496146.61160912
2018-11-10,111229637.88710704
2018-11-13,111229637.88710704
2018-11-28,123580088.41712838
2018-11-30,123580088.41712838
2018-12-03,123580088.41712838
2018-12-05,123580088.41712838
2018-12-08,123698876.22196129
2018-12-10,119017002.51421218
2018-12-13,119676863.78219993
2018-12-15,119676863.78219993
2018-12-18,119676863.78219993
2018-12-20,117088000.54487965
2018-12-28,117796428.28474729
2018-12-30,117796428.28474729
2019-01-02,118650461.7307267
2019-01-04,118650461.7307267
2019-01-07,120856787.30897863
2019-01-09,120856787.30897863
2019-01-12,118301836.37129761
2019-01-14,120241079.51127264
2019-01-17,120241079.51127264
2019-01-22,118028536.14371894
2019-01-24,117709713.63816026
2019-01-27,117709713.63816026
2019-01-29,117709713.63816026
2019-02-03,119676863.78219993
2019-02-06,119131023.36438815
2019-02-08,119131023.36438815
2019-02-11,119585057.4542506
2019-02-13,119585057.4542506
2019-02-16,119230963.58194365
2019-02-21,117569133.17538883
2019-02-26,116070196.40016587
2019-02-28,116139062.32201302
2019-03-03,116370254.96286547
2019-03-10,115558145.40154049
2019-03-13,117278748.82731473
2019-03-15,117027166.56347395
2019-03-18,117152353.77734275
2019-03-20,117152353.77734275
2019-03-23,115835670.9609006
2019-03-25,116478889.71193068
2019-03-28,114273233.58470309
2019-03-30,115986172.0743193
2019-04-02,115986172.0743193
2019-04-04,112832512.43873928
2019-04-12,111625427.00012697
2019-04-14,111625427.00012697
2019-04-19,111625427.00012697
2019-04-22,114466179.68905558
2019-04-27,115679394.22428995
2019-04-29,115679394.22428995
2019-05-02,115473059.2505887
2019-05-07,113895740.79816662
2019-05-09,112311772.8335305
2019-05-12,113015509.23374784
2019-05-14,113242632.8580225
2019-05-19,110438086.95783123
2019-05-22,110856133.4973016
2019-05-24,106423239.04692382
2019-05-27,107937952.6330455
2019-05-29,107937952.6330455
2019-06-01,104744354.55180885
2019-06-06,103323686.51107536
2019-06-08,105472054.93589449
2019-06-11,101252866.98443249
2019-06-16,101916326.7811339
2019-06-18,100062812.71509446
2019-06-21,90364633.54470363
2019-06-23,90364633.54470363
2019-06-26,92946642.87468925
2019-06-28,92946642.87468925
2019-07-01,86428398.13415112
2019-07-03,88254678.61177912
2019-07-06,88254678.61177912
2019-07-08,85026648.34732136
2019-07-11,85671495.25508423
2019-07-13,79299553.07031678
2019-07-16,80147699.60271542
2019-07-18,80147699.60271542
2019-07-21,76674642.04923715
2019-07-23,77560776.56283183
2019-07-26,77465883.95174101
2019-07-28,74195067.62542629
2019-07-31,74195067.62542629
2019-08-02,68531998.46499248
2019-08-05,69031243.06618741
2019-08-07,69187779.87863047
2019-08-10,66491223.312795766
2019-08-12,67491399.79643627
2019-08-15,64181698.03784175
2019-08-17,64508393.040818475
2019-08-20,61604466.68496352
2019-08-22,62623960.29747853
2019-08-25,59717208.42515056
2019-08-27,60448545.74682825
2019-08-30,56348901.02533009
2019-09-01,56956555.38707537
2019-09-04,56066714.44028721
2019-09-06,55419948.219006844
2019-09-09,58712190.89604607
2019-09-11,64027421.625101164
2019-09-14,62173435.19621168
2019-09-16,60931630.68732801
2019-09-19,61604466.68496352
2019-09-24,54357378.60149627
2019-09-26,54777174.24431831
2019-09-29,51621056.01722474
2019-10-01,51679715.565035775
2019-10-04,50851833.522685595
2019-10-06,51931324.003048815
2019-10-09,50292748.07335241
2019-10-16,48926460.67883685
2019-10-24,48859522.68260648
