date,value
2018-01-02,14753100
2018-01-07,15038200
2018-01-12,14957600
2018-01-17,15028000
2018-01-22,14949600
2018-01-27,14843700
2018-02-06,14884500
2018-02-11,14916300
2018-02-16,14785900
2018-02-21,14867200
2018-02-26,14563200
2018-03-28,21140600
2018-04-02,21294700
2018-04-17,21943400
2018-04-22,21910400
2018-04-27,21996400
2018-05-02,22073100
2018-05-12,20312900
2018-05-22,22059200
2018-06-01,21957400
2018-06-16,21755200
2018-06-21,21774000
2018-06-26,21765600
2018-07-01,21070600
2018-07-06,21666500
2018-07-11,21316200
2018-07-16,21426400
2018-07-21,21194200
2018-07-26,21255400
2018-07-31,20992000
2018-08-05,20794300
2018-08-10,20644600
2018-08-15,20647800
2018-08-25,20421700
2018-08-30,20345400
2018-09-04,19825100
2018-09-24,19593200
2018-09-29,19429500
2018-10-09,19192300
2018-10-19,19393900
2018-10-24,19156900
2018-10-29,19335400
2018-11-03,19227600
2018-11-13,19399300
2018-11-28,20318400
2018-12-03,20217500
2018-12-08,20334900
2018-12-13,7504700
2018-12-28,20082800
2019-01-02,20217500
2019-01-07,20357700
2019-01-12,20025500
2019-01-17,20146600
2019-01-22,20025500
2019-01-27,15679400
2019-02-06,20477700
2019-02-11,20388200
2019-02-16,18215100
2019-02-26,20456500
2019-03-03,20365100
2019-03-13,20481900
2019-03-18,20318400
2019-03-23,20700500
2019-03-28,20391100
2019-04-02,20382100
2019-04-12,20468200
2019-04-22,20452600
2019-04-27,20427100
2019-05-07,20304100
2019-05-12,20405500
2019-05-22,20145000
2019-05-27,20025100
2019-06-01,20082800
2019-06-06,19669000
2019-06-11,19393900
2019-06-16,18816000
2019-06-21,19220600
2019-06-26,18861800
2019-07-01,17750600
2019-07-06,18011400
2019-07-11,18431900
2019-07-16,18431900
2019-07-21,17967700
2019-07-31,17777500
2019-08-05,17581600
2019-08-10,17244800
2019-08-15,17110100
2019-08-20,16929300
2019-08-25,16498300
2019-08-30,16362900
2019-09-04,16028700
2019-09-09,15995300
2019-09-14,15814600
2019-09-19,15835300
2019-09-24,15585200
2019-09-29,15630600
2019-10-04,15533800
2019-10-09,15398100
2019-10-24,15134400
2019-10-29,15060700
2019-11-08,14859100
2019-11-18,14813600
2019-11-23,14569700
2019-11-28,15257500
2019-12-03,9069400
2019-12-08,15113600
2019-12-23,16055600
2019-12-28,15594300
2020-01-02,15465500
2020-01-07,15339800
2020-01-12,15307200
2020-01-27,16130700
2020-02-01,16027000
2020-02-06,15323800
2020-02-11,16075000
2020-02-16,15954100
2020-02-21,15942300
2020-02-26,11424200
2020-03-07,15862100
2020-03-12,15976900
2020-03-22,14253400
2020-04-01,12571600
2020-04-11,16149500
2020-05-01,16028700
2020-05-06,16040100
2020-05-11,14830600
2020-05-16,13722600
2020-05-21,16144200
2020-05-26,16149500
2020-06-10,15757900
2020-06-15,15683600
2020-06-20,15368200
2020-06-25,15298700
2020-06-30,14884500
2020-07-05,14570600
2020-07-10,14593700
2020-07-15,14177400
2020-07-20,13981500
2020-07-25,13867100
2020-07-30,13529400
2020-08-04,13118100
2020-08-09,13354000
2020-08-14,13144600
2020-08-19,12970700
2020-08-24,12745900
2020-08-29,12564800
2020-09-03,12306300
2020-09-08,13073500
2020-09-13,11498800
2020-09-18,11478900
2020-09-23,11734100
2020-09-28,11447200
2020-10-03,11400800
2020-10-08,11376300
2020-10-13,11202000
2020-10-18,11212900
2020-10-28,11043600
2020-11-02,11059900
2020-11-07,9617100
2020-11-17,11059900
2020-11-22,10955600
2020-12-02,11217900
2020-12-17,11409600
2020-12-22,11311600
2020-12-27,11340500
