date,value
2018-01-03,14885600
2018-01-04,15283000
2018-01-05,15283000
2018-01-09,14994900
2018-01-10,15457700
2018-01-11,15333200
2018-01-15,15830500
2018-01-16,15504400
2018-01-17,15504400
2018-01-21,15283000
2018-01-22,15472300
2018-01-23,15246200
2018-01-27,15538500
2018-01-28,15236200
2018-01-29,15236200
2018-02-02,15257600
2018-02-03,15612600
2018-02-04,15221900
2018-02-08,15296700
2018-02-09,15012800
2018-02-10,15012800
2018-02-14,14885600
2018-02-15,15065600
2018-02-16,14885600
2018-02-20,15049600
2018-02-21,14854400
2018-02-22,14854400
2018-02-26,14835900
2018-02-27,15049600
2018-02-28,14903900
2018-03-04,15597900
2018-03-05,15487000
2018-03-06,15487000
2018-03-10,17665300
2018-03-11,18094400
2018-03-12,18050900
2018-03-16,18636000
2018-03-17,18434000
2018-03-18,18434000
2018-03-22,19157800
2018-03-23,20134100
2018-03-24,19896800
2018-03-28,20623100
2018-03-29,20470500
2018-03-30,20470500
2018-04-03,20860800
2018-04-04,21094300
2018-04-05,20882700
2018-04-09,21233500
2018-04-10,21069600
2018-04-11,21069600
2018-04-15,21492800
2018-04-16,22084900
2018-04-17,21879300
2018-04-21,22461700
2018-04-22,22144400
2018-04-23,22144400
2018-04-27,22266100
2018-04-28,22526200
2018-04-29,22266100
2018-05-03,22674500
2018-05-04,22396500
2018-05-05,22396500
2018-05-09,22396500
2018-05-10,22526200
2018-05-11,22330000
2018-05-15,22599500
2018-05-16,22206700
2018-05-17,22206700
2018-05-21,21982700
2018-05-22,22266100
2018-05-23,22266100
2018-05-27,21927100
2018-05-28,22144400
2018-05-29,22144400
2018-06-02,21785900
2018-06-03,21927100
2018-06-04,21611900
2018-06-08,21832900
2018-06-09,21533400
2018-06-10,21533400
2018-06-14,21355600
2018-06-15,21654400
2018-06-16,21325400
2018-06-20,21454400
2018-06-21,21454400
2018-06-22,21454400
2018-06-26,21454400
2018-06-27,21233500
2018-06-28,21233500
2018-07-02,21177500
2018-07-03,20951000
2018-07-04,20951000
2018-07-08,20714600
2018-07-09,20951000
2018-07-10,20658600
2018-07-14,20773800
2018-07-15,20519600
2018-07-16,20519600
2018-07-20,20470500
2018-07-21,20677600
2018-07-22,20486500
2018-07-26,20677600
2018-07-27,20427300
2018-07-28,20427300
2018-08-01,20306900
2018-08-02,20439800
2018-08-03,20158500
2018-08-07,20350400
2018-08-08,19949300
2018-08-09,19949300
2018-08-13,19896800
2018-08-14,20038400
2018-08-15,19820900
2018-08-19,20122300
2018-08-20,19792700
2018-08-21,19792700
2018-08-25,19674600
2018-08-26,19937200
2018-08-27,19521800
2018-08-31,19776800
2018-09-01,19423300
2018-09-02,19423300
2018-09-06,19406700
2018-09-07,19569400
2018-09-08,19290300
2018-09-12,19438200
2018-09-13,19236800
2018-09-14,19236800
2018-09-18,19157800
2018-09-19,19220100
2018-09-20,19066800
2018-09-24,19360000
2018-09-25,19037600
2018-09-26,19037600
2018-09-30,19138400
2018-10-01,19438200
2018-10-02,19066800
2018-10-06,19290300
2018-10-07,19066800
2018-10-08,19066800
2018-10-12,18976100
2018-10-13,19202600
2018-10-14,18911200
2018-10-18,19181900
2018-10-19,18976100
2018-10-20,18976100
2018-10-24,19202600
2018-10-25,19324500
2018-10-26,19138400
2018-10-30,19390000
2018-10-31,19181900
2018-11-01,19181900
2018-11-05,19505800
2018-11-06,19619200
2018-11-07,19390000
2018-11-11,19438200
2018-11-12,19271300
2018-11-13,19271300
2018-11-17,19220100
2018-11-18,19454700
2018-11-19,19220100
2018-11-23,19569400
2018-11-24,19454700
2018-11-25,19454700
2018-11-29,19762100
2018-11-30,20012100
2018-12-01,19881400
2018-12-05,20074700
2018-12-06,19923600
2018-12-07,19923600
2018-12-11,19853100
2018-12-12,20012100
2018-12-13,19881400
2018-12-17,20099400
2018-12-18,19923600
2018-12-19,19923600
2018-12-23,19961100
2018-12-24,20062000
2018-12-25,19937200
2018-12-29,20109400
2018-12-30,19881400
2019-01-04,19923600
2019-01-05,20293700
2019-01-06,19896800
2019-01-10,19998900
2019-01-11,19961100
2019-01-12,19961100
2019-01-16,19973000
2019-01-17,19973000
2019-01-18,19973000
2019-01-22,20158500
2019-01-23,20087100
2019-01-24,20087100
2019-01-28,20218600
2019-01-29,20109400
2019-01-30,20109400
2019-02-03,20194000
2019-02-04,20306900
2019-02-05,20306900
2019-02-09,20455100
2019-02-10,20411900
2019-02-11,20411900
2019-02-15,20486500
2019-02-16,20350400
2019-02-17,20350400
2019-02-21,20486500
2019-02-22,20293700
2019-02-23,20293700
2019-02-27,20320700
2019-02-28,20293700
2019-03-01,20293700
2019-03-05,20320700
2019-03-06,20280000
2019-03-07,20280000
2019-03-11,20242400
2019-03-12,20147000
2019-03-13,20147000
2019-03-17,20147000
2019-03-18,20049000
2019-03-19,20049000
2019-03-23,19973000
2019-03-24,19896800
2019-03-25,19896800
2019-03-29,19881400
2019-03-30,19807400
2019-03-31,19807400
2019-04-04,19973000
2019-04-05,19986100
2019-04-06,19986100
2019-04-10,20134100
2019-04-11,19986100
2019-04-12,19986100
2019-04-16,19937200
2019-04-17,19867600
2019-04-22,19923600
2019-04-23,19896800
2019-04-24,19896800
2019-04-28,20012100
2019-04-29,19896800
2019-04-30,19896800
2019-05-04,19867600
2019-05-05,19807400
2019-05-06,19807400
2019-05-10,19807400
2019-05-11,19745400
2019-05-12,19745400
2019-05-16,19762100
2019-05-17,19692800
