date,value
2018-01-02,2391400
2018-01-04,2391400
2018-01-07,2391400
2018-01-12,2408700
2018-01-17,2429600
2018-01-19,2429600
2018-01-22,2410100
2018-01-24,2432800
2018-01-27,2400800
2018-02-01,2416100
2018-02-06,2439600
2018-02-08,2414100
2018-02-11,2483700
2018-02-13,2483700
2018-02-16,2466200
2018-02-18,2456100
2018-02-21,2424000
2018-02-26,2402200
2018-03-28,2406400
2018-04-02,2433600
2018-04-04,2433600
2018-04-07,2435200
2018-04-14,2208000
2018-04-17,2445500
2018-04-19,2445000
2018-04-22,2445000
2018-04-24,2445000
2018-04-27,2478000
2018-04-29,2477000
2018-05-02,2478500
2018-05-04,2478500
2018-05-07,2483000
2018-05-09,2467100
2018-05-12,2467100
2018-05-14,2464800
2018-05-22,2450000
2018-05-29,2450000
2018-06-01,2450000
2018-06-16,2501200
2018-06-21,2443700
2018-06-23,2443700
2018-06-26,2486000
2018-06-28,2486000
2018-07-01,2486000
2018-07-03,2480600
2018-07-06,2523200
2018-07-08,2515000
2018-07-11,2515000
2018-07-13,2515000
2018-07-16,2486800
2018-07-18,2497400
2018-07-21,2452700
2018-07-23,2495600
2018-07-26,2476400
2018-07-28,2491800
2018-07-31,2463000
2018-08-02,2521700
2018-08-05,2467300
2018-08-07,2510900
2018-08-10,2460000
2018-08-12,2477600
2018-08-15,2467300
2018-08-17,2516700
2018-08-22,2515300
2018-08-25,2518100
2018-08-27,2457000
2018-08-30,2497000
2018-09-01,2497000
2018-09-04,2465800
2018-09-06,2494400
2018-09-09,2494400
2018-09-11,2460000
2018-09-24,2439600
2018-09-26,2439600
2018-09-29,2479200
2018-10-01,2479200
2018-10-06,2452700
2018-10-09,2454700
2018-10-16,2365400
2018-10-19,2476900
2018-10-24,2480600
2018-10-29,2443700
2018-11-03,2412500
2018-11-05,2481100
2018-11-10,2406400
2018-11-13,2406400
2018-11-20,2309900
2018-11-23,2309900
2018-11-28,2463000
2018-11-30,2463000
2018-12-03,2463000
2018-12-05,2463000
2018-12-08,2466000
2018-12-10,2450500
2018-12-13,2464400
2018-12-15,2464400
2018-12-18,2464400
2018-12-20,2408800
2018-12-28,2404100
2018-12-30,2404100
2019-01-02,2405800
2019-01-04,2405800
2019-01-07,2460000
2019-01-09,2460000
2019-01-12,2388200
2019-01-14,2444300
2019-01-17,2444300
2019-01-22,2400400
2019-01-24,2382900
2019-01-27,2382900
2019-01-29,2382900
2019-02-03,2150200
2019-02-06,2414500
2019-02-08,2414500
2019-02-11,2430900
2019-02-13,2430900
2019-02-16,2423600
2019-02-21,2406100
2019-02-26,2431500
2019-02-28,2442900
2019-03-03,2448500
2019-03-10,2439600
2019-03-13,2458700
2019-03-15,2452000
2019-03-18,2458000
2019-03-20,2458000
2019-03-23,2445500
2019-03-25,2491800
2019-03-28,2438000
2019-03-30,2505400
2019-04-02,2505400
2019-04-04,2454700
2019-04-12,2388200
2019-04-14,2388200
2019-04-19,2388200
2019-04-22,2472700
2019-04-27,2501600
2019-04-29,2501600
2019-05-02,2486800
2019-05-07,2479800
2019-05-09,2488500
2019-05-12,2475300
2019-05-14,2474300
2019-05-19,2465300
2019-05-22,2506600
2019-05-24,2506600
2019-05-27,2537600
2019-05-29,2537600
2019-06-01,2492800
2019-06-06,2485300
2019-06-08,2535100
2019-06-11,2459600
2019-06-16,2489100
2019-06-18,2457000
2019-06-21,2504100
2019-06-23,2504100
2019-06-26,2505300
2019-06-28,2505300
2019-07-01,2461900
2019-07-03,2460000
2019-07-06,2460000
2019-07-08,2451800
2019-07-11,2457000
2019-07-13,2423800
2019-07-16,2470600
2019-07-18,2470600
2019-07-21,2449700
2019-07-23,2504500
2019-07-26,2504500
2019-07-28,2489900
2019-07-31,2496100
2019-08-02,2475700
2019-08-05,2523900
2019-08-07,2523900
2019-08-10,2478700
2019-08-12,2520800
2019-08-15,2482600
2019-08-17,2500800
2019-08-20,2476400
2019-08-22,2511300
2019-08-25,2448500
2019-08-27,2503300
2019-08-30,2444400
2019-09-01,2462100
2019-09-04,2448500
2019-09-06,2527700
2019-09-09,2432500
2019-09-11,2525000
2019-09-14,2525000
2019-09-16,2422100
2019-09-19,2463000
2019-09-24,2463000
2019-09-26,2463000
2019-09-29,2410400
2019-10-01,2422100
2019-10-04,2398900
2019-10-06,2459000
2019-10-09,2400800
2019-10-16,2405500
2019-10-24,2379600
2019-10-26,2379600
2019-10-29,2393300
2019-11-03,2393300
2019-11-05,2381700
2019-11-08,2401500
2019-11-15,2383400
2019-11-18,2385200
2019-11-23,2388900
2019-11-28,2397000
2019-11-30,2396200
2019-12-03,2394400
2019-12-05,2394400
2019-12-08,2371600
2019-12-10,2383200
2019-12-15,2355200
2019-12-18,2355200
2019-12-28,2349500
2019-12-30,2349500
2020-01-07,2333200
2020-01-09,2333200
2020-01-12,2377800
2020-01-14,2377800
2020-01-19,2372300
2020-01-27,2333800
2020-01-29,2333800
2020-02-01,2404200
2020-02-03,2404200
2020-02-06,2404200
2020-02-11,2396400
2020-02-16,2380600
2020-02-21,2403800
2020-02-23,2403800
2020-02-26,2398400
2020-02-28,2425000
2020-03-04,2394700
2020-03-07,2394700
2020-04-01,2393900
2020-04-03,2393900
2020-04-08,2393900
2020-04-11,2393900
2020-04-26,2172500
2020-05-01,2412300
2020-05-03,2412300
2020-05-06,2419300
2020-05-08,2419300
2020-05-11,2419300
2020-05-13,2351800
2020-05-16,2344300
2020-05-18,2113100
2020-05-21,2418700
2020-05-23,2418700
2020-05-26,2472700
2020-05-28,2472700
2020-06-05,2452400
2020-06-10,2376800
2020-06-12,2376800
2020-06-15,2492300
2020-06-17,2492300
2020-06-20,2497400
2020-06-25,2532100
2020-06-27,2532100
2020-06-30,2530800
2020-07-02,2530800
2020-07-05,2450200
2020-07-07,2462100
2020-07-10,2426500
2020-07-12,2506600
2020-07-15,2447100
2020-07-17,2497000
2020-07-20,2442300
2020-07-22,2467300
2020-07-25,2438500
2020-07-27,2548800
2020-07-30,2424000
2020-08-01,2546800
2020-08-04,2495100
2020-08-06,2486800
2020-08-09,2404200
2020-08-11,2486000
2020-08-14,2446800
2020-08-16,2466000
2020-08-19,2407500
2020-08-21,2477900
2020-08-24,2449700
2020-08-26,2516000
2020-08-29,2432700
2020-08-31,2512900
2020-09-03,2477000
2020-09-05,2496900
2020-09-08,2434500
2020-09-10,2521700
2020-09-13,2501600
2020-09-15,2476700
2020-09-18,2476700
2020-09-20,2390300
2020-09-23,2378800
2020-09-25,2309900
2020-09-28,2402300
2020-10-03,2452000
2020-10-08,2439600
2020-10-10,2428900
2020-10-13,2435200
2020-10-15,2404500
2020-10-18,2434200
2020-10-23,2444500
2020-10-25,2396700
2020-10-28,2396700
2020-10-30,2150200
2020-11-02,2404500
2020-11-07,2404500
2020-11-12,2404600
2020-11-17,2379400
2020-11-19,2379400
2020-11-22,2394400
2020-11-24,2405300
2020-12-02,2387200
2020-12-09,2371000
2020-12-17,2345700
2020-12-22,2379300
2020-12-24,2379300
2020-12-27,2352500
