date,value
2018-01-02,8321230.900107907
2018-01-12,8436309.68135591
2018-01-17,8505770.418147754
2018-01-22,8431689.995710105
2018-01-27,8368692.408076898
2018-02-06,8495718.027587553
2018-02-11,8620669.71138816
2018-02-16,8441701.056824919
2018-02-21,8554577.596135538
2018-02-26,8264014.253654145
2018-03-28,8436309.68135591
2018-04-02,9512557.0826957
2018-04-07,6983452.012409128
2018-04-17,8736409.339970442
2018-04-27,8989534.669483509
2018-05-02,7106306.849885823
2018-05-07,8892566.076158043
2018-05-22,8775700.646821084
2018-06-16,9183578.816216692
2018-06-21,8726209.330765374
2018-06-26,9018257.846254505
2018-07-01,5910331.308467359
2018-07-06,9295243.44004747
2018-07-11,8701912.423712825
2018-07-16,9119182.189187475
2018-07-21,8791444.065409737
2018-07-26,8989534.669483509
2018-07-31,9149739.80823715
2018-08-05,8892566.076158043
2018-08-10,8649525.797815025
2018-08-15,9297679.097969417
2018-08-25,8830869.87307418
2018-08-30,8973598.914778678
2018-09-04,8854571.49194525
2018-09-24,8694082.583528053
2018-09-29,8796957.893603025
2018-10-09,8123798.764741899
2018-10-19,8930649.298099859
2018-10-24,8610543.555692522
2018-10-29,9011870.604391092
2018-11-03,8436309.68135591
2018-11-13,7710980.631908649
2018-11-28,8878307.721666927
2018-12-08,8779635.060407247
2018-12-13,8454802.209139775
2018-12-28,8418608.371552194
2019-01-02,8431689.995710105
2019-01-07,8701912.423712825
2019-01-12,8289163.083976369
2019-01-22,8256401.61373841
2019-01-27,6588179.486021451
2019-02-06,8498810.381145854
2019-02-11,8444782.685236145
2019-02-16,7710980.631908649
2019-02-21,7591963.691784625
2019-02-26,8719935.628194874
2019-03-03,8694082.583528053
2019-03-13,8791444.065409737
2019-03-18,8585645.252090875
2019-03-23,9059034.47242929
2019-03-28,8812722.065993287
2019-04-12,8296792.160603699
2019-04-22,8950519.425815389
2019-04-27,8854571.49194525
2019-05-02,8691734.38016209
2019-05-07,9419905.384340174
2019-05-12,8896528.942203112
2019-05-22,9227186.120521707
2019-05-27,9167456.516177062
2019-06-01,9672775.635282367
2019-06-06,9063838.311294291
2019-06-11,8821398.914704958
2019-06-16,7940117.788746884
2019-06-21,9206983.564608904
2019-06-26,8675306.631088378
2019-07-01,8789869.031817555
2019-07-11,8570880.46580403
2019-07-16,8828501.61446437
2019-07-21,9092690.48073351
2019-07-31,8979174.676937414
2019-08-05,9244174.910421193
2019-08-10,8984752.325822458
2019-08-15,8828501.61446437
2019-08-20,9138475.25926802
2019-08-25,8668271.349501511
2019-08-30,8614437.463713756
2019-09-04,9376619.414059686
2019-09-09,8557681.601061063
2019-09-19,8844296.541477833
2019-09-24,8383266.503496562
2019-09-29,8378662.665195468
2019-10-04,8560786.21941573
2019-10-09,8429380.66978579
2019-10-24,8231307.014951876
2019-10-29,8247271.490397932
2019-11-08,8260207.455969556
2019-11-18,8302134.789102706
2019-11-28,8357962.439749714
2019-12-03,8189575.1369272955
2019-12-08,8047049.459504143
2019-12-28,8004332.9442785345
2020-01-07,7882861.821137616
2020-01-12,8175942.523981426
2020-01-27,7887315.216744617
2020-02-01,8359494.833247086
2020-02-16,8238907.044598902
2020-02-21,7995355.773504577
2020-02-26,8346474.366291148
2020-04-01,8340350.913186278
2020-04-26,6739194.765990919
2020-05-01,8481810.022537874
2020-05-06,8021554.5282805255
2020-05-16,6341063.717368426
2020-05-21,8531317.110237623
2020-05-26,8794594.593779223
2020-06-10,8210047.25660631
2020-06-15,9134454.037957717
2020-06-20,9161817.356736846
2020-06-25,9434630.987840742
2020-06-30,8327346.703512324
2020-07-05,9008677.9078806
2020-07-10,9067842.570112247
2020-07-15,8615995.295454113
2020-07-20,8598867.585541653
2020-07-25,9551239.131870119
2020-07-30,8468686.081328925
2020-08-04,9181965.89177225
2020-08-09,8254879.544364089
2020-08-14,8752114.337460635
2020-08-19,8535966.447479073
2020-08-24,9174709.641528614
2020-08-29,8656552.789089974
2020-09-03,8924295.93760568
2020-09-08,8950519.425815389
2020-09-13,8671397.757470513
2020-09-18,7710980.631908649
2020-09-23,7994607.92364222
2020-09-28,8378662.665195468
2020-10-03,8570880.46580403
2020-10-08,8979174.676937414
2020-10-13,8318938.104854633
2020-10-18,8361793.71043658
2020-10-23,6588179.486021451
2020-11-02,8421685.405346911
2020-11-12,6103603.5024806345
2020-11-17,8226748.831079226
2020-11-22,8150225.785219105
2020-12-02,8166104.441963407
2020-12-17,7975924.060877098
2020-12-22,8058311.234884798
2020-12-27,8118518.970782769
