date,value
2018-01-03,6867957.816370202
2018-01-04,7366246.35600087
2018-01-05,7366246.35600087
2018-01-09,7034964.697662588
2018-01-10,7458104.028097787
2018-01-11,7224666.931992055
2018-01-15,7615977.7390192915
2018-01-16,7398469.388909462
2018-01-17,7398469.388909462
2018-01-21,7159014.575127682
2018-01-22,7533195.223445587
2018-01-23,7246623.617872819
2018-01-27,7354807.739455511
2018-01-28,7165353.762073088
2018-01-29,7165353.762073088
2018-02-02,7025900.238381292
2018-02-03,7224666.931992055
2018-02-04,7092287.283948972
2018-02-08,7181567.793519376
2018-02-09,7045431.600515047
2018-02-10,7045431.600515047
2018-02-14,6939066.760291348
2018-02-15,7097192.416524337
2018-02-16,7023809.344159741
2018-02-20,7141421.757830666
2018-02-21,7034964.697662588
2018-02-22,7034964.697662588
2018-02-26,6943913.88912066
2018-02-27,7221836.454837166
2018-02-28,7086683.680163113
2018-03-04,7475396.396513583
2018-03-05,7288512.444692272
2018-03-06,7288512.444692272
2018-03-10,7371969.295718413
2018-03-11,7898454.700440565
2018-03-12,7630551.815262879
2018-03-16,8095912.459289328
2018-03-17,7905142.501640875
2018-03-18,7905142.501640875
2018-03-22,7987878.989636723
2018-03-23,8157784.950677557
2018-03-24,7749161.487459237
2018-03-28,7521616.056369714
2018-03-29,7265776.758945044
2018-03-30,7265776.758945044
2018-04-03,6939066.760291348
2018-04-04,7186506.461527158
2018-04-05,7008486.477886168
2018-04-09,7197095.549598377
2018-04-10,7072685.225677515
2018-04-11,7072685.225677515
2018-04-15,7149159.692413126
2018-04-16,7551307.098488883
2018-04-17,7206986.361666827
2018-04-21,7503543.03062452
2018-04-22,7314136.34975666
2018-04-23,7314136.34975666
2018-04-27,7343378.8056409005
2018-04-28,7597054.128501284
2018-04-29,7430050.451197582
2018-05-03,7648060.743496459
2018-05-04,7354807.739455511
2018-05-05,7354807.739455511
2018-05-09,7282824.895594635
2018-05-10,7602874.046449973
2018-05-11,7314136.34975666
2018-05-15,7564362.320366866
2018-05-16,7292779.693792687
2018-05-17,7292779.693792687
2018-05-21,7173105.808097015
2018-05-22,7463865.726974151
2018-05-23,7463865.726974151
2018-05-27,6927302.837333735
2018-05-28,7165353.762073088
2018-05-29,7165353.762073088
2018-06-02,7008486.477886168
