date,value
2018-01-02,18490100
2018-01-07,17120600
2018-01-12,17739900
2018-01-17,18358400
2018-01-22,18419900
2018-01-27,18333400
2018-02-01,18122400
2018-02-06,17707700
2018-02-11,18450500
2018-02-16,18253200
2018-02-21,18326600
2018-02-26,17985700
2018-03-28,23543600
2018-04-02,23892400
2018-04-07,24190000
2018-04-17,24931900
2018-04-22,25454000
2018-04-27,25251300
2018-05-02,25264500
2018-05-07,25631400
2018-05-12,25969500
2018-05-22,25846100
2018-06-01,26257100
2018-06-16,26139300
2018-06-21,26004400
2018-06-26,26004400
2018-07-01,25658100
2018-07-06,25949600
2018-07-11,25682700
2018-07-16,25772700
2018-07-21,25581700
2018-07-26,25642500
2018-07-31,25337500
2018-08-05,25068500
2018-08-10,25007200
2018-08-15,25023900
2018-08-25,24866000
2018-08-30,24757600
2018-09-04,24294400
2018-09-09,21628400
2018-09-24,23938500
2018-09-29,23599500
2018-10-09,23695100
2018-10-19,22370600
2018-10-24,23369400
2018-10-29,23757500
2018-11-03,23560500
2018-11-13,23932700
2018-11-28,24069200
2018-12-03,23212700
2018-12-08,24022100
2018-12-13,23938500
2018-12-28,23727800
2019-01-02,23719700
2019-01-07,24041400
2019-01-12,23494500
2019-01-17,24239100
2019-01-22,23792000
2019-01-27,19612100
2019-02-06,23973600
2019-02-11,23821200
2019-02-16,23185000
2019-02-21,22816700
2019-02-26,23873100
2019-03-03,23750800
2019-03-13,23885800
2019-03-18,23719700
2019-03-23,24077600
2019-03-28,23695100
2019-04-12,23725000
2019-04-22,23995600
2019-04-27,23690300
2019-05-07,23677900
2019-05-12,23576000
2019-05-22,23837900
2019-05-27,23452900
2019-06-01,23090400
2019-06-06,23160000
2019-06-11,22944000
2019-06-16,22582100
2019-06-21,22830000
2019-06-26,22582100
2019-07-01,22682000
2019-07-06,19318900
2019-07-11,22208000
2019-07-16,22389800
2019-07-21,22219400
2019-07-31,21589200
2019-08-05,21743200
2019-08-10,21632000
2019-08-15,21589200
2019-08-20,21520700
2019-08-25,21173100
2019-08-30,21176600
2019-09-04,20769800
2019-09-09,20829600
2019-09-14,19352000
2019-09-19,20904200
2019-09-24,20544300
2019-09-29,20674500
2019-10-04,20639500
2019-10-09,20505900
2019-10-24,20455900
2019-10-29,20052200
2019-11-08,19989800
2019-11-18,19082200
2019-11-23,18815300
2019-11-28,20344300
2019-12-03,20031500
2019-12-08,20099000
2019-12-18,19880900
2019-12-23,20747800
2019-12-28,20176300
2020-01-02,20455900
2020-01-07,20010300
2020-01-12,20052200
2020-01-27,20432400
2020-02-01,20468500
2020-02-06,20416600
2020-02-16,20259000
2020-02-21,19880900
2020-02-26,19880900
2020-03-07,20198500
2020-03-12,20575300
2020-03-22,19532500
2020-04-01,19628900
2020-04-11,20461000
2020-04-26,17320700
2020-05-01,20472200
2020-05-06,20591300
2020-05-11,14648200
2020-05-16,19906900
2020-05-21,20735300
2020-05-26,20593400
2020-06-05,16642400
2020-06-15,20843300
2020-06-20,20571000
2020-06-25,20597300
2020-06-30,20152300
2020-07-05,19675700
2020-07-10,19919700
2020-07-15,19319800
2020-07-20,19470200
2020-07-25,19831800
2020-07-30,19045400
2020-08-04,19071900
2020-08-09,18744200
2020-08-14,18723400
2020-08-19,18553700
2020-08-24,18429200
2020-08-29,18264800
2020-09-03,18026300
2020-09-08,17774000
2020-09-18,17449500
2020-09-23,17699100
2020-09-28,17494900
2020-10-03,17584900
2020-10-08,17539000
2020-10-13,17518300
2020-10-18,17341000
2020-10-23,15969400
2020-10-28,17558400
2020-11-02,17320700
2020-11-07,15902300
2020-11-17,17227600
2020-11-22,17143700
2020-12-02,17182700
2020-12-17,17042800
2020-12-22,17168900
2020-12-27,17083300
