date,value
2018-01-02,285162151.7407656
2018-01-04,285162151.7407656
2018-01-07,285327827.1542079
2018-01-12,284816296.3632581
2018-01-17,282161770.4481197
2018-01-19,282649693.16367257
2018-01-22,285084199.05856127
2018-01-24,285971372.1481816
2018-01-27,281518962.1306617
2018-02-01,283453861.6763274
2018-02-06,283679957.13539135
2018-02-08,271247639.1168919
2018-02-11,286354338.61456704
2018-02-13,285452106.8842929
2018-02-16,285084199.05856127
2018-02-18,286354338.61456704
2018-02-21,281518962.1306617
2018-02-26,281022064.45682037
2018-03-28,417682428.3762481
2018-04-02,429997268.9693238
2018-04-04,429997268.9693238
2018-04-07,429527185.4419125
2018-04-14,435940451.759271
2018-04-17,457247030.29552656
2018-04-19,457247030.29552656
2018-04-22,466484669.43278074
2018-04-24,466484669.43278074
2018-04-27,466919573.6766189
2018-04-29,474467803.27380955
2018-05-02,472044490.23487014
2018-05-04,472463696.6948118
2018-05-07,472985696.86936045
2018-05-09,478461780.87712836
2018-05-12,478296838.0024182
2018-05-14,478002349.0622423
2018-05-19,487666570.53691745
2018-05-22,484011246.06997365
2018-05-29,484011246.06997365
2018-06-01,485396356.2192798
2018-06-03,496224880.19250375
2018-06-06,496224880.19250375
2018-06-08,496224880.19250375
2018-06-11,496224880.19250375
2018-06-16,492712820.20087487
2018-06-21,488702199.4038765
2018-06-23,488702199.4038765
2018-06-26,496624964.062919
2018-06-28,496624964.062919
2018-07-01,493350153.9914977
2018-07-03,490448863.66788155
2018-07-06,490279444.100236
2018-07-08,488081912.2202639
2018-07-11,486024277.13458765
2018-07-13,488702199.4038765
2018-07-16,483848561.41817725
2018-07-18,486744382.9880681
2018-07-21,478276221.61039066
2018-07-23,484520134.8385801
2018-07-26,479186598.5077827
2018-07-28,484262707.2741422
2018-07-31,473666374.0751211
2018-08-02,482589174.6773968
2018-08-05,466111179.1779382
2018-08-07,472044490.23487014
2018-08-10,463689081.3741945
2018-08-12,466919573.6766189
2018-08-15,459096674.86083245
2018-08-17,465615307.1611879
2018-08-22,459915102.2348833
2018-08-25,461210586.0338117
2018-08-27,455339382.2587032
2018-08-30,460908380.5911892
2018-09-01,460908380.5911892
2018-09-04,446571522.1262726
2018-09-06,453659954.2623058
2018-09-09,453659954.2623058
