date,value
2018-01-03,3080800
2018-01-04,3180200
2018-01-05,3180200
2018-01-09,3109500
2018-01-10,3188700
2018-01-11,3163800
2018-01-15,3269200
2018-01-16,3208100
2018-01-17,3208100
2018-01-21,3184200
2018-01-22,3244500
2018-01-23,3208100
2018-01-27,3314400
2018-01-28,3213100
2018-01-29,3213100
2018-02-02,3235500
2018-02-03,3384700
2018-02-04,3244500
2018-02-08,3287600
2018-02-09,3205900
2018-02-10,3205900
2018-02-14,3180200
2018-02-15,3226600
2018-02-16,3199200
2018-02-20,3251300
2018-02-21,3201700
2018-02-22,3201700
2018-02-26,3169200
2018-02-27,3244500
2018-02-28,3203900
2018-03-04,3400800
2018-03-05,3370600
2018-03-06,3370600
2018-03-10,3793000
2018-03-11,3919500
2018-03-12,3888800
2018-03-16,4169700
2018-03-17,4078400
2018-03-18,4078400
2018-03-22,4322500
2018-03-23,4475300
2018-03-24,4390800
2018-03-28,4541700
2018-03-29,4500600
2018-03-30,4500600
2018-04-03,4500600
2018-04-04,4568800
2018-04-05,4514900
2018-04-09,4541700
2018-04-10,4487700
2018-04-11,4487700
2018-04-15,4514900
2018-04-16,4541700
2018-04-17,4514900
2018-04-21,4580700
2018-04-22,4514900
2018-04-23,4514900
2018-04-27,4514900
2018-04-28,4568800
2018-04-29,4514900
2018-05-03,4593700
2018-05-04,4514900
2018-05-05,4514900
2018-05-09,4529700
2018-05-10,4541700
2018-05-11,4514900
2018-05-15,4568800
2018-05-16,4461800
2018-05-17,4461800
2018-05-21,4433400
2018-05-22,4475300
2018-05-23,4475300
2018-05-27,4447800
2018-05-28,4461800
2018-05-29,4461800
2018-06-02,4405400
2018-06-03,4419100
2018-06-04,4362800
2018-06-08,4433400
2018-06-09,4348400
2018-06-10,4348400
2018-06-14,4310900
2018-06-15,4390800
2018-06-16,4310900
2018-06-20,4335300
2018-06-21,4061100
2018-06-22,4061100
2018-06-26,4216900
2018-06-27,4197700
2018-06-28,4197700
2018-07-02,4206500
2018-07-03,4139900
2018-07-04,4139900
2018-07-08,4024700
2018-07-09,4097000
2018-07-10,3985900
2018-07-14,3998200
2018-07-15,3879400
2018-07-16,3879400
2018-07-20,3850600
2018-07-21,3879400
2018-07-22,3843100
2018-07-26,3879400
2018-07-27,3804300
2018-07-28,3804300
2018-08-01,3756800
2018-08-02,3771000
2018-08-03,3699300
2018-08-07,3724800
2018-08-08,3632700
2018-08-09,3632700
2018-08-13,3621400
2018-08-14,3666200
2018-08-15,3615200
2018-08-19,3704300
2018-08-20,3597800
2018-08-21,3597800
2018-08-25,3544400
2018-08-26,3612200
2018-08-27,3512300
2018-08-31,3594300
2018-09-01,3504400
2018-09-02,3504400
2018-09-06,3515000
2018-09-07,3534800
2018-09-08,3473600
2018-09-12,3501400
2018-09-13,3451900
2018-09-14,3451900
2018-09-18,3445900
2018-09-19,3451900
2018-09-20,3413500
2018-09-24,3501400
2018-09-25,3397300
2018-09-26,3397300
2018-09-30,3417600
2018-10-01,3518400
2018-10-02,3426700
2018-10-06,3488100
2018-10-07,3426700
2018-10-08,3426700
2018-10-12,3394300
2018-10-13,3451900
2018-10-14,3368900
2018-10-18,3438300
2018-10-19,3394300
2018-10-20,3394300
2018-10-24,3465900
2018-10-25,3510200
2018-10-26,3451900
2018-10-30,3534800
2018-10-31,3465900
2018-11-01,3465900
2018-11-05,3580300
2018-11-06,3621400
2018-11-07,3561500
2018-11-11,3601800
2018-11-12,3558800
2018-11-13,3558800
2018-11-17,3556000
2018-11-18,3608200
2018-11-19,3548000
2018-11-23,3677000
2018-11-24,3632700
2018-11-25,3632700
2018-11-29,3771000
2018-11-30,3850600
2018-12-01,3800700
2018-12-05,3879400
2018-12-06,3820300
2018-12-07,3820300
2018-12-11,3797100
2018-12-12,3861500
2018-12-13,3809000
2018-12-17,3888800
2018-12-18,3804300
2018-12-19,3804300
2018-12-23,3820300
2018-12-24,3837200
2018-12-25,3812200
2018-12-29,3934000
2018-12-30,3837200
2019-01-04,3923900
2019-01-05,4038600
2019-01-06,3847400
2019-01-10,3874400
2019-01-11,3854200
2019-01-12,3854200
2019-01-16,3854200
2019-01-17,3865700
2019-01-18,3865700
2019-01-22,3971300
2019-01-23,3943300
2019-01-24,3943300
2019-01-28,4004400
2019-01-29,3948800
2019-01-30,3948800
2019-02-03,3958500
2019-02-04,3923900
2019-02-05,3923900
2019-02-09,3938500
2019-02-10,3928000
2019-02-11,3928000
2019-02-15,3998200
2019-02-16,3954000
2019-02-17,3954000
2019-02-21,4031600
2019-02-22,3954000
2019-02-23,3954000
2019-02-27,3958500
2019-02-28,3938500
2019-03-01,3938500
2019-03-05,3934000
2019-03-06,3923900
2019-03-07,3923900
2019-03-11,3911000
2019-03-12,3879400
2019-03-13,3879400
2019-03-17,3884800
2019-03-18,3850600
2019-03-19,3850600
2019-03-23,3847400
2019-03-24,3820300
2019-03-25,3820300
2019-03-29,3858400
2019-03-30,3820300
2019-03-31,3820300
2019-04-04,3888800
2019-04-05,3874400
2019-04-06,3874400
2019-04-10,3928000
2019-04-11,3906400
2019-04-12,3906400
2019-04-16,3906400
2019-04-17,3854200
2019-04-22,3843100
2019-04-23,3837200
2019-04-24,3837200
2019-04-28,3884800
2019-04-29,3829200
2019-04-30,3829200
2019-05-04,3824600
2019-05-05,3804300
2019-05-06,3804300
2019-05-10,3820300
2019-05-11,3782500
2019-05-12,3782500
2019-05-16,3793000
2019-05-17,3779100
2019-05-18,3779100
2019-05-22,3800700
2019-05-23,3756800
2019-05-24,3756800
2019-05-28,3738300
2019-05-29,3704300
2019-05-30,3704300
2019-06-03,3704300
2019-06-04,3695400
2019-06-05,3695400
2019-06-09,3743700
2019-06-10,3704300
2019-06-11,3704300
2019-06-15,3752800
2019-06-16,3686600
2019-06-17,3686600
2019-06-21,3625700
2019-06-22,3971300
2019-06-23,3583400
2019-06-27,3645300
2019-06-28,3608200
2019-07-03,3621400
2019-07-04,3597800
2019-07-05,3597800
2019-07-09,3597800
2019-07-10,3565700
2019-07-11,3565700
2019-07-15,3544400
2019-07-16,3515000
2019-07-17,3515000
2019-07-21,3515000
2019-07-22,3479900
2019-07-23,3479900
2019-07-27,3531900
2019-07-28,3504400
2019-07-29,3504400
2019-08-02,3548000
2019-08-03,3462600
2019-08-04,3462600
2019-08-08,3445900
2019-08-09,3445900
2019-08-10,3445900
2019-08-14,3537600
2019-08-15,3438300
2019-08-16,3438300
2019-08-20,3413500
2019-08-21,3387600
2019-08-22,3387600
2019-08-26,3448800
2019-08-27,3417600
2019-08-28,3417600
2019-09-01,3426700
2019-09-02,3375700
2019-09-03,3375700
2019-09-07,4053900
2019-09-08,3479900
2019-09-09,3479900
2019-09-13,4139900
2019-09-14,4018100
2019-09-15,4018100
2019-09-19,3954000
2019-09-20,3348600
2019-09-21,3348600
2019-09-25,3322500
2019-09-26,3269200
2019-09-27,3269200
2019-10-01,3847400
2019-10-02,3879400
2019-10-03,3879400
2019-10-07,4216900
2019-10-08,4004400
2019-10-09,4004400
2019-10-13,3854200
2019-10-14,3331900
2019-10-15,3331900
2019-10-19,4310900
2019-10-20,4078400
2019-10-21,4078400
2019-10-25,4348400
2019-10-26,4097000
2019-10-27,4097000
2019-10-31,4132000
