date,value
2018-01-02,15788816.118385954
2018-01-04,15788816.118385954
2018-01-07,15908245.517669402
2018-01-12,16279836.704289865
2018-01-17,16875942.000676412
2018-01-19,17207954.60974026
2018-01-22,16932001.352267433
2018-01-24,17316664.772862837
2018-01-27,16715348.121487603
2018-02-01,16936677.640974388
2018-02-06,16924988.268223748
2018-02-08,16766459.066465208
2018-02-11,17380650.612126816
2018-02-13,17380650.612126816
2018-02-16,16695623.993911177
2018-02-18,17316664.772862837
2018-02-21,16758321.963800807
2018-02-26,16768784.357188143
2018-03-28,37100356.51017305
2018-04-02,37100356.51017305
2018-04-04,37100356.51017305
2018-04-07,37100356.51017305
2018-04-17,38171167.3023266
2018-04-19,38171167.3023266
2018-04-22,39156333.592450574
2018-04-24,39156333.592450574
2018-04-27,38940330.17137234
2018-04-29,38769490.37039095
2018-05-02,38769490.37039095
2018-05-04,37100356.51017305
2018-05-07,37100356.51017305
2018-05-09,38853001.02545568
2018-05-12,35262348.0625067
2018-05-14,33901552.271656156
2018-05-19,33901552.271656156
2018-05-22,36130252.03587827
2018-05-29,36130252.03587827
2018-06-01,37006315.64183233
2018-06-03,36635075.474947385
2018-06-06,36840261.3420861
2018-06-08,36840261.3420861
2018-06-11,36840261.3420861
2018-06-13,31134384.415133372
2018-06-16,36326704.73400378
2018-06-21,35634636.80933709
2018-06-23,35634636.80933709
2018-06-26,34314282.48689162
2018-06-28,34314282.48689162
2018-07-01,33901552.271656156
2018-07-03,33488184.048265412
2018-07-06,32483071.28518076
2018-07-08,32384001.276168827
2018-07-11,32219816.844032567
2018-07-13,32066107.544416
2018-07-16,31305344.439552236
2018-07-18,30738591.4346823
2018-07-21,29499579.31609541
2018-07-23,30217942.66909975
2018-07-26,29011284.528105766
2018-07-28,29213660.81043017
2018-07-31,27802670.82817071
2018-08-02,28657443.769971676
2018-08-05,26166050.09078934
2018-08-07,26841253.867048703
2018-08-10,25712379.94200906
2018-08-12,25995034.55777372
2018-08-15,24909506.561360102
2018-08-17,25643090.080514085
2018-08-22,24926904.09422111
2018-08-25,24926904.09422111
2018-08-27,23851128.784812465
2018-08-30,24442329.538595963
2018-09-01,24442329.538595963
2018-09-04,24442329.538595963
2018-09-06,23386766.925949164
2018-09-09,23386766.925949164
2018-09-24,20860211.06913567
2018-09-26,20860211.06913567
2018-09-29,21494469.291359503
2018-10-01,21494469.291359503
2018-10-06,20542489.704188194
2018-10-09,20641567.383756924
2018-10-16,20190070.654161427
2018-10-19,20190070.654161427
2018-10-24,19537162.813187312
2018-10-29,20776267.770107955
2018-11-03,20840519.937096626
2018-11-05,22284832.978800245
2018-11-10,22156979.787141744
2018-11-13,22156979.787141744
2018-11-28,27010795.274568677
2018-11-30,27010795.274568677
2018-12-03,27244886.344084397
2018-12-05,27244886.344084397
2018-12-08,27079082.127320148
2018-12-10,27435723.22795406
2018-12-13,27435723.22795406
2018-12-15,27279944.617923282
2018-12-18,27279944.617923282
2018-12-28,26421498.59469461
2018-12-30,26421498.59469461
2019-01-02,26735592.452836085
2019-01-04,26735592.452836085
2019-01-07,27793425.50553026
2019-01-09,27793425.50553026
2019-01-12,26702432.531961318
2019-01-14,27079082.127320148
2019-01-17,27244886.344084397
2019-01-22,27185497.108425856
2019-01-24,27853550.72936185
2019-01-27,27853550.72936185
2019-01-29,27547515.349441845
2019-02-06,27057827.033794
2019-02-08,27057827.033794
2019-02-11,27279944.617923282
2019-02-13,27279944.617923282
2019-02-16,27279944.617923282
2019-02-21,27079082.127320148
2019-02-26,27174845.145083662
2019-02-28,27174845.145083662
2019-03-03,28113379.607169837
2019-03-10,27215944.106434844
2019-03-13,27793425.50553026
2019-03-15,27579721.644674312
2019-03-18,27679540.70390988
2019-03-20,27679540.70390988
2019-03-23,27435723.22795406
2019-03-25,28382347.059876665
2019-03-28,26907788.485807803
2019-03-30,28382347.059876665
2019-04-02,28382347.059876665
2019-04-04,26789903.60636398
2019-04-12,27215944.106434844
2019-04-14,27215944.106434844
2019-04-19,27215944.106434844
2019-04-22,28113379.607169837
2019-04-27,28554109.23602236
2019-04-29,28554109.23602236
2019-05-02,28554109.23602236
2019-05-07,27599669.382849425
2019-05-09,27539850.27418209
2019-05-12,28374553.4060334
2019-05-14,28374553.4060334
2019-05-19,27435723.22795406
2019-05-22,27858178.745222755
2019-05-24,29622362.89021444
2019-05-27,27579721.644674312
2019-05-29,27579721.644674312
2019-06-01,26574530.05059831
2019-06-06,25968323.451457955
2019-06-08,28035909.07599181
2019-06-11,25866072.59588454
2019-06-16,25995034.55777372
2019-06-18,25866072.59588454
2019-06-21,28685662.01570613
2019-06-23,28685662.01570613
2019-06-26,26568519.53934857
2019-06-28,26568519.53934857
2019-07-01,26568519.53934857
2019-07-03,24620543.599645
2019-07-06,24620543.599645
2019-07-11,22945483.121155012
2019-07-13,22945483.121155012
2019-07-16,23625348.35406852
2019-07-18,23625348.35406852
2019-07-21,22640605.728371613
2019-07-23,23413364.947678994
2019-07-26,23208019.113541253
2019-07-28,22439071.5597961
2019-07-31,22263041.785754453
2019-08-02,20874657.818170477
2019-08-05,21325273.36790318
2019-08-07,21358520.76478465
2019-08-10,20641567.383756924
2019-08-12,21224378.45815955
2019-08-15,20731749.587233204
2019-08-17,20961455.358171377
2019-08-20,20389184.716891363
2019-08-22,20874657.818170477
2019-08-25,19788729.760308348
2019-08-27,20524267.519644238
2019-08-30,19537162.813187312
2019-09-01,19774706.762053255
2019-09-04,18779577.981572535
2019-09-06,19432241.173118595
2019-09-09,18465259.157743316
2019-09-11,18579550.666400068
2019-09-14,17950369.347692475
2019-09-16,18547558.62877435
2019-09-19,18208626.020062298
2019-09-24,17416255.125748165
2019-09-26,18204974.327034287
2019-09-29,17619976.421354424
2019-10-01,17671412.354242884
2019-10-04,17126672.23632871
2019-10-06,17968489.173895545
2019-10-09,16932001.352267433
2019-10-16,16818821.570297107
2019-10-24,16279836.704289865
2019-10-26,16279836.704289865
2019-10-29,16293564.055104023
2019-11-03,16293564.055104023
2019-11-05,15350396.684191665
2019-11-08,15748369.233741425
2019-11-15,15611728.955089524
2019-11-18,16348537.933750927
2019-11-23,16332493.228151582
2019-11-28,16875942.000676412
