date,value
2018-01-03,34662734.85851212
2018-01-03,38034388.21747898
2018-01-04,32739583.38968629
2018-01-09,40171497.17892166
2018-01-10,34996869.62461184
2018-01-15,39724462.86388954
2018-01-15,42331877.93658491
2018-01-16,37925374.35300566
2018-01-21,40346128.32496597
2018-01-21,43213923.44759899
2018-01-22,38785891.14672946
2018-01-27,42513277.412037976
2018-01-27,45746650.17490167
2018-01-28,39739053.68637268
2018-02-02,48907400.379743904
2018-02-03,40311915.14982825
2018-02-08,44147258.956637055
2018-02-08,47126534.28280069
2018-02-09,41357246.31513966
2018-02-14,45419680.814905286
2018-02-14,45489589.73997581
2018-02-15,42979123.38311373
2018-02-20,47003102.62996878
2018-02-21,43270188.13387727
2018-02-26,45401891.47775641
2018-02-26,49707751.64727906
2018-02-27,44623966.947688155
2018-03-04,52736584.25851851
2018-03-05,49702515.25323992
2018-03-10,54492137.903558984
2018-03-11,51997430.161354564
2018-03-16,54155132.58703854
2018-03-16,54560971.612981826
2018-03-17,53059957.61993493
2018-03-22,55860635.99188399
2018-03-23,50115437.67392975
2018-03-28,53456373.91915948
2018-04-03,51019899.843216784
2018-04-03,53169678.19134992
2018-04-04,49285499.135131046
2018-04-09,53042569.76015125
2018-04-09,54118777.28014092
2018-04-10,49181100.14295273
2018-04-15,52408534.720376365
2018-04-15,54927215.32282792
2018-04-16,48512080.83293677
2018-04-21,52460497.53783753
2018-04-22,46489954.695309594
2018-04-27,50349269.284907974
2018-04-27,53540871.81742803
2018-04-28,49627916.40767019
2018-05-03,50930137.508677945
2018-05-03,54051473.90069168
2018-05-04,49409567.71686194
2018-05-09,50212604.97319312
2018-05-09,52838069.305033915
2018-05-10,48775943.31913749
2018-05-15,50237563.345786214
2018-05-15,53567705.74906077
2018-05-16,47596804.96196213
2018-05-21,51482735.502192385
2018-05-22,48145021.69171683
2018-05-27,52551139.97965132
2018-05-28,50823282.77373591
2018-06-02,52118388.86049593
2018-06-03,49469679.982029974
2018-06-08,52808685.43843659
2018-06-09,47968953.11108476
2018-06-14,53055944.8701074
2018-06-15,49049400.721211724
2018-06-20,51607274.5505931
2018-06-21,45456537.46571448
2018-06-26,50579509.55848541
2018-06-27,46947850.16056517
2018-07-02,49156316.11208042
2018-07-02,50903746.743277416
2018-07-03,47053233.864244275
2018-07-08,48992063.142743185
2018-07-09,45474333.85974293
2018-07-14,49006395.46394965
2018-07-14,49779770.509306
2018-07-15,44888267.49207619
2018-07-20,48366703.69957748
2018-07-21,44605017.81198381
2018-07-26,47551643.79564497
2018-07-27,44631547.34506218
2018-08-01,43896972.883029476
2018-08-01,47815067.69975858
2018-08-02,43586969.71333581
2018-08-07,44529247.8150877
2018-08-07,49181100.14295273
2018-08-08,44248008.636545286
2018-08-13,45049122.38609455
2018-08-14,43591984.233973034
2018-08-19,43682278.126836546
2018-08-19,45963358.011306055
2018-08-20,42200337.3110561
2018-08-25,44307234.38031472
2018-08-25,46019502.093695655
2018-08-26,42828225.35089844
2018-08-31,44756685.183226675
2018-09-01,40119034.584516145
2018-09-06,43713644.580573246
2018-09-06,45911062.28083266
2018-09-07,41203330.194137976
2018-09-12,43001585.97449819
2018-09-13,38386089.0207025
2018-09-18,42854401.71254255
2018-09-18,43146437.69899349
2018-09-19,39374813.74961422
2018-09-24,39583509.38090155
2018-09-24,41791689.49429
2018-09-25,37812875.02121388
2018-09-30,40743945.018421
2018-10-01,36421880.83516929
2018-10-06,37009467.40234006
2018-10-06,40518561.4776337
2018-10-07,34900129.695857175
2018-10-12,35826827.14912923
2018-10-13,33844146.322038665
2018-10-18,38641226.7367937
2018-10-19,34377176.20282159
2018-10-24,38888469.57056669
2018-10-25,33386174.723375652
2018-10-30,40729233.52834097
2018-10-31,36316775.49570504
2018-11-05,41899296.6052147
2018-11-06,32906267.405067377
2018-11-11,38217907.68302059
2018-11-12,35295803.78347789
2018-11-17,41203330.194137976
2018-11-18,39602941.41628703
2018-11-23,48665401.590846606
2018-11-23,48926933.65433067
2018-11-24,45291394.98230667
2018-11-29,50715184.25427009
2018-11-30,47576158.10321778
2018-12-05,47565835.781687394
2018-12-05,48791555.871406175
2018-12-11,48133363.522911444
2018-12-12,44115790.21625671
2018-12-17,47835748.68615365
2018-12-18,45085879.63329669
2018-12-23,44377835.32169384
2018-12-23,47569706.56570556
2018-12-24,42338086.016536705
2018-12-29,46048859.13044581
2018-12-29,47433001.886306465
2018-12-30,44655554.737726584
2019-01-04,43355256.11636932
2019-01-05,41436124.58955371
2019-01-10,44659345.76782739
2019-01-10,44198883.70682508
2019-01-11,41071728.41184302
2019-01-16,44108238.81969758
2019-01-16,40799128.70708404
2019-01-17,39517949.48520819
2019-01-22,44195105.611486934
2019-01-23,40197126.66146918
2019-01-28,43635869.4030466
2019-01-28,43501751.97427142
2019-01-28,40080007.32921221
2019-01-29,37772210.921989776
2019-02-03,41780562.93321251
2019-02-04,38964555.913317986
2019-02-04,38958515.52319398
2019-02-09,41492848.95455703
2019-02-10,37443840.975242145
2019-02-15,43322723.617558554
2019-02-15,38476286.286861576
2019-02-16,37901429.09607414
2019-02-21,44904724.23520039
2019-02-21,42396456.639619745
2019-02-22,39006847.28979013
2019-02-27,44408104.21349713
