date,value
2018-01-24,12562600
2018-01-26,12562600
2018-01-29,12562600
2018-01-31,12562600
2018-02-08,9331700
2018-02-10,9331700
2018-02-13,12209800
2018-02-15,12209800
2018-02-20,11972100
2018-03-10,12014500
2018-03-12,12014500
2018-03-17,12014500
2018-03-20,12014500
2018-04-09,13815000
2018-04-11,13815000
2018-04-14,14223000
2018-04-16,14223000
2018-04-19,13238700
2018-04-21,13238700
2018-04-24,13409800
2018-04-26,13397900
2018-04-29,13397900
2018-05-01,13290800
2018-05-04,13762600
2018-05-06,13754300
2018-05-09,13762600
2018-05-11,13762600
2018-05-14,13978400
2018-05-16,13972000
2018-05-19,13978400
2018-05-21,13978400
2018-05-24,14043000
2018-05-31,13926600
2018-06-08,13633300
2018-06-10,13633300
2018-06-13,13711700
2018-06-15,13711700
2018-06-18,14069100
2018-06-20,14060300
2018-06-23,14159400
2018-06-25,14159400
2018-06-28,14172300
2018-06-30,14172300
2018-07-03,13875500
2018-07-05,13906100
2018-07-08,13754300
2018-07-10,13835300
2018-07-13,13711700
2018-07-15,13824100
2018-07-18,13557900
2018-07-20,13779300
2018-07-23,13509800
2018-07-25,13569000
2018-07-28,13272300
2018-07-30,13409800
2018-08-02,13189700
2018-08-04,13202300
2018-08-07,13202300
2018-08-09,13134800
2018-08-12,13155900
2018-08-14,12825600
2018-08-17,12831800
2018-08-19,12831800
2018-08-22,12604600
2018-08-24,12653200
2018-08-27,12427300
2018-08-29,12631700
2018-09-01,12531600
2018-09-03,12481500
2018-09-06,12261600
2018-09-08,12281100
2018-09-11,12260000
2018-09-13,11915000
2018-09-16,11994900
2018-09-18,11960800
2018-09-21,12103800
2018-09-23,12124400
2018-09-26,12119900
2018-09-28,11928000
2018-10-01,11948000
2018-10-03,11657900
2018-10-06,11846500
2018-10-08,11848900
2018-10-13,11657900
2018-10-16,11696700
2018-10-23,11555400
2018-10-26,11555400
2018-11-30,8084500
2018-12-02,8084500
2018-12-05,11915000
2018-12-07,11915000
2018-12-10,11915000
2018-12-12,11915000
2018-12-15,11923400
2018-12-17,11762800
2018-12-20,11880500
2018-12-22,11880500
2018-12-25,11880500
2018-12-27,11866100
2018-12-30,11957300
2019-01-04,12202600
2019-01-06,12202600
2019-01-09,12338100
2019-01-11,12338100
2019-01-14,12085200
2019-01-16,12322800
2019-01-19,12132500
2019-01-21,12164000
2019-01-26,11599500
2019-01-29,11599500
2019-02-03,12236000
2019-02-05,12236000
2019-02-08,12541700
2019-02-10,12541700
2019-02-13,12314200
2019-02-15,12604300
2019-02-18,12604300
2019-02-23,12415700
2019-02-25,12236000
2019-02-28,12396900
2019-03-02,12396900
2019-03-07,12343900
2019-03-10,12373700
2019-03-12,12297400
2019-03-15,12411600
