date,value
2018-01-24,308455380.91598016
2018-02-08,175036379.40706548
2018-02-13,281413745.72896165
2018-03-10,283316117.9737837
2018-04-09,369695312.8172751
2018-04-14,391251835.047197
2018-04-19,340674775.1728177
2018-04-24,343422161.175018
2018-05-04,366605903.8951271
2018-05-09,270531846.3623774
2018-05-14,377743166.17444664
2018-05-19,317487364.2332655
2018-05-24,375407487.66622216
2018-06-08,360484218.9335902
2018-06-13,351607696.4307626
2018-06-18,381409679.5407789
2018-06-23,387457101.7912506
2018-06-28,370159531.6434086
2018-07-03,368895058.72126657
2018-07-08,359119880.2775662
2018-07-13,366367205.0149761
2018-07-18,352026104.43198866
2018-07-23,348715223.3630837
2018-07-28,333738047.403195
2018-08-02,335781250.95520306
2018-08-07,234482559.05553347
2018-08-12,320878272.19117135
2018-08-17,302275795.4208718
2018-08-22,309541863.1092743
2018-08-27,299242889.29774714
2018-09-01,295417191.4030886
2018-09-06,278330929.5140971
2018-09-11,284305597.9257289
2018-09-16,280505096.7272287
2018-09-21,279329958.55741566
2018-09-26,208814644.78336182
2018-10-01,267506437.5605466
2018-10-06,267506437.5605466
2018-10-16,263042034.52586958
2018-11-30,133164224.17709804
2018-12-05,278861451.87659854
2018-12-15,272112330.01580894
2018-12-20,276684473.83060694
2018-12-30,272641601.0359228
2019-01-04,291829065.1059797
2019-01-09,279874788.13007826
2019-01-14,288642509.85950434
2019-01-19,264958439.916922
2019-02-03,293353185.76740015
2019-02-08,303398311.5603769
2019-02-13,296936391.4759557
2019-02-23,293353185.76740015
2019-02-28,298302692.8351389
2019-03-10,296164854.28465647
2019-03-15,298187569.4034963
2019-03-20,288461182.2612132
2019-03-25,297202977.03076035
2019-03-30,296867465.44063675
2019-04-04,283891615.9475273
2019-04-14,303700150.714248
2019-04-24,125143107.36073878
2019-05-04,329254214.62781376
2019-05-14,323606195.130507
2019-05-19,308076476.40105355
2019-05-29,318142332.7384372
2019-06-03,298970825.20328224
2019-06-08,294249336.5620287
2019-06-13,290381463.0758641
2019-06-18,284855016.1850071
2019-06-23,272376904.4273752
2019-06-28,263306721.5117184
2019-07-03,259030928.20553482
2019-07-08,245122285.8819689
2019-07-13,235452878.55551776
2019-07-18,232486267.8850411
2019-07-23,184341219.22561017
2019-07-28,213814609.21328723
2019-08-02,204782765.05668768
2019-08-07,187992606.5835957
2019-08-12,224200136.73612925
2019-08-17,182251259.2497655
2019-08-22,172123974.7980107
2019-08-27,149188681.98417783
2019-09-01,160168436.9455118
2019-09-06,154403156.42563292
2019-09-16,148738411.2648231
2019-09-26,155161780.0291414
2019-10-01,144274560.2632797
2019-10-06,143340133.538142
2019-10-11,139544624.76752904
2019-10-16,140750697.60943
2019-10-21,136200221.48170748
2019-10-26,138282759.482651
2019-11-10,115879681.07746032
2019-11-20,271698075.8022199
2019-11-30,190608277.22940022
2019-12-10,227504726.0943882
2019-12-15,243447001.25908235
2019-12-25,234918144.937949
2019-12-30,241710498.55204466
2020-01-04,250613134.00367913
2020-01-09,254480860.82858792
2020-01-14,248033419.2694903
2020-02-03,255853416.39559633
2020-02-18,259672978.56481814
2020-02-23,258338018.26595476
2020-02-28,261677222.0380373
2020-03-14,260885880.69583982
2020-03-29,266326984.4648342
2020-04-03,267506437.5605466
2020-04-08,268675221.1972131
2020-04-13,211911992.2255979
2020-04-18,274515606.11646026
2020-05-03,306339165.1865652
2020-05-08,299242889.29774714
2020-05-13,302804337.6579391
2020-05-18,316193555.63552094
2020-05-23,313920098.3952766
2020-05-28,315800697.6802944
2020-06-02,321842062.14147025
2020-06-07,272535707.7292419
2020-06-12,291815392.4980189
2020-06-17,302275795.4208718
2020-06-22,309795011.6767101
2020-06-27,282435962.40047306
2020-07-02,282435962.40047306
2020-07-07,270268125.45702094
2020-07-12,245122285.8819689
2020-07-17,245852738.74199292
2020-07-22,235914035.46711403
2020-07-27,226796686.86015245
2020-08-06,198452014.92723328
2020-08-11,198065167.27632868
2020-08-16,184341219.22561017
2020-08-21,176695133.0394451
2020-08-26,159367491.24728456
2020-08-31,163052429.79799518
2020-09-05,145647214.31195447
2020-09-10,141829059.0129566
2020-09-15,131128180.20647527
2020-09-20,121138905.418694
2020-09-25,130654937.90284659
2020-10-05,127574086.08300483
2020-10-10,135003403.5806732
2020-10-15,139287967.71275458
2020-10-30,155641465.27906224
2020-11-09,132822280.63272044
2020-11-19,205769860.69939625
2020-12-09,110774654.08311772
2020-12-19,209927816.4086436
2020-12-24,232797269.8705507
