date,value
2018-01-05,9892135.897297217
2018-01-06,11131193.766568517
2018-01-10,9703239.791023515
2018-01-11,10499305.528032761
2018-01-12,10499305.528032761
2018-01-17,10595311.112942304
2018-01-18,10595311.112942304
2018-01-22,9272700.389780173
2018-01-23,10135094.31681623
2018-01-24,10135094.31681623
2018-01-29,10330127.978117308
2018-01-30,10330127.978117308
2018-02-03,9443682.774919758
2018-02-04,10499305.528032761
2018-02-05,10499305.528032761
2018-02-10,10499305.528032761
2018-02-11,10499305.528032761
2018-02-15,8935907.93807404
2018-02-16,10185060.117869053
2018-02-17,10185060.117869053
2018-02-22,9789519.111312417
2018-02-23,9789519.111312417
2018-02-27,8700318.617183445
2018-02-28,9954989.788895465
2018-03-01,9954989.788895465
2018-03-06,12045137.730990162
2018-03-07,12045137.730990162
2018-03-11,12997720.16711973
2018-03-12,13402572.484119207
2018-03-13,13402572.484119207
2018-03-18,12839602.097051036
2018-03-19,12839602.097051036
2018-03-23,13263531.46188677
2018-03-24,12655652.238487782
2018-03-25,12655652.238487782
2018-03-29,12098802.097255694
2018-03-30,12269147.111938374
2018-03-31,11672258.944056954
2018-04-04,11995911.671638746
2018-04-05,11531014.91351581
2018-04-06,11531014.91351581
2018-04-10,12973801.939037673
2018-04-11,12737107.224477634
2018-04-12,12737107.224477634
2018-04-16,13877027.602536216
2018-04-17,13060592.297485828
2018-04-18,13060592.297485828
2018-04-22,13600066.147174962
2018-04-23,12386189.608610272
2018-04-24,12386189.608610272
2018-04-28,12425795.280937068
2018-04-29,12127850.989492092
2018-04-30,12127850.989492092
2018-05-04,13117584.836547542
2018-05-05,12403785.664537167
2018-05-06,12403785.664537167
2018-05-10,11802716.888249232
2018-05-11,12480154.742978323
2018-05-12,12480154.742978323
2018-05-16,13093575.451290447
2018-05-17,12480154.742978323
2018-05-18,12480154.742978323
2018-05-22,13060592.297485828
2018-05-23,12180211.678422134
2018-05-24,12180211.678422134
2018-05-28,12722281.130365457
2018-05-29,13600066.147174962
2018-05-30,12537558.901710724
2018-06-03,13777300.236979267
2018-06-04,12200599.393585185
2018-06-05,12200599.393585185
2018-06-09,12307135.43632635
2018-06-10,12098802.097255694
2018-06-11,12098802.097255694
2018-06-15,13656494.469548121
2018-06-16,12580314.75011143
2018-06-17,12580314.75011143
2018-06-22,12737107.224477634
2018-06-23,12737107.224477634
2018-06-27,11488354.378359715
2018-06-28,12180211.678422134
2018-06-29,12180211.678422134
2018-07-04,12288135.194222335
2018-07-05,12288135.194222335
2018-07-09,11745298.769165348
2018-07-10,12386189.608610272
2018-07-11,12386189.608610272
2018-07-16,12180211.678422134
2018-07-17,12180211.678422134
2018-07-21,11488354.378359715
2018-07-22,12242876.001593545
2018-07-23,12242876.001593545
2018-07-28,12425795.280937068
2018-07-29,12425795.280937068
2018-08-02,11434411.74756162
2018-08-03,11929444.659116173
2018-08-04,11929444.659116173
2018-08-09,11555218.279635966
2018-08-10,11555218.279635966
2018-08-14,10861883.683237616
2018-08-15,11545249.64223998
2018-08-16,11545249.64223998
2018-08-21,11712335.879293533
2018-08-22,11712335.879293533
2018-08-26,11458530.979091493
2018-08-27,12180211.678422134
2018-08-28,12180211.678422134
2018-09-02,11488354.378359715
2018-09-03,11488354.378359715
2018-09-07,10421397.084354946
2018-09-08,11178919.733819481
2018-09-09,11178919.733819481
2018-09-14,11619387.43122393
2018-09-15,11619387.43122393
2018-09-19,10949492.804170275
2018-09-20,11469888.488178471
2018-09-21,11469888.488178471
2018-09-26,11338145.424290564
2018-09-27,11338145.424290564
2018-10-01,10949492.804170275
2018-10-02,11555218.279635966
2018-10-03,11555218.279635966
2018-10-08,11338145.424290564
2018-10-09,11338145.424290564
