date,value
2018-01-19,6295951.369073009
2018-01-24,7379139.777886172
2018-01-29,4131839.8171647973
2018-02-08,6091092.697207602
2018-02-13,5197139.652690757
2018-03-10,7940912.2616076525
2018-04-04,11615476.369342066
2018-04-14,12567973.145657877
2018-04-19,12744109.803047948
2018-04-24,12652579.765763957
2018-04-29,11502503.236155737
2018-05-04,12337284.688120892
2018-05-14,12679261.17741333
2018-05-24,12730182.656462405
2018-06-03,12149597.7037008
2018-06-08,10811649.054349441
2018-06-13,12149597.7037008
2018-06-23,11291476.164354643
2018-06-28,11082446.931939568
2018-07-03,10811649.054349441
2018-07-08,10477180.669720408
2018-07-13,10308080.33670016
2018-07-18,9818918.710840803
2018-07-23,9590071.979867548
2018-07-28,9221814.5062156
2018-08-02,8758910.645042708
2018-08-07,8546154.796311047
2018-08-12,8154788.257279111
2018-08-17,7821670.072079667
2018-08-22,7578163.294022829
2018-08-27,7227670.059807761
2018-09-01,6895071.923145319
2018-09-06,6241453.683101216
2018-09-11,6349308.897411257
2018-09-16,6187489.745395676
2018-09-21,6290616.184274164
2018-09-26,6071441.16921636
2018-10-06,6091092.697207602
2018-10-16,6231831.420491693
2018-10-21,5947294.10354554
2018-11-15,6689989.268204494
2018-11-30,6596874.31205724
2018-12-05,6734514.805372858
2018-12-10,6231831.420491693
2018-12-20,6473326.198944984
2018-12-30,6181633.840574254
2019-01-04,6310179.034452255
2019-01-09,6231831.420491693
2019-01-14,6253272.7965550395
2019-02-03,6490075.344067315
2019-02-08,6706227.209771478
2019-02-13,6679723.164240237
2019-02-18,6439726.221495585
2019-02-23,6419840.274181922
2019-02-28,6405502.334456592
2019-03-10,6321477.998007967
2019-03-15,6316874.660687109
2019-03-20,6299089.76143909
2019-03-25,6231831.420491693
2019-03-30,6287477.888669997
2019-04-04,6268125.859041015
2019-04-14,6290616.184274164
2019-05-04,6993104.286717516
2019-05-14,6948330.495605901
2019-05-19,6936273.107848044
2019-05-29,6936273.107848044
2019-06-03,6684751.41495003
2019-06-13,6837001.4629072985
2019-06-23,9019563.179278912
2019-06-28,6614678.00742133
2019-07-03,6542422.791515425
2019-07-08,6599911.335276642
2019-07-13,6332986.6770309955
2019-07-18,6397548.757696805
2019-07-23,6314049.923540713
2019-07-28,6225974.557610446
2019-08-02,5927757.809023009
2019-08-07,5773191.396343622
2019-08-12,5628110.497177859
2019-08-17,5558314.173702382
2019-08-22,5387299.448770087
2019-08-27,5435671.662128897
2019-09-01,5174955.9296155665
2019-09-06,5052724.397972939
2019-09-16,5237450.833556924
2019-09-26,5255681.740035112
2019-10-01,4936698.316246686
2019-10-06,4884896.882068933
2019-10-16,4799005.024861849
2019-10-21,4716993.47572821
2019-10-26,4789128.666406828
2019-11-30,5451624.1481023505
2019-12-05,5360094.443133093
2019-12-10,5580116.860480387
2019-12-15,5407731.330763549
2019-12-25,9118196.665589752
2019-12-30,8878670.973059516
2020-01-04,8758910.645042708
2020-01-09,9074415.1350242
2020-01-14,9093720.612717733
2020-02-03,9034857.670139788
2020-02-18,9055005.111099185
2020-02-23,9034857.670139788
2020-02-28,8892905.523584055
2020-03-19,9335487.1281013
2020-03-24,9144678.917138983
2020-03-29,8546154.796311047
2020-04-03,8954067.296617445
2020-04-08,8972945.020222362
2020-04-18,8828801.453891799
2020-04-23,8968831.919088107
2020-05-03,9268567.349268736
2020-05-08,8977901.8917751
2020-05-18,8994987.758907355
2020-05-23,9185830.121334307
2020-05-28,9087707.330411823
2020-06-02,8828801.453891799
2020-06-07,9034857.670139788
2020-06-12,8736143.541554943
2020-06-17,8647512.376281349
2020-06-22,9124526.924294367
2020-06-27,9176649.870825902
2020-07-02,8360263.877247038
2020-07-07,8060721.498879613
2020-07-12,9256641.166335298
2020-07-17,7405284.209693362
2020-07-22,7067252.356376326
2020-07-27,6820337.112701074
2020-08-01,6790050.210941499
2020-08-06,6670923.934092931
2020-08-11,5794595.33690875
2020-08-16,6019915.101809293
2020-08-21,5827592.272517905
2020-08-26,5183704.180591592
2020-08-31,4944916.96021269
2020-09-05,4749108.208683479
2020-09-10,4392391.864132778
2020-09-15,4081493.1998365056
2020-09-20,5023998.30318448
2020-09-25,4300592.088282975
2020-10-10,4749108.208683479
2020-10-15,4045037.0283856657
2020-10-30,3959725.9746336886
2020-11-19,4081493.1998365056
2020-12-24,6466836.1718376195
