date,value
2018-01-05,18023531.231949687
2018-01-05,19237474.18594344
2018-01-10,17985581.448282983
2018-01-10,24120114.733344357
2018-01-11,18155774.055284727
2018-01-11,18126869.919448495
2018-01-17,18690557.429873653
2018-01-17,19325706.895873807
2018-01-22,18085818.21905807
2018-01-22,23705343.01015175
2018-01-23,19103025.456225142
2018-01-29,29066333.877788626
2018-01-29,18802654.221571952
2018-02-03,18085818.21905807
2018-02-03,23695492.527771138
2018-02-04,17781047.435313355
2018-02-10,18295916.421133187
2018-02-10,19508729.317419864
2018-02-15,17970407.92266299
2018-02-15,20277107.853988897
2018-02-16,17947654.48249226
2018-02-22,19480778.863909435
2018-02-27,17590752.22875872
2018-02-27,24945778.506682005
2018-02-28,18517415.298807662
2018-03-06,25691909.545111775
2018-03-06,28424530.23521134
2018-03-11,33221576.079150926
2018-03-11,28060364.430314235
2018-03-12,32057899.128122397
2018-03-17,39965232.11303212
2018-03-18,39108492.954353586
2018-03-18,47142696.188889265
2018-03-23,47835233.97638437
2018-03-23,45875274.28850349
2018-03-24,48593087.359427504
2018-03-29,50452582.8191397
2018-03-30,53665935.80274298
2018-04-04,51334493.02251264
2018-04-05,48685789.71220356
2018-04-10,52970840.30724515
2018-04-11,49423144.39973583
2018-04-11,54301211.35949891
2018-04-16,53390484.93937735
2018-04-16,53210521.635769226
2018-04-16,48685789.71220356
2018-04-17,50320265.7522843
2018-04-22,55293640.10797914
2018-04-23,53665935.80274298
2018-04-28,52253651.69071362
2018-04-28,54041445.88268655
2018-04-29,54488462.239953324
2018-05-04,50147385.3341896
2018-05-05,50452582.8191397
2018-05-05,52587168.544102244
2018-05-10,50452582.8191397
2018-05-10,52822227.879196495
2018-05-11,52029589.23807892
2018-05-16,51334493.02251264
2018-05-17,50452582.8191397
2018-05-17,51680682.71527605
2018-05-22,54488462.239953324
2018-05-23,52970840.30724515
2018-05-28,54041445.88268655
2018-05-29,56522418.58990141
2018-06-03,52029589.23807892
2018-06-03,54786360.71006641
2018-06-04,53657645.67355044
2018-06-09,53665935.80274298
2018-06-10,54488462.239953324
2018-06-15,51680682.71527605
2018-06-15,53404972.27401951
2018-06-16,51334493.02251264
2018-06-22,52587168.544102244
2018-06-27,50792989.63920433
2018-06-27,52029589.23807892
2018-06-28,49012663.89001271
2018-07-04,49279466.346616074
2018-07-04,51203564.94113057
2018-07-09,52253651.69071362
2018-07-10,48685789.71220356
2018-07-16,47544658.13370609
2018-07-16,50452582.8191397
2018-07-21,49423144.39973583
2018-07-21,51334493.02251264
2018-07-22,48289136.282032125
2018-07-28,50792989.63920433
2018-08-02,49423144.39973583
2018-08-03,45524855.909357525
2018-08-09,44582370.04933007
2018-08-14,42663908.61191448
2018-08-14,40693104.06238496
2018-08-15,39965232.11303212
2018-08-21,38615112.35266372
2018-08-21,39820488.7376359
2018-08-26,36356911.848685265
2018-08-26,37396061.74103471
2018-08-27,35724159.27528849
2018-09-02,31893394.246492088
2018-09-07,32450461.1298602
2018-09-07,29726213.408761755
2018-09-08,30261721.975450862
2018-09-14,34596159.53616075
2018-09-14,29357347.05186996
2018-09-19,31259112.791130386
2018-09-20,30208928.240418997
2018-09-26,31943435.40047538
2018-10-01,31001811.7415729
2018-10-01,28003530.809971582
2018-10-02,29155118.46505149
2018-10-08,30464341.188925978
2018-10-13,30226523.231524393
2018-10-13,31063863.35617175
2018-10-14,30221244.42747391
2018-10-20,31310645.70583815
2018-10-20,31802305.36754358
2018-10-25,31481409.944665477
2018-10-25,30663811.591237433
2018-10-26,30286368.04461166
2018-11-01,32072215.299722284
2018-11-01,32898449.07134369
2018-11-06,33574608.522245124
2018-11-06,33487609.544976585
2018-11-06,30789332.23160808
2018-11-07,31556202.51403479
2018-11-13,32238774.430068698
2018-11-13,32815556.443145983
2018-11-18,31964888.455691382
2018-11-18,32965166.825597484
2018-11-19,32072215.299722284
2018-11-25,31211155.635086417
2018-11-25,32455848.14178838
2018-11-30,34303919.04160426
2018-11-30,34212738.99249076
2018-11-30,32815556.443145983
2018-12-01,33359041.65379474
2018-12-06,34172641.69977019
2018-12-07,33692522.155972466
2018-12-12,34088845.2489517
2018-12-13,32488175.56680117
2018-12-19,31356868.19983368
2018-12-19,33388002.389652256
2018-12-24,33952346.48602302
2018-12-24,33084272.49832389
2018-12-25,32658944.42760515
2019-01-05,34890938.73569594
2019-01-06,32353538.53341239
2019-01-06,33674373.92636043
2019-01-11,33930521.18070992
2019-01-11,34934942.00366919
2019-01-12,34523033.16428594
2019-01-12,34499276.59508652
2019-01-12,31152569.855117228
2019-01-17,34428034.87416128
2019-01-17,34373262.134445615
2019-01-18,33453190.236010615
2019-01-18,33051776.98760033
2019-01-23,38097204.67808555
2019-01-24,36019789.53132387
2019-01-24,35831244.961699575
2019-01-24,33692522.155972466
2019-01-29,36292011.11780059
2019-01-29,34435339.784610145
2019-01-30,34892771.889449544
2019-02-04,35248922.38371427
2019-02-05,34799316.074065074
2019-02-05,34744375.46290792
2019-02-05,32759727.666090284
2019-02-10,35078061.762114115
2019-02-10,33388002.389652256
2019-02-11,33834173.9701813
2019-02-16,34683969.38896863
2019-02-17,34373262.134445615
2019-02-22,33491233.217159
2019-02-22,34746206.417796984
2019-02-23,34112520.90769111
2019-02-23,33930521.18070992
2019-02-28,33888700.533016905
2019-03-01,35294893.00694466
2019-03-01,33221576.079150926
2019-03-06,36236408.24448972
2019-03-07,34526688.43492027
2019-03-07,34139844.798434585
2019-03-12,35078061.762114115
2019-03-12,34837789.22501511
2019-03-13,34868943.032809615
2019-03-18,33154710.661763735
2019-03-18,34373262.134445615
2019-03-19,33154710.661763735
2019-03-19,34402471.167892426
2019-03-24,33326469.39294922
2019-03-24,33380761.53392339
2019-03-25,32525902.49125255
2019-03-25,33952346.48602302
2019-03-30,32543872.080599844
2019-03-30,35724159.27528849
2019-03-31,31445812.227519795
2019-03-31,34019666.3596601
2019-04-05,36034589.26771094
2019-04-05,35929178.98585921
2019-04-05,33154710.661763735
2019-04-06,34499276.59508652
2019-04-06,33985091.945592
2019-04-11,35374002.423810035
2019-04-11,28930695.15892652
2019-04-12,34683969.38896863
2019-04-17,35032171.87930376
2019-04-17,34799316.074065074
2019-04-18,36527665.60626694
2019-04-23,36147494.23224322
2019-04-24,33019290.583813723
2019-04-24,34172641.69977019
2019-04-29,33930521.18070992
2019-04-29,34868943.032809615
2019-04-30,35101931.269146785
2019-04-30,34402471.167892426
2019-05-05,33491233.217159
2019-05-05,35493682.231575765
2019-05-06,34799316.074065074
2019-05-11,33151097.409320515
2019-05-11,33868704.55318864
2019-05-12,35788769.01401484
2019-05-17,33877793.21776337
2019-05-17,36117870.07292539
2019-05-18,33491233.217159
2019-05-18,34890938.73569594
2019-05-23,33491233.217159
2019-05-23,34526688.43492027
2019-05-24,32353538.53341239
2019-05-29,33816004.01370869
2019-05-29,34373262.134445615
2019-05-30,33601808.89768688
2019-06-04,33834173.9701813
2019-06-04,32903857.183070015
2019-06-05,33888700.533016905
2019-06-10,31752327.387479946
2019-06-10,34139844.798434585
2019-06-11,32934507.93654371
2019-06-11,32846183.728776906
2019-06-16,33019290.583813723
2019-06-16,32968774.288435604
2019-06-16,32072215.299722284
2019-06-17,33776039.90761368
2019-06-17,31001811.7415729
2019-06-22,33888700.533016905
2019-06-23,31269772.787570678
2019-06-23,33221576.079150926
2019-06-28,32653547.824856084
2019-06-28,32455848.14178838
2019-06-28,32016750.288773805
2019-06-29,33453190.236010615
2019-07-04,32335598.97868763
2019-07-04,29917278.724532958
2019-07-05,30221244.42747391
2019-07-05,28206905.2248428
2019-07-10,27685527.5455521
2019-07-10,25396723.613246508
2019-07-11,27764501.85624903
2019-07-16,28632234.825929485
2019-07-16,24242301.647672348
2019-07-17,28272487.927482836
2019-07-17,22224813.053689014
2019-07-22,25826405.988900725
2019-07-22,19935603.58961129
2019-07-23,26095998.45236699
2019-07-23,20327375.907002706
2019-07-28,28824744.888295576
2019-07-28,21808444.404680245
2019-07-29,28151711.38389839
2019-08-03,22768296.5103856
2019-08-03,26940186.65301516
2019-08-04,28369215.22415413
2019-08-04,25986380.254968584
2019-08-04,19943417.702991165
2019-08-09,18950359.659871798
2019-08-09,28146538.541920163
2019-08-10,26095998.45236699
2019-08-10,25718792.811742518
2019-08-10,19898108.003202792
2019-08-15,24977436.25123053
2019-08-15,20684980.953282543
2019-08-16,26344388.6419432
2019-08-21,18753492.376260217
2019-08-21,21018969.28556616
2019-08-22,20805104.253369525
2019-08-22,19109201.107767567
2019-08-27,19345846.25988526
2019-08-27,23271395.73910936
2019-08-28,19774827.342219137
2019-08-28,19759237.780621268
2019-08-28,19008917.344341706
2019-09-02,18379843.753267266
2019-09-02,23176724.098881613
2019-09-03,21616295.395200245
2019-09-03,20805104.253369525
2019-09-03,18967305.270413335
2019-09-08,22911254.45426621
2019-09-08,20873156.524488643
2019-09-09,30319825.429925527
2019-09-09,19718721.33265429
2019-09-14,18005312.489426237
2019-09-14,22397480.12055937
2019-09-15,22768296.5103856
2019-09-20,20148458.128100835
2019-09-21,18947279.103797786
2019-09-21,26749661.98886748
2019-09-26,20398125.358084336
2019-09-26,20273967.27922552
2019-09-26,18888775.68209702
2019-09-27,20117115.58685511
2019-10-02,19887175.582617134
2019-10-03,18262376.17248091
2019-10-03,20582401.444561545
2019-10-08,19058269.010133203
2019-10-08,20498867.411103435
2019-10-09,18938038.292425822
2019-10-09,21025315.53262056
2019-10-14,52029589.23807892
2019-10-14,27479809.904367533
2019-10-14,16746165.720556978
2019-10-15,21424632.167558376
2019-10-15,19926227.806218565
2019-10-20,23705343.01015175
2019-10-20,21424632.167558376
2019-10-21,20277107.853988897
