date,value
2018-01-17,5369500
2018-01-19,5687000
2018-01-22,5496600
2018-01-24,5665200
2018-01-27,5650600
2018-01-29,5713100
2018-02-08,5749500
2018-02-11,6303700
2018-02-13,5545800
2018-02-16,5566800
2018-02-18,5566800
2018-02-21,5438900
2018-02-26,7710400
2018-03-15,5976900
2018-03-20,6882300
2018-03-28,7490900
2018-04-02,7487100
2018-04-04,7487100
2018-04-14,7618300
2018-04-17,7713400
2018-04-19,7627500
2018-04-22,7627500
2018-04-24,7627500
2018-04-27,7689400
2018-04-29,7595100
2018-05-02,7736300
2018-05-04,8036700
2018-05-07,8086100
2018-05-12,8075600
2018-05-14,8028200
2018-05-19,7984100
2018-05-22,8022800
2018-05-24,8054900
2018-06-03,8161600
2018-06-13,7412300
2018-06-16,7700500
2018-06-21,7922900
2018-06-23,7710500
2018-06-26,7506500
2018-06-28,7468400
2018-07-01,7457400
2018-07-03,7270300
2018-07-06,7166600
2018-07-08,7057100
2018-07-11,6906300
2018-07-13,6816900
2018-07-16,6768800
2018-07-18,6708000
2018-07-21,6679300
2018-07-23,6679300
2018-07-26,6648300
2018-07-28,6605000
2018-07-31,6578300
2018-08-02,6548600
2018-08-05,6490500
2018-08-07,6425400
2018-08-10,6292400
2018-08-12,6218000
2018-08-15,6114000
2018-08-17,6081400
2018-08-20,6006600
2018-08-22,5993500
2018-08-25,5920300
2018-08-27,5957700
2018-08-30,5854100
2018-09-01,5877100
2018-09-04,5777800
2018-09-06,5736300
2018-09-09,5600600
2018-09-11,5713200
2018-09-14,5565300
2018-09-16,5391100
2018-09-19,5438200
2018-09-21,5272100
2018-09-24,5224800
2018-09-26,5045300
2018-09-29,5003600
2018-10-01,5109400
2018-10-04,5020700
2018-10-06,5002500
2018-10-09,5120200
2018-10-14,5129600
2018-10-16,5474200
2018-10-19,5676000
2018-10-21,5500200
2018-10-24,5180200
2018-10-29,5379100
2018-11-03,5026300
2018-11-13,4932800
2018-11-15,4777700
2018-11-28,6119400
2018-11-30,6108700
2018-12-03,5728300
2018-12-05,5504000
2018-12-08,5736300
2018-12-10,5536900
2018-12-13,5537900
2018-12-15,5509900
2018-12-20,5406800
2018-12-23,5592600
2018-12-28,5705400
2018-12-30,5307300
2019-01-02,5240800
2019-01-04,5681300
2019-01-07,5590300
2019-01-09,5622500
2019-01-12,5394200
2019-01-14,5458700
2019-01-27,5317200
2019-01-29,5317200
2019-02-01,5407100
2019-02-03,5424700
2019-02-06,5328800
2019-02-08,5339700
2019-02-11,5339700
2019-02-13,5362400
2019-02-16,5297500
2019-02-21,5528200
2019-02-26,5375900
2019-02-28,5225300
2019-03-03,5251400
2019-03-10,5201500
2019-03-13,5240800
2019-03-15,5235800
2019-03-18,5144700
2019-03-20,5118900
2019-03-23,5138600
2019-03-25,5042600
2019-03-28,4977100
2019-03-30,4979400
2019-04-04,4992800
2019-04-12,5059700
2019-04-14,5063400
2019-04-22,4738900
2019-04-27,4901700
2019-04-29,4943300
2019-05-02,5505200
2019-05-04,4936600
2019-05-07,4963100
2019-05-12,5188100
2019-05-14,4843200
2019-05-19,4918200
2019-05-22,4898600
2019-05-24,4865900
2019-05-27,4772600
2019-05-29,4607900
2019-06-01,4554600
2019-06-03,4388800
2019-06-06,4278500
2019-06-08,4405400
2019-06-11,4410800
2019-06-13,4258700
2019-06-18,3967200
2019-06-21,5198200
2019-06-23,3957100
2019-06-26,3796800
2019-06-28,3795500
2019-07-01,3752300
2019-07-03,3669000
2019-07-06,3711400
2019-07-08,3674000
2019-07-11,3642100
2019-07-13,3607000
2019-07-16,3599800
2019-07-18,3575800
2019-07-21,3590900
2019-07-23,3539000
2019-07-26,3614300
2019-07-28,3598400
2019-07-31,3603500
2019-08-02,3595800
2019-08-05,3615500
2019-08-10,3589000
2019-08-12,3613000
2019-08-15,3582700
2019-08-17,3607700
2019-08-20,3546300
2019-08-22,3561300
2019-08-25,3543100
2019-08-27,3590900
2019-08-30,3571500
2019-09-01,3557600
2019-09-04,3554200
2019-09-06,3585600
2019-09-09,3554200
2019-09-11,3593000
2019-09-16,3642100
2019-09-19,3678900
2019-09-24,3705800
2019-09-26,3725700
2019-09-29,3734800
2019-10-01,3713200
2019-10-04,3643000
2019-10-06,3585200
2019-10-09,3624600
2019-10-16,3644600
2019-10-21,4830900
2019-10-24,4828600
2019-10-26,4884600
2019-11-08,5582200
2019-11-13,5582200
2019-11-18,4752800
2019-11-23,4474700
2019-11-30,5340100
2019-12-03,5985200
2019-12-05,5985200
2019-12-08,5428900
2019-12-10,5722400
2019-12-15,5827400
2019-12-23,5818800
2019-12-25,5472200
2019-12-28,5352300
2019-12-30,5337700
2020-01-02,5593100
2020-01-04,5602900
2020-01-07,5335500
2020-01-09,5414600
2020-01-12,5384600
2020-01-14,5403800
2020-01-17,5390600
2020-01-24,5526300
2020-02-03,5515800
2020-02-06,5551100
2020-02-11,5345700
2020-02-16,5377800
2020-02-18,5251400
2020-02-21,5315600
2020-02-23,5374600
2020-02-26,5374600
2020-02-28,5299300
2020-03-02,5261800
2020-03-07,5285800
2020-03-14,4801600
2020-03-17,5206300
2020-03-19,5093500
2020-03-27,5093000
2020-03-29,5056800
2020-04-01,5436900
2020-04-03,5012600
2020-04-08,5067600
2020-04-11,5176000
2020-04-16,5321500
2020-04-23,5368400
2020-05-01,5300300
2020-05-03,5570500
2020-05-06,5614900
2020-05-08,5473700
2020-05-18,5392000
2020-05-21,5767700
2020-05-23,5681900
2020-05-26,5741700
2020-05-28,5608100
2020-05-31,5733700
2020-06-05,5611300
2020-06-07,5288000
2020-06-10,5632500
2020-06-12,5352200
2020-06-15,5486500
2020-06-22,5268600
2020-06-25,5403400
2020-06-27,5403400
2020-06-30,5088600
2020-07-02,4900700
2020-07-05,4822500
2020-07-07,4677700
2020-07-10,4491300
2020-07-12,4625700
2020-07-15,4785100
2020-07-17,4458500
2020-07-20,4366100
2020-07-22,4129300
2020-07-25,4018900
2020-07-27,3962000
2020-07-30,3878600
2020-08-01,3867300
2020-08-04,3801400
2020-08-06,3726200
2020-08-09,3647300
