date,value
2018-01-05,2875100
2018-01-05,3084500
2018-01-10,4707600
2018-01-11,2898900
2018-01-17,3040700
2018-01-17,3146800
2018-01-22,4559600
2018-01-23,2938000
2018-01-29,4154900
2018-02-03,4559600
2018-02-04,3019800
2018-02-10,2968600
2018-02-10,3056300
2018-02-15,4086800
2018-02-16,2824700
2018-02-22,3033800
2018-02-27,4745500
2018-02-28,3165200
2018-03-06,4235400
2018-03-06,4614600
2018-03-11,5839100
2018-03-12,5587900
2018-03-18,6629800
2018-03-18,6954300
2018-03-23,7290500
2018-03-24,7124400
2018-03-29,7344300
2018-03-30,7344300
2018-03-30,7393900
2018-04-04,7446900
2018-04-05,7124400
2018-04-11,7552200
2018-04-16,7662800
2018-04-17,7446900
2018-04-23,7552200
2018-04-23,7721900
2018-04-28,7784100
2018-04-29,7552200
2018-05-05,7608400
2018-05-10,7784100
2018-05-11,7784100
2018-05-17,7499400
2018-05-23,7552200
2018-05-29,7784100
2018-06-03,7608400
2018-06-04,7446900
2018-06-10,7393900
2018-06-15,7344300
2018-06-16,7014100
2018-06-22,7014100
2018-06-27,7069800
2018-06-28,6683300
2018-07-04,6629800
2018-07-09,6791700
2018-07-10,6419900
2018-07-16,6419900
2018-07-21,6523900
2018-07-22,6145800
2018-07-28,6255600
2018-08-02,6255600
2018-08-03,5886700
2018-08-09,5931600
2018-08-09,5886700
2018-08-14,5931600
2018-08-15,5712000
2018-08-21,5514100
2018-08-21,5587900
2018-08-26,5647800
2018-08-27,5183600
2018-09-02,5048700
2018-09-07,5195100
2018-09-08,4824200
2018-09-14,6033700
2018-09-14,4720800
2018-09-19,4808900
2018-09-20,4517000
2018-09-26,4733900
2018-09-26,4428000
2018-10-01,4701900
2018-10-02,4329900
2018-10-08,4320900
2018-10-08,4329900
2018-10-13,4753100
2018-10-14,4346700
2018-10-20,4460900
2018-10-20,4544400
2018-10-25,4701900
2018-10-26,4312000
2018-11-01,4539300
2018-11-01,4595100
2018-11-06,4985200
2018-11-07,4601700
2018-11-13,4517000
2018-11-13,4676800
2018-11-18,4875800
2018-11-19,4690300
2018-11-25,4629000
2018-11-25,4636700
2018-11-30,4904600
2018-12-01,4601700
2018-12-06,4896900
2018-12-07,4656900
2018-12-12,4978100
2018-12-13,4800600
2018-12-19,4760500
2018-12-24,4954100
2018-12-25,4581700
2019-01-05,5087500
2019-01-06,4337800
2019-01-06,4676800
2019-01-11,4891200
2019-01-12,4669800
2019-01-17,4985200
2019-01-18,4601700
2019-01-18,4669800
2019-01-23,5393400
2019-01-24,4863100
2019-01-29,5358000
2019-01-30,4714100
2019-01-30,4847000
2019-02-04,5039400
2019-02-05,4816200
2019-02-10,5056700
2019-02-11,4697200
2019-02-11,4787200
2019-02-16,5016800
2019-02-17,4800600
2019-02-22,5031300
2019-02-23,4636700
2019-02-23,4800600
2019-02-28,4939300
2019-03-01,4869900
2019-03-06,5429900
2019-03-07,5005400
2019-03-12,5121400
2019-03-13,4832600
2019-03-13,4855500
2019-03-18,4978100
2019-03-18,4961100
2019-03-19,4493100
2019-03-19,4875800
2019-03-24,4707600
2019-03-25,4428000
2019-03-25,4656900
2019-03-30,5005400
2019-03-31,4329900
2019-03-31,4614600
2019-04-05,4896900
2019-04-06,4614600
2019-04-11,4793900
2019-04-12,4190600
2019-04-12,4559600
2019-04-17,4733900
2019-04-18,4697200
2019-04-23,4800600
2019-04-24,4385100
2019-04-24,4656900
2019-04-29,4656900
2019-04-29,4649100
2019-04-30,4544400
2019-04-30,4517000
2019-05-05,4839300
2019-05-06,4385100
2019-05-06,4587900
2019-05-11,4469300
2019-05-12,4523800
2019-05-12,4273200
2019-05-17,5024600
2019-05-18,4559600
2019-05-18,4127600
2019-05-23,4523800
2019-05-24,3952300
2019-05-29,4917100
2019-05-30,4358200
2019-05-30,3767300
2019-06-04,5158300
2019-06-05,5170900
2019-06-05,4032800
2019-06-10,5195100
2019-06-11,5241100
2019-06-16,5087500
2019-06-16,4847000
2019-06-17,5195100
2019-06-17,3286200
2019-06-22,5272700
2019-06-23,5429900
2019-06-28,5183600
2019-06-28,3791100
2019-06-29,5339200
2019-07-04,5410100
2019-07-05,5375700
2019-07-05,3099200
2019-07-10,3204700
2019-07-11,3418300
2019-07-11,3130300
2019-07-16,5470300
2019-07-17,5393400
2019-07-17,3204700
2019-07-22,5183600
2019-07-23,5429900
2019-07-23,3138400
2019-07-28,5322000
2019-07-29,5306300
2019-08-03,5226000
2019-08-03,3719600
2019-08-04,5272700
2019-08-04,3286200
2019-08-09,5375700
2019-08-10,5272700
2019-08-10,3418300
2019-08-15,5158300
2019-08-16,5226000
2019-08-21,5016800
2019-08-21,3286200
2019-08-22,3814700
2019-08-22,2982200
2019-08-27,5211100
2019-08-28,3130300
2019-09-02,5410100
2019-09-02,4320900
2019-09-03,5170900
2019-09-03,3122500
2019-09-08,5211100
2019-09-09,5712000
2019-09-09,3814700
2019-09-14,3099200
2019-09-15,3069600
2019-09-20,3114400
2019-09-21,5226000
2019-09-26,4101000
2019-09-26,3062900
2019-09-27,2943700
2019-10-02,4869900
2019-10-02,3019800
2019-10-03,3174900
2019-10-03,2925500
2019-10-08,5121400
2019-10-09,3165200
2019-10-09,2962600
2019-10-14,6089900
2019-10-15,4994700
2019-10-15,3019800
2019-10-20,4509900
2019-10-21,3418300
2019-10-21,2838100
2019-10-26,2994200
2019-10-27,2943700
2019-11-01,5339200
2019-11-01,4253900
2019-11-02,3069600
2019-11-07,3225800
2019-11-07,3184000
2019-11-08,3056300
2019-11-08,2950600
2019-11-13,3048800
2019-11-14,4141400
2019-11-14,2735200
2019-11-19,3084500
2019-11-20,3326500
2019-11-20,2838100
2019-11-25,3585100
2019-11-26,3048800
2019-11-26,3372200
2019-12-01,4086800
2019-12-02,3252500
2019-12-02,4282300
2019-12-07,4127600
2019-12-07,3984000
2019-12-08,3468600
2019-12-13,4312000
2019-12-14,3557900
2019-12-14,3286200
2019-12-19,4863100
2019-12-20,4264800
2019-12-20,3874100
2019-12-25,4969600
2019-12-26,4839300
2020-01-01,4739800
2020-01-06,4961100
2020-01-07,4753100
2020-01-07,4896900
2020-01-12,5005400
2020-01-13,4684100
2020-01-13,4847000
2020-01-18,4985200
2020-01-19,5792100
2020-01-19,5098700
2020-01-24,5322000
2020-01-25,4969600
2020-01-30,5195100
2020-01-31,5121400
2020-02-05,5429900
2020-02-06,5056700
2020-02-11,5272700
2020-02-12,5272700
2020-02-17,5358000
2020-02-18,5121400
2020-02-18,5195100
2020-02-23,5195100
2020-02-24,5121400
2020-02-24,5098700
2020-02-29,5615900
2020-03-01,5339200
2020-03-01,4939300
2020-03-06,5536400
2020-03-07,5098700
2020-03-12,5211100
2020-03-13,5005400
2020-03-18,4994700
2020-03-19,4669800
2020-03-19,4701900
2020-03-24,5615900
2020-03-24,5560000
2020-03-25,4701900
2020-03-25,4961100
2020-03-30,4930700
2020-03-30,4923600
2020-03-31,4753100
2020-04-05,5121400
2020-04-06,4839300
2020-04-06,4978100
2020-04-12,4947000
2020-04-12,4816200
2020-04-17,5158300
2020-04-18,4978100
2020-04-18,4808900
2020-04-23,5005400
2020-04-24,4954100
2020-04-29,5306300
2020-04-30,4917100
2020-04-30,5016800
2020-05-05,5005400
2020-05-06,4961100
2020-05-11,5133600
2020-05-12,4978100
2020-05-17,4911500
2020-05-18,4839300
2020-05-18,4863100
2020-05-23,4961100
2020-05-24,4824200
2020-05-24,4847000
2020-05-29,4767100
2020-05-30,4614600
2020-05-30,4669800
2020-06-04,4930700
2020-06-05,4476500
2020-06-05,4772500
2020-06-10,4816200
2020-06-10,4800600
2020-06-11,5087500
2020-06-11,4420500
2020-06-16,5056700
2020-06-17,4780400
2020-06-17,4273200
2020-06-22,4559600
2020-06-23,4869900
2020-06-28,4733900
2020-06-28,4402200
2020-06-29,4366400
2020-06-29,4015700
2020-07-04,4235400
2020-07-05,5111000
2020-07-05,3855100
2020-07-10,4985200
2020-07-11,5195100
2020-07-16,4141400
2020-07-16,3791100
2020-07-17,5289100
2020-07-17,3468600
2020-07-22,5158300
2020-07-23,5024600
2020-07-23,3372200
2020-07-28,5068000
2020-07-29,5077800
2020-07-29,3108500
2020-08-03,5241100
2020-08-04,4891200
2020-08-09,5016800
2020-08-09,3855100
2020-08-10,4127600
2020-08-15,5410100
2020-08-15,4476500
2020-08-16,5448900
2020-08-16,2968600
2020-08-21,5098700
2020-08-22,5272700
2020-08-22,2919400
2020-08-27,5170900
2020-08-28,5615900
2020-09-02,4839300
2020-09-02,3099200
2020-09-03,2975900
2020-09-08,5195100
2020-09-08,3933000
2020-09-09,4531300
2020-09-09,2956600
2020-09-14,5016800
2020-09-15,3184000
2020-09-15,2919400
2020-09-20,4760500
2020-09-21,3077600
2020-09-21,2695500
2020-09-26,5048700
2020-09-27,2999600
2020-10-02,6469900
2020-10-02,5536400
2020-10-03,3638700
2020-10-03,3033800
2020-10-08,3468600
2020-10-09,2814500
2020-10-09,2788300
2020-10-14,4676800
2020-10-15,2968600
2020-10-15,2626000
2020-10-20,6683300
2020-10-21,3114400
2020-10-26,4816200
2020-10-26,4127600
2020-10-27,3834800
2020-10-27,2741500
2020-11-01,4551900
2020-11-02,2726800
2020-11-07,4531300
2020-11-08,2925500
2020-11-13,4649100
2020-11-13,3664900
2020-11-14,3204700
2020-11-14,2741500
2020-11-19,4994700
2020-11-20,2856800
2020-11-20,2851300
2020-11-25,3498800
2020-11-26,3610500
2020-11-26,3114400
2020-12-01,4930700
2020-12-02,3048800
2020-12-02,2831600
2020-12-07,5195100
2020-12-08,4884200
2020-12-13,4141400
2020-12-14,2824700
2020-12-14,2868600
2020-12-19,4551900
2020-12-20,3011900
2020-12-20,3056300
2020-12-25,4904600
2020-12-26,3138400
2020-12-26,2819700
