date,value
2018-01-05,45471331.06778035
2018-01-10,45471331.06778035
2018-01-10,41421933.47954227
2018-01-11,42326427.770740174
2018-01-17,43528957.61821824
2018-01-22,52601402.15095173
2018-01-22,42586344.480219625
2018-01-23,43812646.11471734
2018-01-29,45289863.19994998
2018-02-03,68577386.5522951
2018-02-03,43983579.8797167
2018-02-04,45869671.83548938
2018-02-10,43050426.90993253
2018-02-15,45471331.06778035
2018-02-15,40771801.74931638
2018-02-16,41421933.47954227
2018-02-22,40644684.47260314
2018-02-27,43528957.61821824
2018-02-27,40534345.21793569
2018-02-28,42876465.59642068
2018-03-06,71868063.95334657
2018-03-11,81002592.31052686
2018-03-12,97541083.45844018
2018-03-17,122098466.9229909
2018-03-18,132128446.61788245
2018-03-23,147146376.56438646
2018-03-24,150837442.11415663
2018-03-29,154399807.56456685
2018-03-30,158005971.59018624
2018-04-04,161583676.00848857
2018-04-05,154399807.56456685
2018-04-10,166715353.21066752
2018-04-11,163218964.65975037
2018-04-16,166715353.21066752
2018-04-17,168474408.39346868
2018-04-22,176272332.66734022
2018-04-23,170353449.33866492
2018-04-28,178295279.84064162
2018-04-28,168474408.39346868
2018-04-29,170353449.33866492
2018-05-04,178295279.84064162
2018-05-05,170353449.33866492
2018-05-10,176272332.66734022
2018-05-10,168474408.39346868
2018-05-11,174169314.11444777
2018-05-16,182693071.8684542
2018-05-17,170353449.33866492
2018-05-22,170353449.33866492
2018-05-23,161583676.00848857
2018-05-28,168474408.39346868
2018-05-29,178295279.84064162
2018-06-03,180438520.4297129
2018-06-04,170353449.33866492
2018-06-09,174169314.11444777
2018-06-10,164972372.95080265
2018-06-15,170353449.33866492
2018-06-15,158005971.59018624
2018-06-16,159816099.17485544
2018-06-22,156202693.68093753
2018-06-27,156202693.68093753
2018-06-27,143738978.7369715
2018-06-28,147146376.56438646
2018-07-04,142124083.18267256
2018-07-09,135343422.78914842
2018-07-10,137032166.30460438
2018-07-16,133670909.50624962
2018-07-21,135343422.78914842
2018-07-21,127101921.03844208
2018-07-22,128841481.30615959
2018-07-28,125436793.74316625
2018-08-02,120416647.56753136
2018-08-03,120416647.56753136
2018-08-09,117381103.69696723
2018-08-14,112107083.8630381
2018-08-15,113275382.29695074
2018-08-21,109079702.63839732
2018-08-26,109079702.63839732
2018-08-26,101811875.49660516
2018-08-27,103383227.66783248
2018-09-02,95244799.50512666
2018-09-07,88659963.82506582
2018-09-08,89849485.02124858
2018-09-14,91575420.43132365
2018-09-19,84644516.1635913
2018-09-20,85757278.87798272
2018-09-26,78264154.58170184
2018-10-01,74017237.61087628
2018-10-02,74921030.72466356
2018-10-08,72364295.66835278
2018-10-13,77043112.44058824
2018-10-13,71159695.32920136
2018-10-14,72573706.6555433
2018-10-20,75987303.98510306
2018-10-25,74225677.95796011
2018-10-26,75797720.78838542
2018-11-01,76857804.4811722
2018-11-06,78088222.06831619
2018-11-07,81002592.31052686
2018-11-13,80625907.13856292
2018-11-18,84644516.1635913
2018-11-18,78088222.06831619
2018-11-19,81529354.47682744
2018-11-25,82257142.99517669
2018-11-30,78992560.28812778
2018-12-01,81734074.3540221
2018-12-06,83764135.19529694
2018-12-07,84787999.00413768
2018-12-12,85357407.8905651
2018-12-13,79569606.62999368
2018-12-19,84787999.00413768
2018-12-24,81529354.47682744
2018-12-25,83417596.53787494
2019-01-05,93295748.24953328
2019-01-06,93603182.38993391
2019-01-11,85178999.15249065
2019-01-12,80461290.5251096
2019-01-17,84998054.19616358
2019-01-18,80814176.95560813
2019-01-23,88659963.82506582
2019-01-24,83068894.68769647
2019-01-29,93603182.38993391
2019-01-30,85535940.35397613
2019-02-04,90079884.05835012
2019-02-05,84998054.19616358
2019-02-10,88659963.82506582
2019-02-11,84644516.1635913
2019-02-16,88322991.54884939
2019-02-17,84469257.7058965
2019-02-22,88115628.4887247
2019-02-23,83920365.36567363
2019-02-28,87207299.61662947
2019-03-01,84272899.07738325
2019-03-06,89467725.38069
2019-03-07,87207299.61662947
2019-03-12,93029759.44673131
2019-03-13,88322991.54884939
2019-03-18,89027072.59635305
2019-03-19,84998054.19616358
2019-03-24,84469257.7058965
2019-03-25,80288954.71579762
2019-03-30,82918468.67626843
2019-03-31,78992560.28812778
2019-04-05,84469257.7058965
2019-04-06,79192549.23237416
2019-04-11,83068894.68769647
2019-04-12,78458349.97510655
2019-04-17,80814176.95560813
2019-04-18,77269800.78599036
2019-04-23,87548228.741495
2019-04-24,81889039.6075984
2019-04-29,81002592.31052686
2019-04-30,78088222.06831619
2019-05-05,81204252.9848811
2019-05-06,77904667.97188853
2019-05-11,79403108.0892635
2019-05-12,75797720.78838542
2019-05-17,78088222.06831619
2019-05-18,73725240.34128894
2019-05-23,78088222.06831619
2019-05-24,68912088.29184382
2019-05-29,80116741.46763779
2019-05-30,73725240.34128894
2019-06-04,76641798.95084307
2019-06-05,65094620.98911242
2019-06-10,91979247.85144806
2019-06-11,74441949.21835989
2019-06-16,92233305.52129333
2019-06-17,61123318.95431465
2019-06-22,98422213.80940023
2019-06-23,99802124.63670051
2019-06-28,96263130.57349573
2019-06-29,90310478.65030101
2019-07-04,96707001.96648858
2019-07-05,98880543.82781266
2019-07-10,93941197.09483427
2019-07-11,44772711.33923363
2019-07-16,50924723.75557024
2019-07-17,45471331.06778035
2019-07-22,98422213.80940023
2019-07-23,96263130.57349573
2019-07-28,97120965.58160414
2019-07-29,93295748.24953328
2019-08-03,96707001.96648858
2019-08-04,93295748.24953328
2019-08-09,97541083.45844018
2019-08-10,93603182.38993391
2019-08-15,96707001.96648858
2019-08-16,93029759.44673131
2019-08-21,92452035.57635228
2019-08-22,45115104.341817304
2019-08-27,89659891.59232101
2019-08-28,42753560.88376865
2019-09-02,95244799.50512666
2019-09-03,83240543.40663472
2019-09-08,95944516.47118953
2019-09-09,93029759.44673131
2019-09-14,89659891.59232101
2019-09-14,89467725.38069
2019-09-15,41032698.780293435
2019-09-20,41151850.871328704
2019-09-21,39465312.726125054
2019-09-26,43196989.82342586
2019-09-27,38963109.931192994
2019-10-02,42467942.99866174
2019-10-03,39234528.65676498
2019-10-08,68577386.5522951
2019-10-09,40218452.73682649
2019-10-14,95593062.8811339
2019-10-15,43528957.61821824
2019-10-20,90079884.05835012
2019-10-21,41673698.48382407
2019-10-26,42753560.88376865
2019-10-27,39102853.68187581
2019-11-01,42467942.99866174
2019-11-02,37944764.36879649
2019-11-07,44772711.33923363
2019-11-08,39465312.726125054
2019-11-13,42467942.99866174
2019-11-14,40340971.58235121
2019-11-19,42586344.480219625
2019-11-20,41296240.79520588
2019-11-25,45115104.341817304
2019-11-26,43812646.11471734
2019-12-01,52601402.15095173
2019-12-02,47478890.189720266
2019-12-07,62062819.40300984
2019-12-08,48951249.744611956
2019-12-13,61123318.95431465
2019-12-14,49853383.724433705
2019-12-19,68912088.29184382
2019-12-20,58396904.40731058
2019-12-25,77904667.97188853
2019-12-26,78992560.28812778
2020-01-01,83920365.36567363
2020-01-06,91979247.85144806
2020-01-07,86165785.14459626
2020-01-12,88322991.54884939
2020-01-13,85178999.15249065
2020-01-18,87548228.741495
2020-01-19,87207299.61662947
2020-01-24,94563316.84034602
2020-01-25,89467725.38069
2020-01-30,92761284.31966302
2020-01-31,89659891.59232101
2020-02-05,95593062.8811339
2020-02-06,91575420.43132365
2020-02-11,96263130.57349573
2020-02-12,93029759.44673131
2020-02-17,96707001.96648858
2020-02-18,93941197.09483427
2020-02-23,96263130.57349573
2020-02-24,92761284.31966302
2020-02-29,97120965.58160414
2020-03-01,93029759.44673131
2020-03-06,102283857.19810733
2020-03-07,94563316.84034602
2020-03-12,96263130.57349573
2020-03-13,90079884.05835012
2020-03-18,89849485.02124858
2020-03-19,84998054.19616358
2020-03-24,89027072.59635305
2020-03-25,84998054.19616358
2020-03-30,90503242.72835593
2020-03-31,84644516.1635913
2020-04-05,87389789.4905918
2020-04-06,85178999.15249065
2020-04-11,86775732.5986173
2020-04-12,89027072.59635305
2020-04-17,87003490.08313371
2020-04-18,89467725.38069
2020-04-23,90310478.65030101
2020-04-24,87962230.0937517
2020-04-29,91575420.43132365
2020-04-30,89027072.59635305
2020-05-05,91758161.20983857
2020-05-06,88659963.82506582
2020-05-11,90310478.65030101
2020-05-12,88508947.63983132
2020-05-17,90503242.72835593
2020-05-18,87548228.741495
2020-05-23,87962230.0937517
2020-05-24,85952106.80594192
2020-05-29,86569582.05974324
2020-05-30,83417596.53787494
2020-06-04,83764135.19529694
2020-06-05,80288954.71579762
2020-06-10,83417596.53787494
2020-06-11,78264154.58170184
2020-06-16,84071391.24101064
2020-06-17,77470913.61984013
2020-06-22,79192549.23237416
2020-06-23,80288954.71579762
2020-06-28,75797720.78838542
2020-06-29,68912088.29184382
2020-07-04,71383007.16910478
2020-07-05,65487019.32888283
2020-07-10,70646208.8381893
2020-07-11,62062819.40300984
2020-07-16,73725240.34128894
2020-07-17,61608014.714419484
2020-07-22,86569582.05974324
2020-07-23,58961500.90303907
2020-07-28,90503242.72835593
2020-07-29,52014890.69532226
2020-08-03,91362829.6549368
2020-08-04,46728686.43813378
2020-08-09,89259474.35314798
2020-08-10,43812646.11471734
2020-08-15,90761379.55938208
2020-08-16,78665667.52972916
2020-08-21,95593062.8811339
2020-08-22,89849485.02124858
2020-08-27,92233305.52129333
2020-08-28,87962230.0937517
2020-09-02,91362829.6549368
2020-09-03,42212484.75902196
2020-09-08,72364295.66835278
2020-09-09,40218452.73682649
2020-09-14,88508947.63983132
2020-09-15,40771801.74931638
2020-09-20,47478890.189720266
2020-09-21,38963109.931192994
2020-09-26,52014890.69532226
2020-09-27,38346534.54661299
2020-10-02,73725240.34128894
2020-10-03,41032698.780293435
2020-10-08,53288035.899454325
2020-10-09,38829686.50298194
2020-10-14,39347804.03925825
2020-10-15,34967726.315208256
2020-10-20,91362829.6549368
2020-10-21,37254663.07811206
2020-10-26,76428562.98982516
2020-10-27,40093984.08791003
2020-11-01,44446201.83886309
2020-11-02,36699573.3582375
2020-11-07,40218452.73682649
2020-11-08,36514488.256854
2020-11-13,43196989.82342586
2020-11-14,37503832.396442465
2020-11-19,46728686.43813378
2020-11-20,36514488.256854
2020-11-25,41296240.79520588
2020-11-26,38829686.50298194
2020-12-01,48951249.744611956
2020-12-02,41959642.97704243
2020-12-07,76641798.95084307
2020-12-08,43983579.8797167
2020-12-13,74701749.970329
2020-12-14,74441949.21835989
2020-12-19,48083220.27176016
2020-12-20,41151850.871328704
2020-12-25,68577386.5522951
2020-12-26,42586344.480219625
